Year,Ward,WD12CD,WD12CDO,Candidate,Party,Votes,Result
2015,Lambridge,E05001950,00HAPF,Ian William Cowie,Conservative Party,874,Not elected
2015,Lambridge,E05001950,00HAPF,Dave Laming,Independent,597,Not elected
2015,Lambridge,E05001950,00HAPF,Bryan Chalker,Independent,539,Not elected
2015,Lambridge,E05001950,00HAPF,Lin Patterson,Green Party,984,Elected
2015,Lambridge,E05001950,00HAPF,Ron Laden,Labour Party,351,Not elected
2015,Lambridge,E05001950,00HAPF,Vicky Linda Drew,Labour Party,531,Not elected
2015,Lambridge,E05001950,00HAPF,Y Kumar,Liberal Democrats,619,Not elected
2015,Lambridge,E05001950,00HAPF,Rob Appleyard,Liberal Democrats,900,Elected
2011,Lansdown,E05001951,00HAPG,Patrick Michael Anketell-Jones,Conservative Party,1018,Elected
2011,Lansdown,E05001951,00HAPG,Tony Clarke,Conservative Party,888,Elected
2011,Lansdown,E05001951,00HAPG,David Kevin Naismith,Green Party,378,Not elected
2011,Lansdown,E05001951,00HAPG,Cherry Joan Shelton-Mills,Liberal Democrats,378,Not elected
2011,Lansdown,E05001951,00HAPG,Jeremy Thomas Francis Hime,Liberal Democrats,354,Not elected
2011,Lansdown,E05001951,00HAPG,Philip McCabe,Labour Party,289,Not elected
2011,Lansdown,E05001951,00HAPG,Allison Margaret Derrick,Independent,59,Not elected
2007,Lansdown,E05001951,00HAPG,David Hawkins,Conservative Party,970,Elected
2007,Lansdown,E05001951,00HAPG,Anthony Clarke,Conservative Party,935,Elected
2007,Lansdown,E05001951,00HAPG,Yeing-Lang Chong,Liberal Democrats,466,Not elected
2007,Lansdown,E05001951,00HAPG,Henry Ford,Liberal Democrats,466,Not elected
2003,Lansdown,E05001951,00HAPG,David Hawkins,Conservative Party,849,Elected
2003,Lansdown,E05001951,00HAPG,Michael Joh Ringham,Conservative Party,833,Elected
2003,Lansdown,E05001951,00HAPG,Susan Frances Traill,Liberal Democrats,484,Not elected
2003,Lansdown,E05001951,00HAPG,Robin Steven Fenwick,Liberal Democrats,480,Not elected
2015,Lansdown,E05001951,00HAPG,Tony Clarke,Conservative Party,1185,Elected
2015,Lansdown,E05001951,00HAPG,Patrick Michael Anketell-Jones,Conservative Party,1366,Elected
2015,Lansdown,E05001951,00HAPG,Sally Harris,Green Party,594,Not elected
2015,Lansdown,E05001951,00HAPG,Eleanor Rosemary Field,Green Party,537,Not elected
2015,Lansdown,E05001951,00HAPG,Hilary Fraser,Labour Party,313,Not elected
2015,Lansdown,E05001951,00HAPG,Dylan Hughes,Liberal Democrats,425,Not elected
2015,Lansdown,E05001951,00HAPG,Felicity Gibson-Watt,Liberal Democrats,504,Not elected
2011,Lyncombe,E05001952,00HAPH,David Frank Bellotti,Liberal Democrats,1353,Elected
2011,Lyncombe,E05001952,00HAPH,Katie Hall,Liberal Democrats,1095,Elected
2011,Lyncombe,E05001952,00HAPH,Liz Dodgson,Conservative Party,841,Not elected
2011,Lyncombe,E05001952,00HAPH,Ben Robinson,Conservative Party,748,Not elected
2011,Lyncombe,E05001952,00HAPH,Donald Patrick Grimes,Green Party,512,Not elected
2011,Lyncombe,E05001952,00HAPH,Julian Vincent,Labour Party,383,Not elected
2007,Lyncombe,E05001952,00HAPH,David Bellotti,Liberal Democrats,931,Elected
2007,Lyncombe,E05001952,00HAPH,Marian McNeir MBE,Liberal Democrats,850,Elected
2007,Lyncombe,E05001952,00HAPH,Dan Warren,Conservative Party,840,Not elected
2007,Lyncombe,E05001952,00HAPH,Gavin Riach,Conservative Party,819,Not elected
2007,Lyncombe,E05001952,00HAPH,Sebastian Buckley,Green Party,387,Not elected
2007,Lyncombe,E05001952,00HAPH,Don Grimes,Green Party,343,Not elected
2007,Lyncombe,E05001952,00HAPH,Adrian Dolan,Independent,342,Not elected
2003,Lyncombe,E05001952,00HAPH,David Bellotti,Liberal Democrats,848,Elected
2003,Lyncombe,E05001952,00HAPH,Marian McNeir MBE,Liberal Democrats,827,Elected
2003,Lyncombe,E05001952,00HAPH,Elizabeth Marie Dodgson,Conservative Party,767,Not elected
2003,Lyncombe,E05001952,00HAPH,Zena Gay Tulyholowycz,Conservative Party,680,Not elected
2003,Lyncombe,E05001952,00HAPH,Wendy Blackman,Green Party,293,Not elected
2003,Lyncombe,E05001952,00HAPH,Thelma Vivian Grimes,Green Party,214,Not elected
2015,Lyncombe,E05001952,00HAPH,Mark Grosvenor McNeill Shelford,Conservative Party,1165,Elected
2015,Lyncombe,E05001952,00HAPH,Michael Raphael Luke Norton,Conservative Party,1096,Elected
2015,Lyncombe,E05001952,00HAPH,Don Grimes,Green Party,766,Not elected
2015,Lyncombe,E05001952,00HAPH,Tony Ambrose,Green Party,930,Not elected
2015,Lyncombe,E05001952,00HAPH,Nicky Stubbs,Labour Party,384,Not elected
2015,Lyncombe,E05001952,00HAPH,Jay Risbridger,Liberal Democrats,922,Not elected
2015,Lyncombe,E05001952,00HAPH,Katie Hall,Liberal Democrats,1069,Not elected
2015,Lyncombe,E05001952,00HAPH,Hugo Jenks,UK Independence Party,246,Not elected
2011,Mendip,E05001953,00HAPJ,Tim Warren,Conservative Party,646,Elected
2011,Mendip,E05001953,00HAPJ,Tim Thorne,Labour Party,226,Not elected
2011,Mendip,E05001953,00HAPJ,Michael Edwin Jay,Green Party,143,Not elected
2011,Mendip,E05001953,00HAPJ,Benjamin Goldstorm,Liberal Democrats,104,Not elected
2007,Mendip,E05001953,00HAPJ,Tim Warren,Conservative Party,589,Elected
2007,Mendip,E05001953,00HAPJ,Lee Michael Thomas,Labour Party,119,Not elected
2007,Mendip,E05001953,00HAPJ,Michael Jay,Green Party,110,Not elected
2007,Mendip,E05001953,00HAPJ,Raymond Buchanan,Liberal Democrats,74,Not elected
2003,Mendip,E05001953,00HAPJ,Tim Warren,Conservative Party,418,Elected
2003,Mendip,E05001953,00HAPJ,Nicholas John Simon Ajderian,Labour Party,153,Not elected
2003,Mendip,E05001953,00HAPJ,Andrew John Wait,Liberal Democrats,102,Not elected
2015,Mendip,E05001953,00HAPJ,Tim Warren,Conservative Party,1034,Elected
2015,Mendip,E05001953,00HAPJ,Mike Jay,Green Party,344,Not elected
2015,Mendip,E05001953,00HAPJ,Benjamin Goldstrom,Liberal Democrats,242,Not elected
2011,Midsomer Norton North,E05001954,00HAPK,Michael Evans,Conservative Party,849,Elected
2011,Midsomer Norton North,E05001954,00HAPK,Barry MacRae,Conservative Party,787,Elected
2011,Midsomer Norton North,E05001954,00HAPK,Gael Doswell,Labour and Co-operative Party,649,Not elected
2011,Midsomer Norton North,E05001954,00HAPK,Fflyff McLaren,Labour and Co-operative Party,631,Not elected
2011,Midsomer Norton North,E05001954,00HAPK,Michael Jakins,Liberal Democrats,285,Not elected
2011,Midsomer Norton North,E05001954,00HAPK,Tim Bray,Liberal Democrats,231,Not elected
2007,Midsomer Norton North,E05001954,00HAPK,Shirley Steel,Conservative Party,762,Elected
2007,Midsomer Norton North,E05001954,00HAPK,Barry Macrae,Conservative Party,717,Elected
2007,Midsomer Norton North,E05001954,00HAPK,Pat Nicol,Labour Party,589,Not elected
2007,Midsomer Norton North,E05001954,00HAPK,Gail Coleshill,Liberal Democrats,415,Not elected
2007,Midsomer Norton North,E05001954,00HAPK,Grazie Dixon,Liberal Democrats,252,Not elected
2003,Midsomer Norton North,E05001954,00HAPK,Jane Margaret Lewis,Liberal Democrats,464,Elected
2003,Midsomer Norton North,E05001954,00HAPK,Shirley Steel,Conservative Party,396,Elected
2003,Midsomer Norton North,E05001954,00HAPK,Robin John Maggs,Conservative Party,379,Not elected
2003,Midsomer Norton North,E05001954,00HAPK,Matthew Robert Livsey,Labour Party,366,Not elected
2003,Midsomer Norton North,E05001954,00HAPK,David Alexander Knapton,Liberal Democrats,296,Not elected
2003,Midsomer Norton North,E05001954,00HAPK,Anne Marie Jovic Sas,Labour Party,285,Not elected
2003,Midsomer Norton North,E05001954,00HAPK,Julie Mary Moorshead,Independent,238,Not elected
2015,Midsomer Norton North,E05001954,00HAPK,Barry Macrae,Conservative Party,1385,Elected
2015,Midsomer Norton North,E05001954,00HAPK,Michael Evans,Conservative Party,1494,Elected
2015,Midsomer Norton North,E05001954,00HAPK,Tex Clarke,Independent,106,Not elected
2015,Midsomer Norton North,E05001954,00HAPK,Mandy Clarke,Independent,153,Not elected
2015,Midsomer Norton North,E05001954,00HAPK,Joshua James Palmer,Green Party,425,Not elected
2015,Midsomer Norton North,E05001954,00HAPK,Ryan Anthony Maher,Labour Party,769,Not elected
2015,Midsomer Norton North,E05001954,00HAPK,Martine Duggan,Labour Party,944,Not elected
2015,Midsomer Norton North,E05001954,00HAPK,James Alan Clarke,Liberal Democrats,200,Not elected
2015,Midsomer Norton North,E05001954,00HAPK,Diane Christine Bodle,Liberal Democrats,262,Not elected
2011,Midsomer Norton Redfield,E05001955,00HAPL,Paul Myers,Conservative Party,996,Elected
2011,Midsomer Norton Redfield,E05001955,00HAPL,Chris Watt,Conservative Party,903,Elected
2011,Midsomer Norton Redfield,E05001955,00HAPL,Wayne Teall,Labour and Co-operative Party,641,Not elected
2011,Midsomer Norton Redfield,E05001955,00HAPL,Peter Sas,Labour and Co-operative Party,545,Not elected
2011,Midsomer Norton Redfield,E05001955,00HAPL,Dennis Tickell,Liberal Democrats,173,Not elected
2011,Midsomer Norton Redfield,E05001955,00HAPL,Allan Richard Crossley,Liberal Democrats,159,Not elected
2007,Midsomer Norton Redfield,E05001955,00HAPL,Chris Watt,Conservative Party,970,Elected
2007,Midsomer Norton Redfield,E05001955,00HAPL,John Whittock,Conservative Party,876,Elected
2007,Midsomer Norton Redfield,E05001955,00HAPL,David John Smith,Labour Party,585,Not elected
2007,Midsomer Norton Redfield,E05001955,00HAPL,Elaine (commonly known as FFLYFF) McLaren,Labour Party,543,Not elected
2007,Midsomer Norton Redfield,E05001955,00HAPL,Rachel Sinkins,Liberal Democrats,96,Not elected
2007,Midsomer Norton Redfield,E05001955,00HAPL,David Marks,Liberal Democrats,95,Not elected
2003,Midsomer Norton Redfield,E05001955,00HAPL,Chris Watt,Conservative Party,627,Elected
2003,Midsomer Norton Redfield,E05001955,00HAPL,Betty May Perry,Independent,601,Elected
2003,Midsomer Norton Redfield,E05001955,00HAPL,Barry James Gillett,Conservative Party,559,Not elected
2003,Midsomer Norton Redfield,E05001955,00HAPL,Elaine (commonly known as FFLYFF) McLaren,Labour and Co-operative Party,493,Not elected
2003,Midsomer Norton Redfield,E05001955,00HAPL,Stewart Edward Weston,Labour and Co-operative Party,270,Not elected
2015,Midsomer Norton Redfield,E05001955,00HAPL,Chris Watt,Conservative Party,1410,Elected
2015,Midsomer Norton Redfield,E05001955,00HAPL,Paul Anthony Myers,Conservative Party,1633,Elected
2015,Midsomer Norton Redfield,E05001955,00HAPL,Vicki Gait,Green Party,593,Not elected
2015,Midsomer Norton Redfield,E05001955,00HAPL,Liz Derl-Davis,Labour Party,888,Not elected
2015,Midsomer Norton Redfield,E05001955,00HAPL,Michael Jakins,Liberal Democrats,311,Not elected
2015,Midsomer Norton Redfield,E05001955,00HAPL,Alan Feest,Liberal Democrats,229,Not elected
2011,Newbridge,E05001956,00HAPM,Loraine Brinkhurst MBE,Liberal Democrats,1246,Elected
2011,Newbridge,E05001956,00HAPM,Caroline Roberts,Liberal Democrats,1146,Elected
2011,Newbridge,E05001956,00HAPM,Mike Clarkson,Conservative Party,727,Not elected
2011,Newbridge,E05001956,00HAPM,Dan Hogston,Conservative Party,688,Not elected
2011,Newbridge,E05001956,00HAPM,Jo McCarron,Labour Party,513,Not elected
2011,Newbridge,E05001956,00HAPM,Gavin Alexander Withers,Green Party,364,Not elected
2007,Newbridge,E05001956,00HAPM,Loraine Brinkhurst MBE,Liberal Democrats,965,Elected
2007,Newbridge,E05001956,00HAPM,Caroline Roberts,Liberal Democrats,921,Elected
2007,Newbridge,E05001956,00HAPM,Bob Baker,Conservative Party,848,Not elected
2007,Newbridge,E05001956,00HAPM,Donal Thomas Hassett,Conservative Party,829,Not elected
2003,Newbridge,E05001956,00HAPM,Loraine Brinkhurst MBE,Liberal Democrats,888,Elected
2003,Newbridge,E05001956,00HAPM,Caroline Roberts,Liberal Democrats,780,Elected
2003,Newbridge,E05001956,00HAPM,Robert Peter Baker,Conservative Party,669,Not elected
2003,Newbridge,E05001956,00HAPM,David Elkington,Conservative Party,618,Not elected
2015,Newbridge,E05001956,00HAPM,Guy Theodore Palmer,Conservative Party,960,Not elected
2015,Newbridge,E05001956,00HAPM,Donal Thomas Hassett,Conservative Party,1099,Elected
2015,Newbridge,E05001956,00HAPM,Loraine Morgan-Brinkhurst,Independent,603,Not elected
2015,Newbridge,E05001956,00HAPM,Antony Stuart Dobson,Green Party,766,Not elected
2015,Newbridge,E05001956,00HAPM,Michelle Anne Young,Labour Party,564,Not elected
2015,Newbridge,E05001956,00HAPM,Caroline Roberts,Liberal Democrats,1008,Elected
2015,Newbridge,E05001956,00HAPM,Michelle Anne O'Doherty,Liberal Democrats,914,Not elected
2011,Odd Down,E05001957,00HAPN,Steve Hedges,Liberal Democrats,1016,Elected
2011,Odd Down,E05001957,00HAPN,Nigel John Roberts,Liberal Democrats,858,Elected
2011,Odd Down,E05001957,00HAPN,Liz Vincent,Labour Party,381,Not elected
2011,Odd Down,E05001957,00HAPN,Nicolas de Larrinaga,Conservative Party,378,Not elected
2011,Odd Down,E05001957,00HAPN,Dominic Barrington Tristram,Green Party,343,Not elected
2011,Odd Down,E05001957,00HAPN,Meredith Alun Lloyd,Conservative Party,328,Not elected
2007,Odd Down,E05001957,00HAPN,Steve Hedges,Liberal Democrats,789,Elected
2007,Odd Down,E05001957,00HAPN,Nigel Roberts,Liberal Democrats,704,Elected
2007,Odd Down,E05001957,00HAPN,Graham Paul Walker,Conservative Party,491,Not elected
2007,Odd Down,E05001957,00HAPN,Paul Julian Marquis,Conservative Party,469,Not elected
2007,Odd Down,E05001957,00HAPN,Tony Gillingham,Independent,295,Not elected
2007,Odd Down,E05001957,00HAPN,Liz Vincent,Labour Party,197,Not elected
2003,Odd Down,E05001957,00HAPN,Steve Hedges,Liberal Democrats,674,Elected
2003,Odd Down,E05001957,00HAPN,Nigel Roberts,Liberal Democrats,574,Elected
2003,Odd Down,E05001957,00HAPN,Janet Elizabeth McPherson (commonly known as Mansf,Conservative Party,523,Not elected
2003,Odd Down,E05001957,00HAPN,Donald Albert Alfons Spearman,Conservative Party,442,Not elected
2003,Odd Down,E05001957,00HAPN,Timothy Edwin Pearce,Labour and Co-operative Party,202,Not elected
2015,Odd Down,E05001957,00HAPN,Lance Loxton Payton,Conservative Party,589,Not elected
2015,Odd Down,E05001957,00HAPN,Joel William Harper,Conservative Party,711,Not elected
2015,Odd Down,E05001957,00HAPN,Karen Jayne Robinson,Green Party,532,Not elected
2015,Odd Down,E05001957,00HAPN,Christopher Peter Jensen,Green Party,421,Not elected
2015,Odd Down,E05001957,00HAPN,Liz Vincent,Labour Party,480,Not elected
2015,Odd Down,E05001957,00HAPN,Nigel Roberts,Liberal Democrats,885,Elected
2015,Odd Down,E05001957,00HAPN,Steve Hedges,Liberal Democrats,1269,Elected
2015,Odd Down,E05001957,00HAPN,Joska Vincent,UK Independence Party,380,Not elected
2011,Oldfield,E05001958,00HAPP,Will Sandry,Liberal Democrats,782,Elected
2011,Oldfield,E05001958,00HAPP,David Christopher Dixon,Liberal Democrats,690,Elected
2011,Oldfield,E05001958,00HAPP,Hilary Fraser,Labour Party,380,Not elected
2011,Oldfield,E05001958,00HAPP,Roger Chapman,Labour Party,378,Not elected
2011,Oldfield,E05001958,00HAPP,David Beasley,Green Party,333,Not elected
2011,Oldfield,E05001958,00HAPP,Jonathan Peter Grinham,Conservative Party,308,Not elected
2011,Oldfield,E05001958,00HAPP,Jack Whalley,Conservative Party,300,Not elected
2007,Oldfield,E05001958,00HAPP,Shaun McGall,Liberal Democrats,854,Elected
2007,Oldfield,E05001958,00HAPP,Will Sandry,Liberal Democrats,770,Elected
2007,Oldfield,E05001958,00HAPP,Christopher Fry,Independent,349,Not elected
2007,Oldfield,E05001958,00HAPP,Louise Walker,Conservative Party,328,Not elected
2007,Oldfield,E05001958,00HAPP,Ian Leonard Norman Nockolds,Conservative Party,250,Not elected
2007,Oldfield,E05001958,00HAPP,Mike Collins,Labour Party,195,Not elected
2007,Oldfield,E05001958,00HAPP,Grenville Malcolm John Young,Labour Party,172,Not elected
2003,Oldfield,E05001958,00HAPP,Shaun McGall,Liberal Democrats,714,Elected
2003,Oldfield,E05001958,00HAPP,Ruth Griffiths,Liberal Democrats,689,Elected
2003,Oldfield,E05001958,00HAPP,Audrey Archer,Conservative Party,333,Not elected
2003,Oldfield,E05001958,00HAPP,Colin Frederick Evans,Conservative Party,298,Not elected
2003,Oldfield,E05001958,00HAPP,Karen Ruth Weston,Labour and Co-operative Party,258,Not elected
2015,Oldfield,E05001958,00HAPP,Thomas Peter Hobson,Conservative Party,677,Not elected
2015,Oldfield,E05001958,00HAPP,Chris Goodenough,Conservative Party,769,Not elected
2015,Oldfield,E05001958,00HAPP,Jamie Smith,Green Party,810,Not elected
2015,Oldfield,E05001958,00HAPP,Rachel Susanna Willis,Labour Party,568,Not elected
2015,Oldfield,E05001958,00HAPP,Peter John Marsh,Labour Party,491,Not elected
2015,Oldfield,E05001958,00HAPP,Will Sandry,Liberal Democrats,1091,Elected
2015,Oldfield,E05001958,00HAPP,Shaun McGall,Liberal Democrats,930,Elected
2011,Paulton,E05001959,00HAPQ,John Anthony Bull,Labour Party,787,Elected
2011,Paulton,E05001959,00HAPQ,Liz Hardman,Labour Party,785,Elected
2011,Paulton,E05001959,00HAPQ,Mike Colliver,Conservative Party,616,Not elected
2011,Paulton,E05001959,00HAPQ,Stephen John Goodwin,Conservative Party,432,Not elected
2011,Paulton,E05001959,00HAPQ,Debby Tarrant,Liberal Democrats,333,Not elected
2011,Paulton,E05001959,00HAPQ,Adam Taylor,Liberal Democrats,293,Not elected
2007,Paulton,E05001959,00HAPQ,John Bull,Labour Party,637,Elected
2007,Paulton,E05001959,00HAPQ,David Speirs,Labour Party,575,Elected
2007,Paulton,E05001959,00HAPQ,Michael Green,Conservative Party,444,Not elected
2007,Paulton,E05001959,00HAPQ,Kate Simmons,Conservative Party,435,Not elected
2007,Paulton,E05001959,00HAPQ,Luke Gilliam,Liberal Democrats,200,Not elected
2007,Paulton,E05001959,00HAPQ,David Matthews,Liberal Democrats,179,Not elected
2003,Paulton,E05001959,00HAPQ,Harriet Joy Ajderian,Labour Party,548,Elected
2003,Paulton,E05001959,00HAPQ,Brian Colin Barrett,Labour Party,509,Elected
2003,Paulton,E05001959,00HAPQ,William Alan Brown,Conservative Party,280,Not elected
2003,Paulton,E05001959,00HAPQ,Joseph Jefferies,Conservative Party,202,Not elected
2003,Paulton,E05001959,00HAPQ,David Matthews,Liberal Democrats,167,Not elected
2003,Paulton,E05001959,00HAPQ,William Gordon Melling,Liberal Democrats,131,Not elected
2015,Paulton,E05001959,00HAPQ,Kate Simmons,Conservative Party,530,Not elected
2015,Paulton,E05001959,00HAPQ,Mike Colliver,Conservative Party,844,Not elected
2015,Paulton,E05001959,00HAPQ,Paul Leslie Bailes,Independent,673,Not elected
2015,Paulton,E05001959,00HAPQ,Rory James Lee,Green Party,235,Not elected
2015,Paulton,E05001959,00HAPQ,Liz Hardman,Labour Party,1170,Elected
2015,Paulton,E05001959,00HAPQ,John Bull,Labour Party,861,Elected
2015,Paulton,E05001959,00HAPQ,Charlotte Lightowler,Liberal Democrats,140,Not elected
2015,Paulton,E05001959,00HAPQ,Stephen Dawson,Liberal Democrats,110,Not elected
2015,Paulton,E05001959,00HAPQ,Jeff Humphries,UK Independence Party,589,Not elected
2011,Peasedown,E05001960,00HAPR,Nathan Hartley,Liberal Democrats,1172,Elected
2011,Peasedown,E05001960,00HAPR,Sarah Frances Bevan,Liberal Democrats,1149,Elected
2011,Peasedown,E05001960,00HAPR,Guy Matthews,Labour Party,361,Not elected
2011,Peasedown,E05001960,00HAPR,Robert William George Butt,Independent,360,Not elected
2011,Peasedown,E05001960,00HAPR,Kathy Thomas,Independent,288,Not elected
2011,Peasedown,E05001960,00HAPR,Jonathan Paul Rich,Independent,287,Not elected
2011,Peasedown,E05001960,00HAPR,Margaret Rose Brewer,Conservative Party,268,Not elected
2011,Peasedown,E05001960,00HAPR,Anne Marie Jovic-Sas,Labour Party,252,Not elected
2011,Peasedown,E05001960,00HAPR,Deirdre Mary Horstmann,Conservative Party,238,Not elected
2007,Peasedown,E05001960,00HAPR,Councillor Sarah Bevan,Liberal Democrats,874,Elected
2007,Peasedown,E05001960,00HAPR,Councillor Nathan Hartley,Liberal Democrats,731,Elected
2007,Peasedown,E05001960,00HAPR,Councillor Robert Butt,No Party,456,Not elected
2007,Peasedown,E05001960,00HAPR,Jonathan Paul Rich,No Party,366,Not elected
2007,Peasedown,E05001960,00HAPR,Zoe Papadopoulos,Labour Party,301,Not elected
2007,Peasedown,E05001960,00HAPR,Peter Hancock,Conservative Party,288,Not elected
2007,Peasedown,E05001960,00HAPR,Walter David John Terrance Reakes,Labour Party,280,Not elected
2007,Peasedown,E05001960,00HAPR,Ben Houghton,Conservative Party,241,Not elected
2007,Peasedown,E05001960,00HAPR,David Peter Edler,Green Party,164,Not elected
2003,Peasedown,E05001960,00HAPR,Sarah Bevan,Liberal Democrats,606,Elected
2003,Peasedown,E05001960,00HAPR,Gail Coleshill,Liberal Democrats,597,Elected
2003,Peasedown,E05001960,00HAPR,Robert Butt,Labour Party,498,Not elected
2003,Peasedown,E05001960,00HAPR,Gael Doswell,Labour Party,356,Not elected
2003,Peasedown,E05001960,00HAPR,Brian Harbour,Conservative Party,236,Not elected
2003,Peasedown,E05001960,00HAPR,Colleen Patricia Curtis Jefferies,Conservative Party,222,Not elected
2015,Peasedown,E05001960,00HAPR,Stephen John Goodwin,Conservative Party,668,Not elected
2015,Peasedown,E05001960,00HAPR,Jo Davis,Conservative Party,880,Not elected
2015,Peasedown,E05001960,00HAPR,Kathy Thomas,Independent,453,Not elected
2015,Peasedown,E05001960,00HAPR,Karen Walker,"No politics, just Peasedown",906,Elected
2015,Peasedown,E05001960,00HAPR,Sarah Bevan,"No politics, just Peasedown",1095,Elected
2015,Peasedown,E05001960,00HAPR,Louis Peter Williams,Green Party,283,Not elected
2015,Peasedown,E05001960,00HAPR,Jonathan Paul Rich,Labour Party,879,Not elected
2015,Peasedown,E05001960,00HAPR,Lesley Mansell,Labour Party,634,Not elected
2015,Peasedown,E05001960,00HAPR,Ray Love,Liberal Democrats,304,Not elected
2015,Peasedown,E05001960,00HAPR,Wera Hobhouse,Liberal Democrats,463,Not elected
2011,Publow and Whitchurch,E05001961,00HAPS,Peter Michael John Edwards,Conservative Party,644,Elected
2011,Publow and Whitchurch,E05001961,00HAPS,Roy Staddon,Labour Party,184,Not elected
2011,Publow and Whitchurch,E05001961,00HAPS,Anna Beria,Liberal Democrats,65,Not elected
2007,Publow and Whitchurch,E05001961,00HAPS,Peter Edwards,Conservative Party,577,Elected
2007,Publow and Whitchurch,E05001961,00HAPS,Peter John Metcalfe,Liberal Democrats,126,Not elected
2007,Publow and Whitchurch,E05001961,00HAPS,Anna Louise Nicol,Labour Party,70,Not elected
2003,Publow and Whitchurch,E05001961,00HAPS,Peter Edwards,Conservative Party,360,Elected
2003,Publow and Whitchurch,E05001961,00HAPS,Lawrence Hunt,Labour Party,164,Not elected
2003,Publow and Whitchurch,E05001961,00HAPS,Rosalind Dawn Smallwood,Liberal Democrats,80,Not elected
2015,Publow and Whitchurch,E05001961,00HAPS,Paul May,Conservative Party,979,Elected
2015,Publow and Whitchurch,E05001961,00HAPS,Christine Anne Brown,Green Party,285,Not elected
2015,Publow and Whitchurch,E05001961,00HAPS,Dick Beath,Liberal Democrats,210,Not elected
2011,Radstock,E05001962,00HAPT,Simon George Allen,Liberal Democrats,799,Elected
2011,Radstock,E05001962,00HAPT,Eleanor Margaret Jackson,Labour and Co-operative Party,711,Elected
2011,Radstock,E05001962,00HAPT,Lesley Mansell,Labour and Co-operative Party,639,Not elected
2011,Radstock,E05001962,00HAPT,Gabby Durham,Liberal Democrats,551,Not elected
2011,Radstock,E05001962,00HAPT,Michael Cobb,Conservative Party,299,Not elected
2011,Radstock,E05001962,00HAPT,Carole Diane Fitzpatrick,Conservative Party,250,Not elected
2007,Radstock,E05001962,00HAPT,Eleanor Jackson,Labour Party,611,Elected
2007,Radstock,E05001962,00HAPT,Allan Brian George Hall,No Party,483,Elected
2007,Radstock,E05001962,00HAPT,Deborah Jane Porter,Independent,430,Not elected
2007,Radstock,E05001962,00HAPT,Phyllis Gay,Independent,396,Not elected
2007,Radstock,E05001962,00HAPT,Michael Boulton,Independent,376,Not elected
2007,Radstock,E05001962,00HAPT,Jonathan Jeffrey Gay,Independent,264,Not elected
2007,Radstock,E05001962,00HAPT,Lindsay Clare Elliott,Conservative Party,213,Not elected
2007,Radstock,E05001962,00HAPT,Michael John Cobb,Conservative Party,199,Not elected
2003,Radstock,E05001962,00HAPT,Phyllis Gay,Independent,658,Elected
2003,Radstock,E05001962,00HAPT,Jonathan Jeffrey Gay,Independent,461,Elected
2003,Radstock,E05001962,00HAPT,Peter Jovic-Sas,Labour and Co-operative Party,370,Not elected
2003,Radstock,E05001962,00HAPT,Allan Brian George Hall,Independent,298,Not elected
2003,Radstock,E05001962,00HAPT,Gabriel Batt,Conservative Party,124,Not elected
2003,Radstock,E05001962,00HAPT,Sebastien Long,Conservative Party,109,Not elected
2015,Radstock,E05001962,00HAPT,Deirdre Mary Horstmann,Conservative Party,643,Elected
2015,Radstock,E05001962,00HAPT,Tony Heaford,Conservative Party,637,Not elected
2015,Radstock,E05001962,00HAPT,Gael Kathryn Susan Doswell,Independent,380,Not elected
2015,Radstock,E05001962,00HAPT,Terry Pitt,Green Party,402,Not elected
2015,Radstock,E05001962,00HAPT,Anne Marie Jovcic-Sas,Labour and Co-operative Party,634,Not elected
2015,Radstock,E05001962,00HAPT,Chris Dando,Labour and Co-operative Party,865,Elected
2015,Radstock,E05001962,00HAPT,Nettie Williams,Liberal Democrats,593,Not elected
2015,Radstock,E05001962,00HAPT,Bruce Andrew Shearne,Liberal Democrats,558,Not elected
2015,Radstock,E05001962,00HAPT,Rob Langley,,327,Not elected
2011,Saltford,E05001963,00HAPU,Francine Haeberling,Conservative Party,932,Elected
2011,Saltford,E05001963,00HAPU,Mathew Blankley,Conservative Party,894,Elected
2011,Saltford,E05001963,00HAPU,Reg Williams,Independent,596,Not elected
2011,Saltford,E05001963,00HAPU,Michael John Tucker,Labour Party,293,Not elected
2011,Saltford,E05001963,00HAPU,Raymond Buchanan,Liberal Democrats,273,Not elected
2011,Saltford,E05001963,00HAPU,Elizabeth Anne Derl-Davis,Labour Party,258,Not elected
2011,Saltford,E05001963,00HAPU,Daniel Robert Walker,Liberal Democrats,83,Not elected
2007,Saltford,E05001963,00HAPU,Francine Haeberling,Conservative Party,903,Elected
2007,Saltford,E05001963,00HAPU,Gordon Wood,Conservative Party,799,Elected
2007,Saltford,E05001963,00HAPU,Reg Williams,Independent,386,Not elected
2007,Saltford,E05001963,00HAPU,Peter Edwin Baker,Liberal Democrats,311,Not elected
2007,Saltford,E05001963,00HAPU,Roger Mark Penny,Liberal Democrats,187,Not elected
2007,Saltford,E05001963,00HAPU,Carol Ann Tucker,Labour Party,170,Not elected
2003,Saltford,E05001963,00HAPU,Francine Haeberling,Conservative Party,792,Elected
2003,Saltford,E05001963,00HAPU,Gordon Wood,Conservative Party,724,Elected
2003,Saltford,E05001963,00HAPU,Raymond Buchanan,Liberal Democrats,402,Not elected
2003,Saltford,E05001963,00HAPU,Tony Crouch,Liberal Democrats,334,Not elected
