title,description,updated
INSPIRE CIL Retail Charging Zone,2016-10-21,Community Infrastructure Levy (CIL) Charging Zones maps for new development in Bath and North East Somerset. These identify the locations and boundaries to which the residential and non-residential CIL charges apply.
POLLING DISTRICTS 2015,2016-08-22,POLLING DISTRICTS 2015
Bath Bats,2017-05-23,Bath Bats
Air Quality 15 Min Feed - Live,2014-07-01,Test feed from web-site
INSPIRE Primary Shopping Frontage Policy S5,2016-10-21,"Local Plan Policy S5 adopted 2007. Primary frontages protect retail uses within the areas defined in Bath central shopping area and Keynsham, Midsomer Norton and Radstock town centres"
Lead Flood Authority Line Data,2016-08-22,"Lead Local Flood Authorities were formed by the Flood and Water Management Act 2010 with the purpose of leading on the management of local flood risk. Local flood risk includes flooding from surface water, groundwater and ordinary watercourses."
BANES Planning applications,2019-11-23,Details of planning applications including location and relevant dates.
INSPIRE CIL Hotel Charging Zone,2016-10-21,Community Infrastructure Levy (CIL) Charging Zones maps for new development in Bath & North East Somerset. These identify the locations and boundaries to which the residential and non-residential CIL charges apply.
INSPIRE Lead Local Flood Authority (LLFA) Register of Assets (Line Data),2016-10-21,Lead Local Flood Authority (LLFA) Register of assets associated with flood risk (Line Data) : to be used in conjunction with LLFA point and LLFA polygon datasets.
Bath & North East Somerset Postcodes,2014-09-25,"A list of postcodes within the B&NES Unitary Authority, including the lat/long of the centroid of the postcode and the name of the ward within which it is found. The data slso Includes links to the Ordnance Survey Linked Data"
Basic Company Data (B&NES subset by postcode),2016-07-02,"Please bear in mind that local businesses may not have their registered address in the B&NES area.

Subsetting carried out against list of B&NES postcodes contained within the datastore."
Ofcom Broadband coverage,2014-10-19,Ofcom Broadband coverage
Public Rights of Way - North East Somerset,2016-08-22,"This information has not been fully checked for accuracy. "" The data does not constitute a legal record of public rights of way or common land and must not therefore be relied upon as such.  If you have any queries please contact Bath and North East Somerset Council’s Public Rights of way Team on 01225 477532."
BANES Gambling Premises Licences,2019-11-23,"A Premises Licence, issued under the Gambling Act 2005 (the Act), is required for any premises where it is intended to provide gambling facilities.  These are listed here, with licence details."
BANES Subset Of Ofcom Legacy Mobile Phone Base Station Database,2014-10-19,"The Sitefinder database hosted by Ofcom (http://www.sitefinder.ofcom.org.uk/) contains a composite of information supplied voluntarily by each of the contributing operators from time to time.
By accessing the database, various information (including Name of Operator, Operator Site Ref., Station Type, Height of Antenna, Frequency range, Transmitter power, Maximum licensed power, Type of Transmission) is displayed in relation to a particular mobile phone base station in the searched location. That information is based on the underlying dataset provided to Ofcom by the contributing operators. Ofcom makes no corrections to the data supplied by the operators and therefore Ofcom cannot accept liability for any inaccuracies or omissions in the data provided within Sitefinder, or its currency.
This Excel spreadsheet contains information from the underlying datasets used by Ofcom in the last update of Sitefinder in May 2012, which information includes grid reference information that is not displayed in Sitefinder. However, it should be noted that some information contained in this spreadsheet will be out-of-date. This is because, in particular, T-Mobile (since 2005), Orange (since 2010) and Airwave (since 2010) have decided to suspend participation and in consequence, data has not been updated. The last update in May 2012 (as reflected in this spreadsheet) is based on the following datasets received by Ofcom: O2 (May 2012), Network Rail (April 2012), Hutchison (February 2012), Vodafone (October 2011), Airwave (February 2010), Orange (February 2010) and T-Mobile (August 2005).
The information in this spreadsheet may therefore contain inaccuracies or omissions, particularly when compared with current network deployment, for the same reasons explained above."
Polling Station Review 2014,2014-12-11,Polling Station Review 2014
category_tiles,2015-02-18,Template Dataset: category_tiles
Brownfield Register Pilot - June 2017 (Correct Geocoding),2017-07-31,http://www.bathnes.gov.uk/services/planning-and-building-control/planning-policy/brownfield-register with geocoding errors fixed.
BANES Important Buildings Centroids,2015-08-30,"Schools & healthcare facilities in BANES.

Extracted from Ordnance Survey Open Map Local Important Buildings layer.

Due to a lack of a building grouping key, some names have been manually edited to allow for building clustering & centroid derivation.

Shapefiles can be found at http://fiodev.co.uk/data/shapefiles/banes_important_buildings_edited.zip & http://fiodev.co.uk/data/shapefiles/banes_important_buildings_centroids.zip"
Transport API,2015-07-15,"Live train, bus, TFL, coach departures, journey planning (rail or car) available through a free API."
BANES Historic Car Park Occupancy,2019-11-27,"Shows the trend of occupancy of BANES car parks, with data updated every 5 minutes.  Includes full up-to-date data."
Sample School Energy Data (Stacked),2016-02-12,"This data is provided as an examplar of school energy use data, to allow development of projects ahead of any full release of school energy use data. Energy use values are kWh/30 mins. See attached metadata.THIS DATA IS PROVIDED FOR PERSONAL, NON-COMMERCIAL USE."
Open Pubs - Bath & North East Somerset,2016-12-16,"Subset of the Open Pubs dataset including only pubs falling within the Bath and North East Somerset local authority.

Includes pub name, address, and positon in eastings and northings and latitude and longitude as open data.

Open Pubs is derived from the Food Standard Agency's Food Hygiene Ratings which is open data licensed under their T&Cs:

https://www.food.gov.uk/about-us/data-and-policies/aboutsite/termsandconditions/hygiene-rating-data

Local authority data is derived from the ONS Postcode Directory, which is licensed under the OGL, but does require the following attribution statements:

- Contains OS data © Crown copyright and database right 2016
- Contains Royal Mail data © Royal Mail copyright and database right 2016
- Contains National Statistics data © Crown copyright and database right 2016"
Management Information - Schools - 1 Sept 2005 To 31 August 2015,2015-12-16,Management information published monthly and a one-off publication of inspection outcomes from 2005 to 2015.
Historic Weather August 2014 - Present,2015-11-30,Weather data pulled every 24 hours form the Wunderground.com API starting from 1st Aug 2014. This dataset compliments the weather dataset already present in the datastore for pre August 2014.
Supermarkets in BANES,2015-06-12,Rooftop locations & addresses of BANES supermarkets.
Location of B&NES Schools,2016-08-22,"Location of Primary, Secondary and Special Schools"
Bat Survey 2016 Species,2017-05-17,Species codes and names for the dataset Bat Survey 2016 Observations.
