title,url,created,state,whensent,category,lastupdate,latitude,longitude,ward,Location,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
Protruding bolts,https://www.fixmystreet.com/report/687268,2015-09-09 15:12:45 UTC,fixed - user,2015-09-09 15:15:37 UTC,Roads/highways,2015-09-15 13:08:02 UTC,51.289999,-2.464761,Westfield,"(51.289999, -2.464761)",26,507,26,1,99
Pothole,https://www.fixmystreet.com/report/969967,2017-02-01 09:12:07 UTC,confirmed,2017-02-01 09:25:40 UTC,Roads/highways,2017-03-01 10:47:40 UTC,51.360275,-2.318571,Monkton Combe,"(51.360275, -2.318571)",10,56,10,1,113
Trees and shrubs overhanging,https://www.fixmystreet.com/report/851661,2016-07-01 09:15:44 UTC,confirmed,2016-07-01 09:20:09 UTC,Pavements/footpaths,2016-07-01 09:20:09 UTC,51.3631,-2.365161,Lyncombe,"(51.3631, -2.365161)",18,261,17,1,4
Parked Lorries outside children's play area,https://www.fixmystreet.com/report/873450,2016-08-05 17:47:38 UTC,confirmed,2016-08-05 23:05:14 UTC,Roads/highways,2016-09-03 08:57:18 UTC,51.400532,-2.552569,Whitchurch,"(51.400532, -2.552569)",7,403,20,1,75
Potholes on junction,https://www.fixmystreet.com/report/982096,2017-02-16 12:46:21 UTC,confirmed,2017-02-16 12:50:28 UTC,Potholes,2017-02-16 12:50:28 UTC,51.296974,-2.533629,Farrington Gurney,"(51.296974, -2.533629)",3,131,23,1,43
Snapped / broken bollard,https://www.fixmystreet.com/report/870538,2016-08-01 16:21:34 UTC,confirmed,2016-08-01 16:25:31 UTC,Roads/highways,2016-08-01 16:25:31 UTC,51.382987,-2.364321,Kingsmead,"(51.382987, -2.364321)",34,193,9,1,55
Pothole on uphill carriageway,https://www.fixmystreet.com/report/993577,2017-03-03 11:02:22 UTC,confirmed,2017-03-03 11:05:22 UTC,Potholes,2017-03-03 11:05:22 UTC,51.401125,-2.303945,Bathford,"(51.401125, -2.303945)",1,41,10,1,26
Parking on double yellow lines.,https://www.fixmystreet.com/report/973143,2017-02-05 11:47:36 UTC,confirmed,2017-02-05 11:50:23 UTC,Car parking,2017-02-05 11:50:23 UTC,51.307346,-2.503724,Paulton,"(51.307346, -2.503724)",13,363,23,1,68
Drain cover has fallen through,https://www.fixmystreet.com/report/926864,2016-11-14 14:15:54 UTC,fixed - user,2016-11-14 14:20:11 UTC,Roads/highways,2016-11-18 12:11:03 UTC,51.340825,-2.40636,Dunkerton and Tunley,"(51.340825, -2.40636)",9,65,22,1,28
Cars parking on the pavement,https://www.fixmystreet.com/report/898326,2016-09-19 08:53:47 UTC,confirmed,2016-09-19 08:55:38 UTC,Car parking,2016-10-17 13:20:14 UTC,51.406161,-2.558468,Whitchurch,"(51.406161, -2.558468)",7,404,20,1,75
2 man hole cover surrounds breaking up creating a hazard,https://www.fixmystreet.com/report/840105,2016-06-13 10:35:50 UTC,confirmed,2016-06-13 10:40:15 UTC,Roads/highways,2016-06-13 10:40:15 UTC,51.291731,-2.492825,Midsomer Norton,"(51.291731, -2.492825)",11,280,25,1,10
"Missing ""50"" mph gateway sign plate; damaged sign poles",https://www.fixmystreet.com/report/811482,2016-04-19 09:51:51 UTC,confirmed,2016-04-19 09:55:25 UTC,Road traffic signs,2016-04-19 09:55:25 UTC,51.330193,-2.409355,Dunkerton and Tunley,"(51.330193, -2.409355)",9,65,22,1,28
Pothole Needs Fixing,https://www.fixmystreet.com/report/717552,2015-11-18 13:06:56 UTC,confirmed,2015-11-18 13:11:05 UTC,Potholes,2015-11-18 13:11:05 UTC,51.403848,-2.396186,Weston,"(51.403848, -2.396186)",20,555,5,1,105
Rats running through parking area,https://www.fixmystreet.com/report/916914,2016-10-24 20:42:57 UTC,confirmed,2016-10-24 20:45:11 UTC,Street cleaning,2016-11-25 00:10:49 UTC,51.381553,-2.367388,Kingsmead,"(51.381553, -2.367388)",34,195,9,1,55
Rubbish in underpass,https://www.fixmystreet.com/report/832119,2016-05-30 11:06:59 UTC,confirmed,2016-05-30 11:10:29 UTC,Street cleaning,2016-05-30 11:10:29 UTC,51.378275,-2.370763,Widcombe,"(51.378275, -2.370763)",33,563,12,1,112
Slick surface in road. Dangerous for motorcyclists.,https://www.fixmystreet.com/report/943911,2016-12-17 17:35:31 UTC,confirmed,2016-12-17 17:40:24 UTC,Roads/highways,2016-12-17 17:40:24 UTC,51.376158,-2.408388,Twerton,"(51.376158, -2.408388)",28,471,11,1,90
"Very large,deep pothole on road just past the traffic lights in direction of Farmborough",https://www.fixmystreet.com/report/960748,2017-01-18 14:52:56 UTC,confirmed,2017-01-18 14:55:56 UTC,Potholes,2017-01-18 14:55:56 UTC,51.35632,-2.484626,Marksbury,"(51.35632, -2.484626)",8,130,16,1,40
Bollard knocked down,https://www.fixmystreet.com/report/862120,2016-07-18 20:06:18 UTC,fixed - user,2016-07-18 20:10:22 UTC,Road traffic signs,2016-08-15 21:00:51 UTC,51.399042,-2.458814,Saltford,"(51.399042, -2.458814)",17,422,16,1,80
Someone has turned the 20/30 mph signs around so that it is showing 30mph coming into Timsbury not 20mph,https://www.fixmystreet.com/report/1002305,2017-03-14 08:20:24 UTC,confirmed,2017-03-14 08:25:12 UTC,Road traffic signs,2017-03-19 14:13:27 UTC,51.328817,-2.47862,Timsbury,"(51.328817, -2.47862)",14,455,16,1,88
Car debris dumped,https://www.fixmystreet.com/report/107781,2010-04-05 20:42:22 UTC,fixed,2010-04-05 20:45:05 UTC,Flytipping,2010-04-24 14:33:48 UTC,51.38808049,-2.39596109,Newbridge,"(51.38808049, -2.39596109)",29,315,8,1,16
Concealed driveway sign obscured,https://www.fixmystreet.com/report/516851,2014-08-28 20:12:41 UTC,fixed - user,2014-08-28 20:15:16 UTC,Roads/highways,2014-09-15 09:59:51 UTC,51.39243042,-2.387487406,Weston,"(51.39243042, -2.387487406)",20,551,5,1,107
Damaged/missing bin,https://www.fixmystreet.com/report/25,2007-02-05 16:16:52 UTC,confirmed,2007-02-05 19:38:44 UTC,Other,2007-02-05 19:38:44 UTC,51.37370635,-2.34054385,Widcombe,"(51.37370635, -2.34054385)",33,558,12,1,110
Pot holes,https://www.fixmystreet.com/report/435634,2014-02-06 21:35:36 UTC,fixed - user,2014-02-06 21:40:10 UTC,Potholes,2014-04-12 19:22:40 UTC,51.408906,-2.547663,Whitchurch,"(51.408906, -2.547663)",7,403,20,1,75
Intermittent streetlight fault,https://www.fixmystreet.com/report/315171,2013-01-30 22:45:47 UTC,fixed - user,2013-01-30 22:50:09 UTC,Street lighting,2013-03-28 08:30:40 UTC,51.371865,-2.400148,Southdown,"(51.371865, -2.400148)",27,437,15,1,86
Footpath obstructed,https://www.fixmystreet.com/report/382113,2013-08-25 15:20:57 UTC,confirmed,2013-08-25 15:25:20 UTC,Pavements/footpaths,2013-08-25 15:25:20 UTC,51.315847,-2.652087,Compton Martin,"(51.315847, -2.652087)",4,87,21,1,32
Winter salt bin removed. Unable to grit icy lane,https://www.fixmystreet.com/report/951066,2017-01-03 22:47:49 UTC,confirmed,2017-01-03 22:50:11 UTC,Other,2017-01-03 22:50:11 UTC,51.345888,-2.485755,Farmborough,"(51.345888, -2.485755)",8,129,16,1,40
Buses causing house to shake,https://www.fixmystreet.com/report/917384,2016-10-25 18:24:00 UTC,confirmed,2016-10-25 18:25:25 UTC,Roads/highways,2016-12-20 21:58:16 UTC,51.376832,-2.379497,Oldfield,"(51.376832, -2.379497)",31,349,14,1,63
Fridge dumped in field entrance,https://www.fixmystreet.com/report/936603,2016-12-03 15:45:02 UTC,confirmed,2016-12-03 15:50:10 UTC,Flytipping,2017-02-11 11:00:52 UTC,51.375158,-2.591692,Chew Magna,"(51.375158, -2.591692)",6,79,21,1,31
Pothole still waiting to be fixed.,https://www.fixmystreet.com/report/750830,2016-01-21 23:45:24 UTC,fixed - user,2016-01-21 23:50:17 UTC,Potholes,2016-02-23 23:42:23 UTC,51.41052,-2.394972,Charlcombe,"(51.41052, -2.394972)",1,47,10,1,25
Seriously flooded area,https://www.fixmystreet.com/report/37524,2008-12-16 10:29:33 UTC,fixed,2008-12-16 10:35:01 UTC,Potholes,2009-01-13 11:40:38 UTC,51.34228653,-2.577651341,Chew Valley South,"(51.34228653, -2.577651341)",4,91,21,1,33
Uneven road surface,https://www.fixmystreet.com/report/657828,2015-07-06 12:40:54 UTC,fixed - user,2015-07-06 12:45:11 UTC,Potholes,2015-08-03 13:08:06 UTC,51.301498,-2.454394,Radstock,"(51.301498, -2.454394)",12,409,24,1,76
Dog mess on pavement,https://www.fixmystreet.com/report/259808,2012-06-23 10:20:09 UTC,fixed - user,2012-06-23 10:25:09 UTC,Dog fouling,2012-07-22 21:21:34 UTC,51.389341,-2.366314,Kingsmead,"(51.389341, -2.366314)",34,199,9,1,115
Sunday Car Boot Sale Parking PRoblems,https://www.fixmystreet.com/report/174768,2011-03-21 15:44:44 UTC,confirmed,2011-03-21 15:50:01 UTC,Roads/highways,2011-03-21 15:50:01 UTC,51.42096115,-2.398514932,Charlcombe,"(51.42096115, -2.398514932)",1,47,10,1,25
Street Light Not Working,https://www.fixmystreet.com/report/208607,2011-10-20 23:23:51 UTC,confirmed,2011-10-20 23:30:05 UTC,Street lighting,2011-10-20 23:30:05 UTC,51.39698849,-2.392181403,Weston,"(51.39698849, -2.392181403)",20,544,5,1,108
Potholes on Eastbound Carriageway,https://www.fixmystreet.com/report/548235,2014-11-21 13:02:53 UTC,confirmed,2014-11-21 13:05:27 UTC,Potholes,2014-11-21 13:05:27 UTC,51.36286598,-2.340223958,Widcombe,"(51.36286598, -2.340223958)",19,558,12,1,110
Misleading lane guidance,https://www.fixmystreet.com/report/80159,2009-11-16 14:53:19 UTC,confirmed,2009-11-16 14:55:02 UTC,Roads/highways,2010-02-08 19:48:05 UTC,51.42478472,-2.517025367,Keynsham North,"(51.42478472, -2.517025367)",24,161,1,1,48
Pothole opposite bookers,https://www.fixmystreet.com/report/291220,2012-11-16 13:59:09 UTC,confirmed,2012-11-16 14:10:20 UTC,Public toilets,2012-11-16 14:10:20 UTC,51.381236,-2.381498,Westmoreland,"(51.381236, -2.381498)",32,538,13,1,103
3 piece suite dumped,https://www.fixmystreet.com/report/328290,2013-02-27 18:49:29 UTC,fixed - user,2013-02-27 18:55:09 UTC,Flytipping,2013-03-27 20:17:19 UTC,51.42416952,-2.51894522,Keynsham,"(51.42416952, -2.51894522)",24,161,1,1,48
Tree hanging over carriageway,https://www.fixmystreet.com/report/431662,2014-01-31 23:58:31 UTC,fixed - user,2014-02-01 00:08:42 UTC,Trees,2014-02-11 21:49:28 UTC,51.309946,-2.43922,Peasedown St John,"(51.309946, -2.43922)",15,378,22,1,73
"Blind corner, but wall is bulging out and hedges need cutting",https://www.fixmystreet.com/report/568964,2015-01-13 12:06:34 UTC,confirmed,2015-01-13 12:10:24 UTC,Pavements/footpaths,2015-01-13 12:10:24 UTC,51.327771,-2.479627,Timsbury,"(51.327771, -2.479627)",14,455,16,1,88
Grosvenor Place,https://www.fixmystreet.com/report/51335,2009-03-31 09:38:14 UTC,unconfirmed,,Rubbish (refuse and recycling),2009-03-31 09:38:14 UTC,51.39407258,-2.345863048,Walcot,"(51.39407258, -2.345863048)",36,490,6,1,95
Overhanging foliage,https://www.fixmystreet.com/report/390628,2013-09-27 20:22:23 UTC,fixed - user,2013-09-27 20:25:15 UTC,Pavements/footpaths,2013-10-07 07:48:07 UTC,51.28846052,-2.460481648,Westfield,"(51.28846052, -2.460481648)",26,507,26,1,99
Redundant road signs,https://www.fixmystreet.com/report/416027,2013-12-31 19:12:10 UTC,confirmed,2013-12-31 19:15:09 UTC,Road traffic signs,2014-03-03 15:01:12 UTC,51.388012,-2.365509,Abbey,"(51.388012, -2.365509)",35,18,7,1,22
Potholes - poor repair job,https://www.fixmystreet.com/report/102673,2010-03-12 00:22:56 UTC,confirmed,2010-03-12 00:25:09 UTC,Potholes,2010-04-09 12:18:04 UTC,51.38813627,-2.366549606,Kingsmead,"(51.38813627, -2.366549606)",34,199,9,1,115
Pothole on Breach Hill Common,https://www.fixmystreet.com/report/124421,2010-07-13 16:20:08 UTC,fixed,2010-07-13 16:25:02 UTC,Potholes,2010-08-11 08:51:16 UTC,51.33500623,-2.662859552,Chew Valley North,"(51.33500623, -2.662859552)",6,84,21,1,31
Where's the crossing?,https://www.fixmystreet.com/report/619106,2015-04-10 09:32:06 UTC,fixed - user,2015-04-10 09:35:34 UTC,Roads/highways,2015-07-08 09:38:56 UTC,51.388205,-2.361636,Lansdown,"(51.388205, -2.361636)",21,249,7,1,2
Broken glass on steps,https://www.fixmystreet.com/report/558245,2014-12-17 12:04:21 UTC,fixed - user,2014-12-17 12:05:32 UTC,Pavements/footpaths,2015-04-23 09:29:05 UTC,51.38912578,-2.360085691,Lansdown,"(51.38912578, -2.360085691)",21,245,7,1,59
Dangerous potholes,https://www.fixmystreet.com/report/140567,2010-10-31 15:29:25 UTC,fixed,2010-10-31 15:35:03 UTC,Potholes,2010-11-28 20:04:56 UTC,51.42662753,-2.31534344,St Catherine,"(51.42662753, -2.31534344)",1,34,10,1,25
A46 Poor Road Surface,https://www.fixmystreet.com/report/423280,2014-01-16 07:47:17 UTC,fixed - user,2014-01-16 07:50:09 UTC,Roads/highways,2014-02-06 22:26:26 UTC,51.426953,-2.356922,Swainswick,"(51.426953, -2.356922)",1,51,10,1,25
Road Surface Degraded,https://www.fixmystreet.com/report/628872,2015-05-01 16:34:31 UTC,fixed - user,2015-05-01 16:35:35 UTC,Potholes,2015-06-02 21:18:29 UTC,51.394319,-2.397221,Newbridge,"(51.394319, -2.397221)",29,309,8,1,18
Street sign graffiti now unreadable,https://www.fixmystreet.com/report/125,2007-02-11 14:20:51 UTC,unconfirmed,,Other,2007-02-11 14:20:51 UTC,51.4153245,-2.50770531,Keynsham North,"(51.4153245, -2.50770531)",24,160,1,1,50
Broken up road surface,https://www.fixmystreet.com/report/468206,2014-04-24 08:32:34 UTC,confirmed,2014-04-24 08:35:10 UTC,Potholes,2014-04-24 08:35:10 UTC,51.39993516,-2.470787384,Saltford,"(51.39993516, -2.470787384)",17,427,16,1,82
Glass on cycle path,https://www.fixmystreet.com/report/240832,2012-03-23 14:12:17 UTC,fixed - user,2012-03-23 14:15:08 UTC,Street cleaning,2012-05-11 10:24:52 UTC,51.424508,-2.5194,Keynsham,"(51.424508, -2.5194)",24,161,1,1,48
Burning waste,https://www.fixmystreet.com/report/54020,2009-04-16 21:39:43 UTC,confirmed,2009-04-16 21:50:04 UTC,Other,2009-04-16 21:50:04 UTC,51.29377067,-2.43802425,Radstock,"(51.29377067, -2.43802425)",12,407,24,1,77
Obscured by foilage,https://www.fixmystreet.com/report/113650,2010-05-09 01:03:42 UTC,fixed,2010-05-09 01:05:04 UTC,Road traffic signs,2010-06-06 01:37:01 UTC,51.35564203,-2.54052167,Clutton,"(51.35564203, -2.54052167)",5,94,20,1,34
Dead rotting badger needs removing - health risk,https://www.fixmystreet.com/report/187418,2011-06-01 19:15:30 UTC,confirmed,2011-06-01 19:55:01 UTC,Other,2011-06-01 19:55:01 UTC,51.292327,-2.452967,Norton-Radstock,"(51.292327, -2.452967)",12,421,24,1,76
Road markings worn away,https://www.fixmystreet.com/report/468215,2014-04-24 08:44:44 UTC,confirmed,2014-04-24 08:45:16 UTC,Roads/highways,2014-04-24 08:45:16 UTC,51.42488176,-2.516556598,Keynsham,"(51.42488176, -2.516556598)",24,161,1,1,48
Badger Carcass,https://www.fixmystreet.com/report/235486,2012-03-01 12:34:45 UTC,fixed - user,2012-03-01 12:35:09 UTC,Rubbish (refuse and recycling),2012-03-29 16:22:38 UTC,51.416732,-2.44102,North Stoke,"(51.416732, -2.44102)",1,50,10,1,25
Blocked footpath,https://www.fixmystreet.com/report/373472,2013-07-18 16:47:32 UTC,fixed - user,2013-07-18 16:50:09 UTC,Pavements/footpaths,2013-08-15 17:53:25 UTC,51.37570798,-2.391419888,Twerton,"(51.37570798, -2.391419888)",28,476,11,1,89
Flooded road,https://www.fixmystreet.com/report/283608,2012-10-12 12:47:48 UTC,confirmed,2012-10-12 12:50:10 UTC,Roads/highways,2012-11-09 21:26:01 UTC,51.393439,-2.385369,Weston,"(51.393439, -2.385369)",20,547,5,1,107
Sunken manhole cover,https://www.fixmystreet.com/report/354068,2013-05-02 08:54:35 UTC,fixed - user,2013-05-02 08:55:32 UTC,Roads/highways,2015-01-25 17:04:48 UTC,51.39462511,-2.3896735,Newbridge,"(51.39462511, -2.3896735)",29,316,8,1,16
Water Leak,https://www.fixmystreet.com/report/122863,2010-07-04 17:51:12 UTC,confirmed,2010-07-04 17:55:03 UTC,Other,2010-07-04 17:55:03 UTC,51.39058635,-2.360837986,Lansdown,"(51.39058635, -2.360837986)",21,243,7,1,59
Street light not working,https://www.fixmystreet.com/report/384548,2013-09-05 08:22:53 UTC,confirmed,2013-09-05 08:30:38 UTC,Street lighting,2013-09-05 08:30:38 UTC,51.3053778,-2.511101016,Paulton,"(51.3053778, -2.511101016)",13,364,23,1,68
Wrong road markings,https://www.fixmystreet.com/report/96783,2010-02-18 23:51:45 UTC,unconfirmed,,Road traffic signs,2010-02-18 23:51:45 UTC,51.42476156,-2.514504404,Keynsham North,"(51.42476156, -2.514504404)",24,161,1,1,48
More than 3 potholes,https://www.fixmystreet.com/report/344694,2013-04-06 12:04:54 UTC,confirmed,2013-04-06 12:05:10 UTC,Potholes,2013-04-06 12:05:10 UTC,51.400712,-2.456497,Saltford,"(51.400712, -2.456497)",17,431,16,1,81
Potholes,https://www.fixmystreet.com/report/594408,2015-02-25 18:08:33 UTC,confirmed,2015-02-25 18:10:35 UTC,Potholes,2015-02-25 18:10:35 UTC,51.409077,-2.395636,Charlcombe,"(51.409077, -2.395636)",1,47,10,1,25
Adandoned car,https://www.fixmystreet.com/report/462915,2014-04-06 20:21:09 UTC,fixed - user,2014-04-06 20:25:11 UTC,Abandoned vehicles,2014-05-18 20:39:31 UTC,51.31077765,-2.424113857,Peasedown St John,"(51.31077765, -2.424113857)",15,386,22,1,73
Old Oil Drum in Gutter,https://www.fixmystreet.com/report/235,2007-02-22 10:22:35 UTC,fixed,2007-02-22 15:30:19 UTC,Other,2007-03-09 12:56:54 UTC,51.36002761,-2.351523195,Combe Down,"(51.36002761, -2.351523195)",19,118,18,1,38
Series of drain covers collapsing with deep holes,https://www.fixmystreet.com/report/636261,2015-05-19 08:57:54 UTC,fixed - user,2015-05-19 09:00:11 UTC,Potholes,2015-06-17 06:39:35 UTC,51.402357,-2.459576,Saltford,"(51.402357, -2.459576)",17,422,16,1,80
Overhanging foliage blocks path,https://www.fixmystreet.com/report/190200,2011-06-20 10:46:14 UTC,fixed - user,2011-06-20 10:50:07 UTC,Pavements/footpaths,2011-09-03 18:31:52 UTC,51.385419,-2.379022,Kingsmead,"(51.385419, -2.379022)",34,206,9,1,54
Flyposting on traffic light post,https://www.fixmystreet.com/report/189250,2011-06-13 20:04:46 UTC,fixed,2011-06-13 20:05:07 UTC,Flyposting,2012-07-15 23:21:23 UTC,51.391978,-2.351898,Walcot,"(51.391978, -2.351898)",36,492,6,1,96
Very deep pothole,https://www.fixmystreet.com/report/10821,2007-11-18 18:59:25 UTC,confirmed,2007-11-18 22:15:02 UTC,Potholes,2007-11-18 22:15:02 UTC,51.36340651,-2.365002153,Lyncombe,"(51.36340651, -2.365002153)",18,261,17,1,4
Fly tipping of a disued wooden single bed,https://www.fixmystreet.com/report/297964,2012-12-14 09:02:53 UTC,confirmed,2012-12-14 09:05:09 UTC,Flytipping,2012-12-14 09:05:09 UTC,51.39968533,-2.350091622,Lambridge,"(51.39968533, -2.350091622)",23,221,4,1,56
Blocked drain causes flooding under bridge,https://www.fixmystreet.com/report/312000,2013-01-23 13:51:07 UTC,fixed - user,2013-01-23 13:55:20 UTC,Roads/highways,2013-02-20 14:02:08 UTC,51.37979359,-2.387718408,Westmoreland,"(51.37979359, -2.387718408)",32,522,13,1,102
Damaged pedestrian barrier,https://www.fixmystreet.com/report/62801,2009-06-24 15:34:20 UTC,fixed,2009-06-24 15:40:03 UTC,Other,2009-07-23 07:42:20 UTC,51.41485553,-2.497235986,Keynsham North,"(51.41485553, -2.497235986)",24,158,1,1,49
Bench pulled from plinth,https://www.fixmystreet.com/report/276401,2012-09-06 09:25:42 UTC,confirmed,2012-09-06 09:30:13 UTC,Parks/landscapes,2012-09-06 09:30:13 UTC,51.400661,-2.346685,Lambridge,"(51.400661, -2.346685)",23,218,4,1,56
Massive hole on side of the road,https://www.fixmystreet.com/report/442031,2014-02-18 10:05:26 UTC,fixed - user,2014-02-18 10:10:29 UTC,Potholes,2015-02-13 21:08:29 UTC,51.35850638,-2.37607215,Odd Down,"(51.35850638, -2.37607215)",30,331,19,1,60
Upside down sign,https://www.fixmystreet.com/report/411485,2013-12-14 14:58:16 UTC,fixed - user,2013-12-14 15:00:11 UTC,Road traffic signs,2014-01-02 12:55:40 UTC,51.389184,-2.36493,Lansdown,"(51.389184, -2.36493)",21,248,7,1,2
Pedestrian crossing button is broken on the towards Bristol side of the road,https://www.fixmystreet.com/report/252958,2012-05-23 07:19:34 UTC,fixed - user,2012-05-23 07:25:11 UTC,Traffic lights,2012-06-20 07:54:39 UTC,51.380822,-2.387364,Westmoreland,"(51.380822, -2.387364)",32,578,13,1,103
Potholes,https://www.fixmystreet.com/report/446883,2014-02-27 13:24:09 UTC,confirmed,2014-02-27 13:25:28 UTC,Potholes,2014-02-27 13:25:28 UTC,51.37746478,-2.378611224,Oldfield,"(51.37746478, -2.378611224)",31,346,14,1,63
Broken drain cover,https://www.fixmystreet.com/report/398232,2013-10-29 09:14:56 UTC,confirmed,2013-10-29 09:20:09 UTC,Roads/highways,2013-10-29 09:20:09 UTC,51.32236117,-2.508980979,High Littleton,"(51.32236117, -2.508980979)",3,139,23,1,42
Dangerous potholes,https://www.fixmystreet.com/report/425514,2014-01-20 13:56:22 UTC,confirmed,2014-01-20 14:15:09 UTC,Potholes,2014-01-20 14:15:09 UTC,51.366596,-2.366265,Lyncombe,"(51.366596, -2.366265)",18,256,17,1,5
"Pot holes, Ashmead road, Keynsham, Bristol",https://www.fixmystreet.com/report/491836,2014-06-22 12:54:57 UTC,fixed - user,2014-06-22 13:00:18 UTC,Potholes,2014-08-18 20:53:13 UTC,51.41280283,-2.47820154,Keynsham,"(51.41280283, -2.47820154)",16,154,3,1,47
Pot holes in Park Road near Dunster Road,https://www.fixmystreet.com/report/520264,2014-09-08 10:04:23 UTC,fixed - user,2014-09-08 10:10:35 UTC,Potholes,2015-01-09 19:52:43 UTC,51.40824252,-2.50222968,Keynsham,"(51.40824252, -2.50222968)",37,186,2,1,53
Botched pavement resurfacing,https://www.fixmystreet.com/report/614395,2015-03-31 19:49:52 UTC,fixed - user,2015-03-31 19:50:11 UTC,Pavements/footpaths,2015-04-14 09:36:32 UTC,51.389497,-2.366131,Lansdown,"(51.389497, -2.366131)",21,246,7,1,2
Surface broken up,https://www.fixmystreet.com/report/167671,2011-02-22 20:52:49 UTC,confirmed,2011-02-22 20:55:02 UTC,Roads/highways,2011-02-22 20:55:02 UTC,51.34238352,-2.668659851,Nempnett Thrubwell,"(51.34238352, -2.668659851)",4,88,21,1,32
Noise and cars,https://www.fixmystreet.com/report/302535,2012-12-31 01:46:25 UTC,confirmed,2012-12-31 01:50:10 UTC,Other,2012-12-31 01:50:10 UTC,51.28683016,-2.479035391,Midsomer Norton,"(51.28683016, -2.479035391)",11,289,25,1,11
Footpath,https://www.fixmystreet.com/report/70171,2009-08-18 18:11:44 UTC,confirmed,2009-08-18 18:15:02 UTC,Pavements/footpaths,2009-08-18 18:15:02 UTC,51.28803454,-2.47688789,Midsomer Norton North,"(51.28803454, -2.47688789)",11,289,25,1,11
Multiple deep potholes,https://www.fixmystreet.com/report/505913,2014-07-28 10:33:28 UTC,confirmed,2014-07-28 10:35:17 UTC,Potholes,2014-07-28 10:35:17 UTC,51.31783489,-2.472694036,Timsbury,"(51.31783489, -2.472694036)",13,459,16,1,87
Trench across the road,https://www.fixmystreet.com/report/382758,2013-08-28 14:14:26 UTC,confirmed,2013-08-28 14:20:23 UTC,Roads/highways,2013-11-16 12:11:45 UTC,51.38691046,-2.389284733,Newbridge,"(51.38691046, -2.389284733)",29,318,8,1,16
Road surface breaking up,https://www.fixmystreet.com/report/448481,2014-03-03 07:27:40 UTC,confirmed,2014-03-03 07:30:23 UTC,Potholes,2014-03-03 07:30:23 UTC,51.42083422,-2.504196979,Keynsham,"(51.42083422, -2.504196979)",24,171,1,1,49
None collection of recycling new year's eve,https://www.fixmystreet.com/report/85458,2009-12-31 16:14:38 UTC,fixed,2010-01-18 17:45:02 UTC,Rubbish (refuse and recycling),2010-02-17 19:24:58 UTC,51.39424724,-2.345369402,Walcot,"(51.39424724, -2.345369402)",36,490,6,1,95
Needs zebra crossing,https://www.fixmystreet.com/report/640705,2015-05-29 13:46:29 UTC,confirmed,2015-05-29 13:50:11 UTC,Roads/highways,2015-05-29 13:50:11 UTC,51.400714,-2.395736,Weston,"(51.400714, -2.395736)",20,556,5,1,105
'dead end' sign,https://www.fixmystreet.com/report/202284,2011-09-11 07:21:53 UTC,fixed - user,2011-09-11 07:30:11 UTC,Road traffic signs,2011-10-09 08:47:46 UTC,51.405973,-2.561246,Whitchurch,"(51.405973, -2.561246)",7,402,20,1,75
Potholes,https://www.fixmystreet.com/report/477486,2014-05-22 18:36:00 UTC,confirmed,2014-05-22 18:40:11 UTC,Potholes,2014-05-22 18:40:11 UTC,51.31783462,-2.473899883,Paulton,"(51.31783462, -2.473899883)",13,581,23,1,69
Carriageway Subsidence,https://www.fixmystreet.com/report/566426,2015-01-08 13:17:12 UTC,confirmed,2015-01-08 13:20:23 UTC,Roads/highways,2015-01-08 13:20:23 UTC,51.38024803,-2.362221222,Abbey,"(51.38024803, -2.362221222)",35,14,7,1,20
Dead Cat in Road,https://www.fixmystreet.com/report/668088,2015-07-27 21:49:48 UTC,confirmed,2015-07-27 21:50:37 UTC,Roads/highways,2015-07-27 21:50:37 UTC,51.41653,-2.395525,Charlcombe,"(51.41653, -2.395525)",1,47,10,1,25
Abandoned vehicle,https://www.fixmystreet.com/report/6690,2007-07-24 17:47:40 UTC,fixed,2007-07-24 17:50:02 UTC,Abandoned vehicles,2007-10-19 09:03:23 UTC,51.28777525,-2.438049128,Radstock,"(51.28777525, -2.438049128)",12,417,24,1,79
Pothole,https://www.fixmystreet.com/report/438481,2014-02-12 08:30:09 UTC,fixed - user,2014-02-12 08:35:04 UTC,Potholes,2014-03-12 12:24:04 UTC,51.40115,-2.30764,Bathford,"(51.40115, -2.30764)",1,41,10,1,26
Lack of dropped kerbs to enable access for disabled people,https://www.fixmystreet.com/report/406204,2013-11-25 01:00:35 UTC,confirmed,2013-11-25 23:05:15 UTC,Road traffic signs,2014-01-21 20:12:29 UTC,51.3814303,-2.361306618,Abbey,"(51.3814303, -2.361306618)",35,10,7,1,20
Pothole,https://www.fixmystreet.com/report/455377,2014-03-17 22:47:55 UTC,fixed - user,2014-03-17 22:50:10 UTC,Potholes,2015-02-13 21:08:00 UTC,51.33450482,-2.436209516,Dunkerton and Tunley,"(51.33450482, -2.436209516)",9,66,22,1,28
Sign facing the wrong way and very faded road markings,https://www.fixmystreet.com/report/212801,2011-11-11 12:29:43 UTC,confirmed,2011-11-11 12:30:09 UTC,Road traffic signs,2012-01-06 12:45:22 UTC,51.289867,-2.476484,Norton-Radstock,"(51.289867, -2.476484)",11,285,25,1,8
