Reference,Title,Description,Date,UnveilingYear,UnveilingDetails,Statement,Material,Inscription,History,Notes,WebsiteUrl,Height,Width,Depth,Diameter,SurfaceCondition,StructuralCondition,Address,Location,Lat,Lng,Categories,Artist1_Name,Artist1_Biography,Artist1_WebsiteUrl,Artist1_StartYear,Artist1_EndYear,Artist1_Notes,Artist2_Name,Artist2_Biography,Artist2_WebsiteUrl,Artist2_StartYear,Artist2_EndYear,Artist2_Notes,Artist3_Name,Artist3_Biography,Artist3_WebsiteUrl,Artist3_StartYear,Artist3_EndYear,Artist3_Notes,Artist4_Name,Artist4_Biography,Artist4_WebsiteUrl,Artist4_StartYear,Artist4_EndYear,Artist4_Notes,Artist5_Name,Artist5_Biography,Artist5_WebsiteUrl,Artist5_StartYear,Artist5_EndYear,Artist5_Notes,Artist6_Name,Artist6_Biography,Artist6_WebsiteUrl,Artist6_StartYear,Artist6_EndYear,Artist6_Notes,ImageFileNames,ImageCaptions,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
BA98,The Lilypads,A long frieze of large lilypads.,1982,1984,,The artist is interested in the different ways we treat and view the landscape. <br>Part of the University of Bath Art Collection,"Pencil on paper, framed",Signature of the artist with date,Purchased by the University in 1984 as part of the University of Bath Art Collection,,,63,160,,,Good,,"University of Bath: Library Level 2-3 West staircase, University of Bath, The Parade, Claverton Down, Bath, BA2 7AY","(51.38, -2.32803)",51.38,-2.32803,Drawing|Figurative,Lindy Clark,Lindy studied Fine Art at Bath Academy of Art and graduated in 1981.,,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA98-a.jpg,Copyright: Bath and North East Somerset,22,580,12,1,29
BA140,Pigs,A series of four to five painted pigs hang from the reception’s ceiling.,2004,2004,The Pigs were presented at the children parade for the opening of Bath International Music Festival in May 2004.,,"Papier mache, paint and wire",,Pigs were created for the children’s parade held every year for the opening of Bath International Music Festival. Mel Day was commissioned by Bath Festivals to work with school children in B&NES to prepare artworks for the parade.,"Access to the piece is by appointment, please contact the school to arrange a visit.",,84,110,,,Good,Good,"St Michaels CofE Junior School, reception ceiling, Newton Road,Twerton Bath BA2 1RW","(51.3812, -2.4035)",51.3812,-2.4035,,Mel Day,Mel Day is an artist interested in transformation. She makes pieces out of wire that centre around the natural world. She has exhibited at Frome Festival and the New Brewery Arts in Cirencester. Mel also runs workshops across the South West and in particular at Black Swan Arts in Frome. She has been regularly commissioned to work with school children in B&NES to produce artworks for the children’s parade for the opening of Bath International Music Festival,,,,with the children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA140-a.jpg,Copyright: Bath and North East Somerset,28,480,11,1,91
BA79,Landscape Trauma,A series of eleven abstract photographs in muted colours depicting textures and strata of various shades and colours,2006,2006,,"There is an abstract beauty and painterly quality to Ingrid Pollard''s photo-based works. Her images are richly detailed, suggesting mysterious organic forms. Deliberately ambiguous, they reflect on the illusionary nature of photography. She describes them as ''focusing on the original elements of the earth, which form the fundamental substances used in photographic production'' (extract from University of Bath ICIA website).  Part of the University of Bath Art Collection.","Colour photographic prints, framed",,"Landscape Trauma was a site-specific re-configuration of existing images that the artist had previously exhibited elsewhere in a very different format. ICIA (now The Edge) supported the new production of the work and the artist donated the whole exhibition to the University of Bath Collection. Landscape Trauma was organised in conjunction with a temporary exhibition of Ingrid Pollard''s work ''Self Evident'', also shown at the University of Bath.",,http://www.bath.ac.uk/icia/archive-old/exhibitions06.shtml#pollard,103,73,,,Good,,"University of Bath, 4 East 3 Sunray Room, Claverton Down, Bath, BA2 7AY","(51.3804, -2.33067)",51.3804,-2.33067,Abstract|Photography,Ingrid Pollard,"Born in Guyana, Ingrid lives and works in London. She studied Film and Video at the London College of Printing followed by an MA in Photographic Studies at the University of Derby. Ingrid has exhibited widely in Europe and America, including the National Portrait Gallery (London), Museum of Modern Art (Oxford), NGBK (Berlin), Caribbean Cultural Centre (New York) and Camerawork (San Francisco). Ingrid gained attention in the late 1980s with Pastoral Interlude, a series of photographs of black people in the English countryside. This was the start of an articulation of her experiences as a black British woman through the conventions of portraiture and landscape photography. Ingrid is now well known for exploring heritage, the romanticism of English landscape, and England''s hidden histories associated with Africa and the Caribbean.",http://www.ingridpollard.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA79-a.jpg|BA79-b.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,22,580,12,1,29
BA171,Walcot Street graffiti,"Walcot Street car park: a series of seven brightly coloured tags, what looks like green, white and yellow dust cloud, a young woman and an older man’s face (sprayed over in part) with inscriptions (see below) all against a black background.<br>Walcot Street platform: across three sections of wall arranged in a square, against a dark green background. Section one: buildings with tentacles and a male figure resembling an action hero. Section two:  a series of angular abstract designs using perspective in blue, orange and purple colours. Section three: the inscriptions Being Seen and NJOY, blue, yellow and orange bubbles. This section has been sprayed over in part with tags.",2007,,,Walcot Street car park: not known<br>Walcot Street platform: not known,Walcot Street car park: spray paint on hoarding<br>Walcot Street platform spray paint on stone,"Walcot Street car park: Jar KSF 2008, Kreative Desine, Woody, Kan Jear.<br>Walcot Street platform: Being Seen and NJOY",Walcot Street car Park: Graff'' is a project run in partnership with the Bath Anti Graffiti Partnership and BANES Youth & Community work department. It is aimed at young people who have been involved in or who are at risk of being involved in illegal graffiti. It runs every Thursday for two and a half hours during which young people are given spray paint and a legal site to practice their art. The Walcot Street car park graffiti was a collaborative work. <br>Walcot Street platform: not known,,,250,2000,,,"Walcot Street car park: fair to poor, some paint is chipped<br>Walcot Street platform: poor, the paint is chipped in many parts",Walcot Street car park: hoardings are in poor condition<br>Walcot Street platform: fair,"Bath, Walcot Street car park, Walcot Street, Bath, BA1 5BD","(51.3859, -2.35942)",51.3859,-2.35942,Abstract|Figurative|Painting,Graff’ project,,,,,young people for the Walcot Street car park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA171-a.jpg|BA171-b.jpg|BA171-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,35,11,7,1,20
BA114,Cycle racks,"Tubular sculptures spelling out ‘Walcot’ over three racks as such: 1st rack spells WA, 2nd spells LC, 3rd spells OT. In order to read the full word one has to be positioned at a slight angle to the rack.",2003,,,,Brush finish unpainted stainless steel,,"Cycle racks are among the pieces emerging from a body of public art in Walcot Street as part of a programme of regeneration of the area funded by Bath and North East Somerset Council with the Arts Lottery, Arts and Business, local businesses (including John’s Bikes) and local residents. Design was selected by public competition.",,,74,98,,,Fair,Very good,"Bath, Walcot Street. One set of rack stands outside the bicycle shop John’s Bikes (BA1 5BD), the other set is in front of Shannon Scandinavian Furniture and Lighting shop and a branch of Dominos Pizzas.","(51.386, -2.35968)",51.386,-2.35968,Street furniture,Nigel Keegan,,,,,,Richard Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA114-a.jpg|BA114-b.jpg|BA114-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,35,17,7,1,22
BA28,Pump Room fountain,"A fountain is positioned on a drum base on which the words ‘THE KING’S SPRING’ are carved out. The urn and socle are decorated with ridges, drapings and shells above which water flows from taps directly into the mouth of fishes standing below, in an upright position as if jumping.",1985,1985,Lord Spencer presided over the opening ceremony. He and Lady Spencer co- authored a book on British Spas.,The fountain was designed by Bath City Architect James Elliott and produced by Laurence Tindall.,Urn and socle: Bath stone<br>Lid: fibreglass and Bath stone filled resin.  <br>Shells and fishes: bronze,‘THE KING’S SPRING’,"James Elliot, the then Bath City Architect, commissioned Laurence Tindall to make the Pump Room Fountain according to his design.","See also Laurence Tindall’s <br>Feeding 5000 and Creation Stories at St Philips School in Odd Down (conditions apply) <br>Fish and Loaves at St Philips and St James Church, Odd Down, Bath<br>Resurrection of Christ at Bath Abbey, Bath <br>What is Heaven Like at St Marks School, Bath<br>Communication at the RNID Poolemead centre in Bath<br>Story Mountain at St Julian Primary in Wellow",,140,50,,,"Good, traces of calcified sulphur and lime scale on the fishes and at the base of the urn.",Good,"Bath, The Pump Room, Abbey Churchyard, Bath, BA1 1LZ","(51.3811, -2.36011)",51.3811,-2.36011,Decorative|Sculpture,James Elliott,Formerly Bath City Architect,,,,,Laurence Tindall,"Laurence Tindall specialises in Christian art and architecture. He trained as a sculptor at Kingston School of Art between 1969 and 1974. After graduating he worked as a stonemason and trained as a conservator at Wells Cathedral where he worked until 1984. Tindall became a lecturer in Sculpture at Bath Academy of Art from 1980 to 1990. In 1984 he joined the Partner Nimbus Conservation Project, a group of conservators of historical buildings and monuments.",http://www.laurencetindall.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA28-a.jpg|BA28-b.jpg|BA28-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,35,11,7,1,20
BA161,"Welcome to Bath City Farm, Bath City Farm Sign Entrance, Bath City Farm Sign Facade and Dog Sign","Welcome to Bath City Farm: a long strip of colourful mosaic with square mirror insets and the words ‘Welcome to Bath City Farm’ spelt out.<br>Dog Sign: on the façade of the farm building, a small piece with a salmon pink background and the following instructions: ‘Please pick up your dog poo!!’ <br>Bath City Farm Sign Entrance: a large cockerel on the left hand side of the mosaic crowing. On the right hand side is written ‘Bath City Farm’, at the base of the cockerel’s feet ‘Something to Crow About’ and the Farm’s telephone’s number. There is also a flower on the bottom right hand corner. <br>Bath City Farm Sign Entrance: a cockerel taking the whole of the mosaic’s space against a light blue and green background with the text  ‘Bath City Farm’",2005,2005,A small community event was organised to unveil the pieces.,The signs were created for the opening of the Farm’s building.,All pieces are made of mosaic.,"Welcome to Bath City Farm: ‘Welcome to Bath City Farm’<br>Dog Sign: ‘Please pick up your dog poo!!’<br>Bath City Farm Sign Entrance: ‘Bath City Farm, Something to Crow About, Tel 01225 481269’<br>Bath City Farm Sign Façade: ‘Bath City Farm’","The pieces were made by David Bowers and children visiting the farm during the Easter holidays. The project was organised by volunteer youth Worker Tamsin Hughes who successfully applied for a Community Champion grant to finance the project. Signage was needed to indicate the opening of the Farm’s building providing an office, wet weather and arts and craft facilities to staff and visitors.","See also Andrew Bowers''<br>Pigeon mosaic at St John Primary  façade, Peasedown St John<br>From Field to Fork, St John Primary , Peasedown St John<br>Welcome to Welton Primary School Welton<br>Sundial at Twerton Infant School, Bath<br>Bishop Sutton Primary Entrance Signs at Bishop Sutton Primary School, Bishop Sutton<br>Stanton Drew Primary School Signs, Stanton Drew",,120,238,,,Welcome to Bath City Farm: very good<br>Dog Sign: very good<br>Bath City Farm Sign Entrance: good<br>Bath City Farm Sign Façade: very poor,"Welcome to Bath City Farm: very good<br>Dog Sign: very good<br>Bath City Farm Sign Entrance: good. A few chips<br>Bath City Farm Sign Façade: very poor, large sections of the mosaic are missing","Bath City Farm, Kelston View, Whiteway, Bath BA2 1NW<br>Welcome to Bath City Farm: inside Bath City Farm building above the seating area.<br>Dog Sign: façade of Bath City Farm building<br>Bath City Farm Sign Entrance: entrance to the Farm on Kelston View<br>Bath City Farm Sign Façade: façade of Bath City Farm building","(51.3758, -2.39737)",51.3758,-2.39737,,David Bowers,"Since the summer of 2002 David has been working full time as a Community Mosaic Artist as part of Mosaic Madness, a business that provides mosaic workshops for schools, communities and corporate bodies. Before setting up Mosaic Madness, David was a Learning Disabilities Nurse for ten years.",http://www.mosaic-madness.co.uk,,,and members of the local community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA161-a.jpg|BA161-b.jpg|BA161-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,28,472,11,1,89
BA38,Friends of the RUH stained glass,"Two doors with two stained glass panels on each door. <br>Side door: a café scene with table and chairs, flowers and coffee cups<br>Main entrance: two precariously arranged piles of cups and saucers.",2004,2004,,The stained glass signals both entrances to the café with café scenes and cups and saucers.,Stained glass,Side door: ‘Friends Coffee Shop’<br>Main entrance: ‘Friends Coffee Shop’ and ‘Serving the hospital since 1957’,The Friends of the RUH commissioned the students of the City of Bath College to design and produce these stained glass panels.,,,86,50,,,Good,Good,"Royal United Hospital, Friends of the RUH Coffee Shop, RUH West, Combe Park Bath BA1 3NG","(51.3918, -2.39159)",51.3918,-2.39159,Figurative|Other,City of Bath college stained glass students,,http://www.bathcollege.ac.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA38-a.jpg|BA38-b.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,29,316,8,1,16
BA78,Opposite Ends of a Possible Path,Sharp and blurred lines criss-cross a light grey-green background,2007,2007,,"Fiona is interested in the point at which painting and drawing meet.The ongoing series of work maps both a physical journey and the memory of an event. On canvas the flowing lines, preserved in layers of paint, have a generosity of scale which imparts a lyricism suggesting reverie. They are about remembering and forgetting. It is a process of adjusting the memory, adjusting the line, allowing the formal requirements of the piece to take over from the initial free mark making. In this way some parts of the image become more significant than others although even the faintest of marks are preserved like an unrecalled memory. It becomes a record of the journey of the drawing as much as the original walk. (Extract from  Fiona Robinson’s page on the Axis website: http://www.axisweb.org/p/fionarobinson/#info)",Oil & conte on canvas,,The piece won the University of Bath Painting Prize and was purchased by the University in 2007 as part of the University of Bath Art Collection.,,http://www.axisweb.org/p/fionarobinson/#info,122,154,,,Good,,"University of Bath, Wessex House Restaurant, Claverton Down, Bath, BA2 7AY","(51.3804, -2.33067)",51.3804,-2.33067,Abstract|Drawing,Fiona Robinson,"Fiona Robinson is an artist who works with paint and drawing media on canvas and paper.  She studied Fine Art and History of Art at Oxford Polytechnic in the 1980s and then went on to take an MA in Fine Art at the University of Portsmouth in 1997.  Line and the drawn mark are an intrinsic part of her work and she draws constantly, from observation and from memory, in her sketchbooks. She has exhibited in Open exhibitions in the UK and abroad from the early days of the Cheltenham Open Drawing Competition in 1998 (now The Jerwood Drawing Prize) through to Sketch 2005, The National Contemporary Drawing Open in 2005. In 2008 she was selected for the International Drawing Biennial in the Czech Republic.  She has always written, and has had features about other artists and reviews of exhibitions published in newspapers and national magazines.",https://fionarobinson.wordpress.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA78-a.jpg,Copyright: Bath and North East Somerset,22,580,12,1,29
BA10,St Andrew’s Stained Glass,"Sanctuary: two panels of abstract stained glass in shades of dark blue, yellow and pink reminiscent of mountain peaks or waves inserted in an irregular grid pattern. <br>Church entrance: three panels of abstract stained glass in yellow and red.",1963,1963,The church was consecrated in 1961.,The stained glass was made with retrieved glass from St Andrew’s original stained glass damaged during World War II.,Stained glass,,St Andrews Church and its original stained glass were destroyed during World War II. It was redesigned by Hugh D. Roberts and built between 1961 and 1964. The new stained glass was funded by war damage compensations and with a private contribution from churchwarden Mr Adam.,,,280,260,,,Good,Good,"St Andrews Church, sanctuary and church hall entrance on left hand side when facing the entrance, Julian Road, Bath BA1 2SN","(51.3881, -2.36659)",51.3881,-2.36659,Abstract|Church Art,Hugh D. Roberts,"Roberts was a Councillor and Bath City Architect. He designed the prize winning Phoenix House Council flats in Julian Road, the National College of Domestic Sciences at Lansdown and the Kingsmead flat blocks built in 1961.  He was responsible for a large number of preservation schemes of Georgian buildings at the Circus and the Royal Crescent. He was also a Trustee of Bath Preservation Trust and a member of the Georgian Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA10-a.jpg|BA10-b.jpg|BA10-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,34,200,9,1,115
BA123,Beazer Garden Maze Mosaic,"The maze leads to a centrepiece depicting Sul the Sun God, with a big mane of snake for hair. Around Sul are six apses depicting various characters representative of Bath Celtic Roman heritage including <br>1-Prosperin Goddess of spring scattering flowers before the temple of Sulis Minerva<br>2-Dolphins <br>3-The swine of Bladud legendary founder of Bath<br>4- Orpheus who charmed the beasts of creation with his music, highlighting Bath’s musical tradition<br>5-Pegasus the winged horse who kicked mount Helicon releasing the fount of poetry, also referring to Bath as a place for culture with a spa tradition<br>6-The Minotaur trapped by winter in the darkness of the labyrinth and awaiting his executioners",1984,1984,The garden was opened on 11 May 1985 by B.C Beazer who donated the land for the maze.,"The ellipse shape of the maze echoes the arches and fanlights of Georgian Bath as well as the Brunel’s arches of the Great Western Railway. Observing the ancient convention of unicursal maze design, it has seven rings of path which possess rotational symmetry. The eight axes help convey the Roman key-pattern maze style of path and turns. The centrepiece mosaic is based on the famous Gorgon’s head of Bath, a symbol of protection against evil. It is also carved in stone at the Roman Bath.  Extract from the 1984 Bath Festival programme See also Description for more interpretation",Path: Bath stone<br>Centre piece: mosaic,,"The theme of the maze was chosen for the 1984 Bath Festival and supported by a series of exhibition, workshops and events including an exhibition by artist Michael Ayrton and a performance of The Knot Garden opera conducted by Sir Michael Tippett. It was also decided to create a real maze to mark the occasion and to enhance the character of the Beazer garden. The maze was commissioned by J.W.T Lippiatt. Funders and supporters were the English Tourist Board, Bath Preservation Trust, Bath City Council, RBS/Brooklyns Ltd and a private donor.",,,,,,450,Poor. Mud and dirt across the mosaic have had a fading effect on the mosaic’s colours.,Fair,"Bath, Beazer Garden Maze, Spring Gardens Road BA2 6PW","(51.3797, -2.35457)",51.3797,-2.35457,,Adrian Fisher,,,1909,2005,from Minotaur Designs,Gilbert Randoll Coate,"Coate was a British diplomat and a maze designer. Born in Lausanne, Switzerland, he won a scholarship to Oriel College, Oxford, reading French and German. In 1940 he worked for the Intelligence Corps and later joined the UK Foreign Office on various diplomatic postings after the war until 1967. Having had a long-standing interest in art and history, Coate took to designing mazes and completed over 50 new mazes in Britain and around the world. His first maze commission, The Imprint of Man, was completed in 1975 for a private garden in Gloucestershire. In 1979 he met Adrian Fisher and formed the maze design company Minotaur Designs. He died in Le Rouret, near Grasse, France aged 96.",http://www.en.wikipedia.org/wiki/Randoll_Coate,1909,2005,,,,,,,,,,,,,,,,,,,,,,,,,,BA123-a.jpg|BA123-b.jpg|BA123-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,33,564,12,1,111
BS166,Bishop Sutton Primary Entrance Signs,"A light green background with a flat edge at the bottom and softer edges at the top with a dip in the middle. Bishop Sutton inscribed at the top and Primary School at the bottom of the mosaic. In the centre there are two square frames with a church on the left hand side and a lake with a fisherman in a boat, a swan and a rolling landscape on the right hand side. In between these two scenes the logo of the school appears: the letters B and S intertwined. A bishop’s mitre is positioned at the top of the mosaic.",2007,2007,The mosaic was unveiled during a special celebration assembly at the end of term. It was then on display for the community at the Christmas Fair.,The artist worked with the whole schools to create a new entrance sign based on the schools’ logo. The two pictures of the lake and the church represent the children’s views on the local area. Every child had one area of the mosaic that they contributed to.,Mosaic,Bishop Sutton Primary School and BS,The mosaic was commissioned to improve the outdoors environment of the school. Funding was jointly raised by Bishop Sutton Primary School Society.,"Access to the piece is by appointment, please contact the school to arrange a visit.<br>See also David Bowers’ Welcome to Bath City Farm at Bath City Farm Bath. <br>Welcome to Welton Primary School, Welton<br>Sundial at Twerton Infant School, Bath<br>Stanton Drew Primary School Signs, Stanton Drew<br>From Field to Fork, St John Primary, Peasedown St John<br>Human Sundial, Keynsham Memorial Park, Keynsham",,200,240,,,Good,Good,"Bishop Sutton Primary, Main playground, Wick Road, Bishop Sutton, Bristol BS39 5XD","(51.3334, -2.59712)",51.3334,-2.59712,Figurative|Mosaic,David Bowers,"Since the summer of 2002 David has been working full time as a Community Mosaic Artist as part of Mosaic Madness, a business that provides mosaic workshops for schools, communities and corporate bodies. Before setting up Mosaic Madness, David was a Learning Disabilities Nurse for ten years.",http://www.mosaic-madness.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS166-a.jpg,Copyright: Bath and North East Somerset,4,89,21,1,33
BA115,Floating Globe,A stainless steel globe with water flowing in shallow water,2009,2010,Floating Globe was unveiled on 23rd September 2010. The unveiling ceremony marked the completion of the Walcot Street Artworks public art project.,,Polished stainless steel,"A plaque indicates the name of the artist, the name of the piece and its date of creation.",Floating Globe is one of the pieces emerging from a body of public art in Walcot Street as part of a programme of regeneration of the area funded by Bath and North East Somerset Council with the Arts Lottery and support from local businesses.,"See also William Pye’s Offspring on Walcot Street, Bath and Divine Influx at the Cross Bath, Thermae Bath Spa.",,,200,,,Very good,Very good,"Bath, Broad Street Place, pedestrian path in front of the YMCA, BA1 5LH","(51.3852, -2.35998)",51.3852,-2.35998,,William Pye,"William Pye studied at Wimbledon School of Art (1958-61) and at the Sculpture School of the Royal College of Art (1961-65). His sculptures of the 1960s were abstract forms and showed Pye’s preference for the traditional materials of metal and stone. Highly polished geometrical works in stainless steel of the 1970s, some of which included elements of movement, reflection and the use of light, led him logically to consider water as an essential part of his artistic expression. The natural world that he explores in his sculptures is interpreted through water, metal and stone, where disarmingly simple concepts become the objects of utmost sophistication. Early stainless steel sculptures such as Narcissus 1969 and Quillion 1970 are lyrical expressions of form, rhythm, movement and reflection. They both herald William Pye’s move towards using stainless steel in combination with water. The contrast between straight and rolling forms, geometrical and organic are also preludes to everything that emerges later in Pye’s work when water is combined.",http://www.williampye.com,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA115-a.jpg|BA115-b.jpg|BA115-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,35,7,7,1,20
BA5,Resurrection of Christ,"The figure of Christ standing wrapped in shroud, rising from the dead",2000,2000,The sculpture was dedicated by the Bishop of Bath and Wells at Easter in 2000.,‘I have been working at Christian art and architecture for 29 years. My aim is to empower and affirm people with the Christian message and way of life using art as a vehicle of communication.’ Laurence Tindall.,Bath stone,"Resurrection of Christ, AD2000, Laurence Tindall",Funded by the Friends of Bath Abbey as part of Bath Abbey Millennium restoration work.,"See also Laurence Tindall’s <br>Feeding 5000 and Creation Stories at St Philips School in Odd Down (conditions apply)<br>Fish and Loaves, St Philip and St James Church, Bath <br>What is Heaven Like at St Marks School, Bath<br>Communication at the RNID Poolemead centre in Bath<br>Pump Room Fountain, The Pump Rooms, Bath<br>Story Mountain at St Julian Primary in Wellow<br>The Temptation of Eve, Combe Grove Country Club, Bath",,240,140,60,,Fair,Very good,"Bath Abbey, South East corner, Bath  BA1 1NL","(51.3814, -2.35835)",51.3814,-2.35835,Figurative|Sculpture,Laurence Tindall,"Laurence Tindall specialises in Christian art and architecture. He trained as a sculptor at Kingston School of Art between 1969 and 1974. After graduating he worked as a stonemason and trained as a conservator at Wells Cathedral where he worked until 1984. Tindall became a lecturer in Sculpture at Bath Academy of Art from 1980 to 1990. In 1984 he joined the Partner Nimbus Conservation Project, a group of conservators of historical buildings and monuments.",http://www.laurencetindall.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA5-a.jpg|BA5-b.jpg|BA5-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,35,12,7,1,20
BA144,King Bladud’s Pigs in Bath,"For a comprehensive list with images of the pigs please go to: www.kingbladudspigs.org/pigs/index.php <br>A white pig, designed and modelled by sculptor Alan Dun, was handed over to artists who decorated it in various ways mainly using paint. Other manipulated its structure, used natural material such as bark or acorns to alter its texture, applied mosaic, synthetic fur or household utensils.",2008,2008,The pigs gradually appeared in different locations across B&NES over the summer of 2008 as more and more sponsors joined the project. They were all gathered and displayed for the 18 and 19 October 2008 weekend at Royal Victoria Park.  The first 70 were auctioned at the Assembly Rooms on 31st October 2008 and the remaining 36 in an online auction.  All sold.  One pig was raffled.,"King Bladud’s Pigs in Bath was a public art event to celebrate Bath, its origins and its artists - and provide residents and visitors with artistic enjoyment. It was inspired by a similar project in Germany (a parade of artistic storks). Pigs were chosen for Bath in reference to the legend of King Bladud.","Various including paint, mosaic, acorn, bark, synthetic fur, plaster mouldings, metal, glass, etc.","Each pig has a small plaque with the name of the pig, the name of the artist who decorated it and the sponsor.","Local businesses, organisations and individuals sponsored pigs at a cost of £1000 each.  They would choose an artist or a schools department to decorate their pig.  Sponsor and artist jointly decided what the pig was to look like, and gave it a name. There was no direct remuneration for decorating the pigs but the artists were credited on a small plaque on each pig and received publicity for what became a very popular project locally and regionally. The display period ended in September 2008, and on 31st October the pigs were sold by auction. Artists received 25% of the price achieved at the auction. If the pig did not achieve a reserve price of £1,250 the sponsor was to receive the pig and pay  the artist a nominal £250. However, this never happened as all pigs sold, with sponsors receiving a £750 refund of their sponsorship money.  Money raised at the auction went towards Bath''s Two Tunnels Project, www.twotunnels.org.uk. This was a temporary exhibition and the pigs are no longer on display. <br>A few have resurfaced in publicly accessible places – enquire via the King Bladud''s Pigs website.  <br>The Council’s Parks Dept has prolonged the life of the project by placing two floral pigs in Parade Gardens.  Also, an old stone statue of King Bladud is to be placed in Parade Gardens at the end of October 2009, with a stone-carved pig next to it.","Please note King Bladud''s Pigs was a temporary exhibition that started in the summer of 2008 and finished on the last days of October of the same year.  However, a few pig sculptures have resurfaced in publicly accessible places – enquire via the website.<br>See also Alan Dun Lions of Bath 2010",http://www.kingbladudspigs.org,90,,,,Most were in good condition but a few pigs were vandalised or damaged. One was stolen and had to be recreated.,Most were in good condition but a few pigs were vandalised or damaged.,Across Bath and North East Somerset. For a map of the pigs locations go to:  www.kingbladudspigs.org/pigs/map.php,,,,,Alan Dun,,http://www.kingbladudspigs.org,,,"pig design and over eighty  artists including Anita Andrews, Anna Gillespie, Peter Blake, Kaffe Fassett, Candace Bahouth, Jane Callan, Charlotte Moore, Julia Trickey, John Gould, Natasha Rampley, Helen Nock, Sonja Benskin-Mesher, Sarah-Jane van der Westhuizen.  Arts departments of local schools and Bath Spa University  were also involved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA144-a.jpg|BA144-b.jpg|BA144-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,,,,,
BA141,Sprinter and Bee,"Sprinter: the figure is perpendicular to the ground, body fully extended in an animalistic position as if ready to pounce. The upper body and head is lifted towards the sky. <br>Bee: a bumblebee with a round body and large wings is held above the ground by two wooden stakes next to the cultivated raised beds of the Conservation Area.",2008,2008,,,Not known,,Sprinter and Bee were made as part of the school’s ongoing programme of art workshops.,"Access to the piece is by appointment, please contact the school to arrange a visit.",,220,120,,170,Sprinter: good<br>Bee: good,Sprinter: good<br>Bee: good,"St Michaels CofE Junior School, Newton Road, Twerton Bath BA2 1RW<br>Sprinter: garden next to the Conservation Area<br>Bee: Conservation Area","(51.3812, -2.4035)",51.3812,-2.4035,,Andrew Bolton,"Andrew Bolton is a community and public artist with more than twenty years experience and an MA in Theory and Practice of Public Art and Design. His work ranges from small collaborative pieces in schools and community centres to large public work. Bolton’s work is site-specific, referring to local history and culture as well as the ideas and aspirations of the participants. It might refer to ancient/historic styles of art, for example, Roman mosaics, medieval floors or to more contemporary local issues.",http://communitymurals.org.uk,,,,Steve Porter,"Steve Porter is an artist and a musician who has worked extensively in schools in the South West region.  Alongside the children he has produced murals, decorated furniture and collages. His sculpture <i>Lump Sum</i> was temporarily exhibited outside the Bank of England’s building in London.",http://www.steveporter.org,,,with the children,,,,,,,,,,,,,,,,,,,,,,,,,BA141-a.jpg|BA141-b.jpg|BA141-c.jpg,Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset |Copyright: Bath and North East Somerset,28,480,11,1,91
