name,also_known_as,postcode,phone,website,service_types,date_last_check,specialisms_services,provider_name,local_authority,region,location_url,location_id,provider_id,id,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
Cedar Park Nursing Home,,BA2 3NG,1225312484,http://www.cedarcarehomes.com,Nursing homes,09/01/2014 - 00:00,"Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Messrs A & M & K Desai - Desai Care Homes,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-137403798,1-137403798,1-119233147,b729f4cbf45fe3932ac7aa95476ee32c904f3b98,"27-28 Oldfield Road, Oldfield Park, Bath
(51.374636, -2.3735)",31,64,352,14,1
Culverhayes Nursing Home,,BA2 1AY,1225448923,http://www.cedarcarehomes.com,Nursing homes,11/02/2014 - 00:00,"Dementia|Mental health conditions|Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Messrs A & M & K Desai - Desai Care Homes,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-137403812,1-137403812,1-119233147,176222fc5aaed5cdd42b0e9a5bfc9ae6100d5de6,"Lymore Avenue, Twerton, Bath
(51.37583, -2.387648)",32,101,532,13,1
Woodside Nursing Home,,BA2 6EN,1225429456,http://www.cedarcarehomes.com,Nursing homes,08/01/2014 - 00:00,"Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Cedar Care Homes Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-137414503,1-137414503,1-101642327,cc4769c381aa589246edb79a72d8dedd8b875083,"Bathwick Hill, Bathwick, Bath
(51.378477, -2.340284)",22,29,77,12,1
Larkhall Springs Nursing Home,,BA1 6TL,1225466266,http://www.cedarcarehomes.com,Nursing homes,13/12/2013 - 00:00,"Dementia|Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Cedar Care Homes Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-137414516,1-137414516,1-101642327,b76abbca0a7c61c02e7ae62f13f7d7b63fbbfa72,"Swainswick Gardens, Larkhall, Bath
(51.401401, -2.342193)",23,56,219,4,1
St Teresa's Nursing Home,,BA2 9AE,1225873614,http://www.cedarcarehomes.com,Nursing homes,31/01/2014 - 00:00,"Dementia|Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Barker Care Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-138218607,1-138218607,1-119227410,59d99ef2218382995f1a81b78c11ef2cb7f323cb,"Corston Lane, Corston, Bath
(51.389105, -2.44023)",8,41,125,16,1
Springfield,,BA2 5ND,1225833338,,Nursing homes|Residential homes,15/04/2014 - 01:00,"Dementia|Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury",Springfield (Bath) Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-140187470,1-140187470,1-131465482,77542aafb0390493ec6d3916f0a8b9a66c6224ae,"Springfield, 21 Entry Hill Park, Bath
(51.362458, -2.36306)",18,4,261,17,1
Julian House,,BA1 1JW,3001231761,,Doctors/GPs,09/07/2014 - 00:00,"Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities|Treatment of disease, disorder or injury",NDUC,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-1523077130,1-1523077130,1-199793496,bdd31ba7909489789e34864733dfff95160d19ac,"Manvers Street, Bath
(51.378879, -2.35658)",35,21,13,7,1
Urgent Care Centre (RUH),,BA1 3NG,3001231761,,Mobile doctors|Phone/online advice|Urgent care centres,09/07/2014 - 00:00,"Services for everyone|Transport services, triage and medical advice provided remotely|Treatment of disease, disorder or injury",NDUC,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-1523195617,1-1523195617,1-199793496,bf36cb8676b16e75b312c73f00aa388619b497e8,"Royal United Hospital, Combe Park, Bath
(51.391662, -2.391202)",29,16,316,8,1
Urgent Care Centre (Paulton),,BS39 7SB,3001231761,,Mobile doctors|Phone/online advice|Urgent care centres,09/07/2014 - 00:00,"Services for everyone|Transport services, triage and medical advice provided remotely|Treatment of disease, disorder or injury",NDUC,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-1523196382,1-1523196382,1-199793496,f3935ea58a83fce47eab174974a695b8f4925dcb,"Paulton Memorial Hospital, Salisbury Road, Paulton, Bristol
(51.298678, -2.493283)",13,67,373,23,1
Bluebird Care (Bath & North East Somerset),,BA1 1LA,1225445225,http://www.bluebirdcare.co.uk,Homecare agencies,04/04/2014 - 00:00,Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities|Personal care,TimRowlandJones Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-155443157,1-155443157,1-132827055,056b43d5fab2279810a3a32b473981152d321fc6,"Kingston House, Pierrepont, Bath
(51.380171, -2.357309)",35,21,13,7,1
Kumari Care,,BA1 2PW,1225428449,http://www.kumaricare.com,Homecare agencies,04/08/2014 - 00:00,Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities|Personal care,Kumari Care Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-1559885726,1-1559885726,1-101671636,958adc6a7ed14b84c802641f0303f978b85fb3e5,"74 Circus Mews, Bath
(51.387064, -2.364491)",35,22,21,7,1
Newbridge Towers,,BA1 3PX,1225335681,,Residential homes,09/08/2014 - 00:00,Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care,Mr Mehmet Iltas,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-156588259,1-156588259,1-131474923,955dd28cc16d3a6d5010a2f91f9f97ce06c73f8c,"169 Newbridge Hill, Weston, Bath
(51.388253, -2.397008)",29,16,315,8,1
Wellsway Dental Surgery - Bath,,BA2 4SA,1225312847,,Dentist,25/03/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Dr. Philip Shoebridge,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-186734944,1-186734944,1-156967552,2f0e2372ea9d61d4b3f1b750f6f5394728725908,"56 Wellsway, Bath
(51.369857, -2.36635)",18,3,254,17,1
Circus Orthodontics,,BA1 2EU,1225424051,http://www.circusorthodontics.co.uk,Dentist,16/09/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Mr. Graham Edwards,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-188067212,1-188067212,1-153029127,ad6b86f3f265e7b43fe1d11c476347153e559998,"20 The Circus, Bath
(51.385736, -2.363359)",35,22,25,7,1
Paulton Dental Surgery,,BS39 7QE,1761416057,,Dentist,12/11/2013 - 00:00,"Caring for children (0 - 18yrs)|Services for everyone|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr. David Bowles,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-188089993,1-188089993,1-156963041,d2fa3226e9666426da5ee04c518e999fb47a2af0,"Ivy Cottage, High Street, Paulton, Bristol
(51.30692, -2.502596)",13,68,363,23,1
Green Park Dental Practice,,BA1 1HZ,1225421096,,Dentist,17/07/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",C D Rosser Dental Practice Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-188116198,1-188116198,1-152944962,c00acb8dd2b06cd3de3548994eca1feb9ee17e3b,"40 Green Park, Bath
(51.380724, -2.367544)",34,55,195,9,1
Circus Orthodontics,,BA1 2EU,1225424051,http://www.circusorthodontics.co.uk,Dentist,16/09/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Mr. John James Kerrigan,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-188125964,1-188125964,1-152944982,a0187a2558cce05e62f1becc5c7e3559415333e1,"20 The Circus, Bath
(51.385736, -2.363359)",35,22,25,7,1
North Way Dental Practice,,BA3 2DY,1761413663,,Dentist,20/06/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",North Way Dental Practice Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-188151491,1-188151491,1-152945310,974f2b0029c3359d15ba6c6293b05b7d4a45d54b,"North Way, Midsomer Norton, Radstock
(51.287867, -2.481049)",11,11,290,25,1
Bath Institute for Rheumatic Diseases,BIRD BATH,BA1 1HD,1225448444,http://www.birdbath.org.uk,Diagnosis/screening,05/04/2013 - 01:00,Services for everyone|Diagnostic and screening procedures,Bath Institute for Rheumatic Diseases Trading Ltd (BIRD Diagnostics),Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-188259310,1-188259310,1-126775121,25b5e9bd563363ab2e1b86c80598c716fb7c1fe8,"Trim Bridge, Bath
(51.382522, -2.361739)",35,20,11,7,1
Avon House Dental Practice,,BS31 1DP,1179862992,,Dentist,14/03/2013 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr. Redvers Daborn,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-188290271,1-188290271,1-152954063,e7fddb1c7c2f1e653f552f9547c69182b67b64f5,"5a-7a High Street, Keynsham, Bristol
(51.416737, -2.498606)",24,49,158,1,1
Charlton Road Dental Surgery,,BS31 2JA,1179862040,http://www.charltonroaddental.co.uk,Dentist,28/03/2013 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr. Richard Ayrton,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-188290499,1-188290499,1-152954083,844ba07c8eef2626ed34e659f64c673a7614b6c5,"26 Charlton Road, Keynsham, Bristol
(51.416101, -2.500167)",24,49,159,1,1
Wellsway Dental Practice,,BS31 1JA,1179863001,,Dentist,23/09/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Dr. Peter Redfern,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-188439481,1-188439481,1-153034105,89728c9596d109fad0ced0015ac2e55a65c6b923,"Dental Surgery, 143 Wellsway, Keynsham, Bristol
(51.403446, -2.49261)",16,44,150,3,1
Wells Hill Dental Surgery,,BA3 3RN,1761436279,http://www.wellshilldentalsurgery.co.uk,Dentist,14/05/2014 - 01:00,"Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr. Anthony Alan Derek Reed,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-189164535,1-189164535,1-152945330,7ff6a73d4021f8867f31d8d30a4d7ec9d68f6723,"3 Wells Road, Radstock
(51.291448, -2.448719)",26,99,521,26,1
Halton House Dental Centre Limited,,BS39 7LH,1761411166,,Dentist,14/02/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Halton House Dental Centre Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-189378499,1-189378499,1-152954212,9204bf8fa123d05baa2f6701e4d6d78122f8ba97,"Hallatrow Road, Paulton, Bristol
(51.307463, -2.507953)",13,68,364,23,1
Midsomer Dental Care,,BA3 2QB,1761412366,http://www.midsomerdental.co.uk,Dentist,05/03/2012 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Midsomer Dental Care Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-189420871,1-189420871,1-152945320,5977574a0b1e502a8cc3894100e13573c4999210,"1 North Road, Midsomer Norton
(51.28885, -2.480428)",11,11,283,25,1
Larkhall Dental Practice,,BA1 6RT,1225313914,,Dentist,14/02/2014 - 00:00,"Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Larkhall D P Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-189460424,1-189460424,1-152945002,d213455bc936ed4913db647f6a7a4e6a232b56a1,"1a St Saviours Road, Larkhall, Bath
(51.396833, -2.34512)",23,58,214,4,1
Keynsham Dental Practice,,BS31 1EB,1179867501,,Dentist,20/06/2013 - 01:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr. Ghulam Shabir Solker,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-190022092,1-190022092,1-152954073,256b7e6cb1589bbc7c14a3f0471b7ed7f7883078,"7a Bath Hill, Keynsham, Bristol
(51.414763, -2.497794)",24,49,158,1,1
Bathampton Dental Practice,,BA2 6UL,1225485303,,Dentist,15/02/2012 - 00:00,"Caring for children (0 - 18yrs)|Sensory impairments|Services for everyone|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr. Carl Fullaway,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-196416846,1-196416846,1-152945240,d248eb31ab013f8ba18eca37b77504ce6ae33db6,"29 Holcombe Lane, Bathampton, Bath
(51.393274, -2.322629)",1,27,27,10,1
Green Park Dental Practice,,BA1 1HZ,1225421096,http://www.bathdentists.co.uk,Dentist,17/07/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr. Robert Smillie,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-196472149,1-196472149,1-152944972,a6a0285ded8a9d32a317597ba5bf6e6569e84948,"40 Green Park, Bath
(51.380724, -2.367544)",34,55,195,9,1
Mr Craig Rushforth - Gay Street Bath,,BA1 2PD,1225330011,,Dentist,23/04/2014 - 01:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr. Craig Rushforth,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-196550938,1-196550938,1-153037458,f7d04d083d1edad5c84c93478a7a0a12d9e43df2,"25 Gay Street, Bath
(51.385124, -2.363512)",35,22,25,7,1
Wellsway Dental Practice,,BA2 4SA,1225312847,http://www.wellswaydental.co.uk,Dentist,25/03/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Dr. David Morley,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-197226286,1-197226286,1-152945211,5c7744ffd78b0ab7add67ed6f4792eb45b0c65d7,"56 Wellsway, Bath
(51.369857, -2.36635)",18,3,254,17,1
University of Bath Dental Centre,,BA2 7AY,1225386065,http://www.bath.ac.uk/dentist,Dentist,29/08/2013 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Miss Kathryn Timothy,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-197758281,1-197758281,1-153036805,4433721e3c5dd70f51aa725be332cd2ddd88c7a9,"Quarry House, North Road, Claverton Down, Bath
(51.380438, -2.330671)",22,29,580,12,1
Green Park Dental Practice,,BA1 1HZ,1225421096,,Dentist,17/07/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr. Graham Muller,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-198508293,1-198508293,1-153032975,fc5f949bff9ae45a5103a041abd03e4605340930,"40 Green Park, Bath
(51.380724, -2.367544)",34,55,195,9,1
Bath Oldfield Dental Centre,,BA2 3HT,1225445455,http://www.adp-dental.com,Dentist,01/10/2012 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",IDH Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-199357035,1-199357035,1-171553721,8a9ed933ab0b63f74504f3b5f4fe5d78594f1e8f,"45a Upper Oldfield Park, Bath
(51.376361, -2.373931)",33,112,565,12,1
Bath Twerton Dental Centre,,BA2 1ER,1225339882,,Dentist,17/05/2012 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",IDH Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-199357050,1-199357050,1-171553721,4ab74491870af976043fddeb407a100103e5aa2a,"St Michaels Surgery, Walwyn Close, Bath
(51.381851, -2.399467)",28,92,479,11,1
Lyndhurst Dental Practice,,BA2 3JZ,1225422125,,Dentist,28/11/2012 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Lyndhurst Dental Practice,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-226493450,1-226493450,1-152945172,f4b430eb8e31d2e7f4d581f3cee43552c2b69632,"16a Upper Oldfield Park, Bath
(51.375921, -2.370853)",33,112,565,12,1
The Circus Dental Practice,,BA1 2ES,1225426163,http://www.circusdentalpractice.co.uk,Dentist,11/02/2014 - 00:00,"Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",The Circus Dental Practice,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-199453367,1-199453367,1-191553371,0d6f2a602245c9896100a3524d0d0b1ac6fbd012,"13 The Circus, Bath
(51.386426, -2.364241)",35,22,21,7,1
St Michael's Dental Surgery,,BA2 1SX,1225334733,http://www.nofeardentists.com,Dentist,17/12/2013 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr. Calum Macpherson,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-200318028,1-200318028,1-152945162,47b9774ddc59c162d3a47e81ee172e66bed52606,"Walwyn Close, Twerton, Bath
(51.381572, -2.399551)",28,92,479,11,1
Combe Down Dental Practice,,BA2 5HX,1225834447,,Dentist,17/11/2012 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",IDH 324 & 325 Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-200656553,1-200656553,1-161850748,856bd739a81c8f52dcc5167816e2035eda8ea437,"8 Combe Road, Combedown, Bath
(51.359535, -2.351317)",19,38,118,18,1
Peasedown Dental Practice,,BA2 8DJ,1761439191,,Dentist,29/01/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",IDH 324 & 325 Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-200656570,1-200656570,1-161850748,77a5d7e4cf1e473b445e3535d2d12a87389e6993,"30 Bath Road, Peasedown St John, Bath
(51.315206, -2.429278)",15,73,381,22,1
The Talbot Clinic,,BA2 6SH,1225426222,http://www.tobytalbot.co.uk,Dentist,12/08/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr. Toby Talbot,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-201617842,1-201617842,1-161845827,fd8cf0f2627fa025bcfd5dcd4255c5edba64b30c,"Tasburgh House, Warminster Road, Bath
(51.391357, -2.33591)",1,27,29,10,1
Widcombe Dental Solutions,,BA2 4JT,1225311451,http://www.hightechsmile.co.uk,Dentist,15/02/2013 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Dr. Stuart Clark,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-201632802,1-201632802,1-153015436,187d67de9ffbacdd573d2fdedcd23e17a940556f,"15 Widcombe Parade, Widcombe, Bath
(51.376377, -2.35432)",33,111,572,12,1
Rivers Street Dental Practice,,BA1 2QA,1225420817,,Dentist,09/02/2013 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Dr. Susan Plumstead,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-201678991,1-201678991,1-161846174,ebd802bcb3734c7d39b62d2f0129eba49953b961,"28 Rivers Street, Bath
(51.38756, -2.364006)",35,22,18,7,1
The Hand to Elbow Clinic,,BA1 2BT,1225316895,http://www.handtoelbow.com,Doctors/GPs|Doctors/GPs,11/12/2012 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Mr Grey Giddins,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-203531291,1-203531291,1-158786840,d5c31358cce90510613de88cf29682b22b54e34c,"29A James Street West, Bath
(51.382315, -2.367542)",34,55,195,9,1
Rush Hill Dental Centre,,BA2 2QH,1225487790,,Dentist,12/08/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Whitecross Dental Care Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-206141221,1-206141221,1-161851228,7de5ea919f1278da2699cf2955069ec94f5c0e06,"20 Rush Hill, Bath
(51.365236, -2.39372)",30,62,340,19,1
Aquae Sulis Dental Practice,,BA1 3DS,1225339767,http://www.aquaesulisdental.co.uk,Dentist,03/10/2014 - 00:00,"Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Dr. Ian Bellamy,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-207120125,1-207120125,1-171566979,f73603f6709e0dac731882e4e2af4ec94c64fdd0,"Station Court, Ashley Avenue, Bath
(51.383934, -2.387156)",34,54,208,9,1
Charlton Park Dental Practice,,BS31 2ND,1179862627,http://www.charltonparkdental.co.uk,Dentist,03/09/2012 - 01:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr. Mohammed Othman,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-210970215,1-210970215,1-188916940,65b8e4a242ac10389ce5b7662867394acd9e789d,"30 Charlton Park, Keynsham
(51.41117, -2.505347)",24,49,164,1,1
Bath & Bristol Periodontal Clinic,,BS31 3JF,,,Dentist,31/08/2012 - 01:00,"Caring for adults under 65 yrs|Caring for adults over 65 yrs|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Dr. Gaston King,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-212147517,1-212147517,1-153029117,c61ccd768ef1b18e09c5644dd29b40cadf0500db,"506 Bath Road, Saltford, Bristol
(51.400534, -2.454298)",17,81,423,16,1
Sleep Lane Smiles,,BS14 0QN,1275891820,http://www.ennerdalehouse.co.uk,Dentist,20/11/2013 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",R & A Lampard Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-216423489,1-216423489,1-171564533,857d0e647be7c4cfb92cef9af59549b7fd29a6a6,"Sleep Lane, Whitchurch, Bristol
(51.402451, -2.552403)",7,75,403,20,1
The Manor Dental Practice,,BA1 4BW,1225482484,,Dentist,26/02/2013 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mrs. Linda Reithofer-Taylor,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-217017598,1-217017598,1-191588544,8948035e466fe005a6461e7a9cfd3aa472aaf5d7,"1 Manor Road, Weston, Bath
(51.394331, -2.38904)",20,107,551,5,1
Bath Dental Excellence - 29 Brock Street,,BA1 2LN,,http://www.bathdentalexcellence.co.uk,Dentist,25/04/2011 - 01:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr. Robert Anderson,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-226266737,1-226266737,1-191585749,d6619b8c177bafda9f2b186293f24cd97a7245f3,"29 Brock Street, Bath
(51.386306, -2.365318)",35,22,23,7,1
Mermaid Dental Surgery,,BS31 3BQ,1225872106,,Dentist,13/07/2012 - 00:00,"Caring for children (0 - 18yrs)|Sensory impairments|Services for everyone|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders|Physical disabilities|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Persident Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-227371434,1-227371434,1-205034275,c69cb3859a2c6410abf706999dfd00f9fd17622b,"1 Norman Road, Saltford, Bristol
(51.404359, -2.458103)",17,80,426,16,1
Queen Square Dental Practice,,BA1 2HA,1225424336,,Dentist,04/09/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mrs. Julia Robson,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-228897389,1-228897389,1-205030740,9b6afcc1d61cb6eb4bfb02ec3963f2fb7dfe02b8,"1a Queen Square, Bath
(51.383688, -2.362941)",35,22,4,7,1
Wellsway Dental Practice,,BA2 4SA,1225303350,,Dentist,25/03/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Dr. Stephen Pimm,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-232550483,1-232550483,1-152945221,4a8f972bf00616b98a629eb07fbcb581293374ed,"56 Wellsway, Bath
(51.369857, -2.36635)",18,3,254,17,1
MHA Care at Home - Alexander Branch,,BA1 5UB,1225428476,http://www.mha.org.uk,Homecare agencies|Supported housing,28/02/2014 - 00:00,Sensory impairments|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities|Personal care,Methodist Homes,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-247667202,1-247667202,1-102642904,082676316ae9ee86c6a2bfb9278ca1548d7261d6,"Walcot Court, Walcot Gate, Bath
(51.389235, -2.357293)",35,20,16,7,1
The Dental Implant Clinic,,BA1 3JZ,1225448400,http://www.thedentalimplantclinic.com,Dentist,08/05/2012 - 01:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr. Jonathon Schofield,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-248679485,1-248679485,1-191583320,7ff48e33171abdf62af2100233813cedc5626fd7,"24 Newbridge Road, Bath
(51.384489, -2.390379)",29,15,325,8,1
Charlotte St Dental Practice,,BA1 2ND,1225318455,,Dentist,25/03/2014 - 00:00,"Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Caring for adults over 65 yrs|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Mr Jeffrey Watkins,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-254901723,1-254901723,1-153038015,f88aeb034dcdf2ef1b34c9940358d6589e35098f,"15A Charlotte Street, Bath
(51.383201, -2.36627)",34,115,212,9,1
