Distributing Body,Good Cause,Recipient Name,Project Name,Grant Date,Grant Amount,Programme Name,County,Postal Town,Local Authority,Electoral Ward,Region,UK Constituency,EU Constituency
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",National Osteoporosis Society,This is a project by a charity in Bath serving beneficiaries throughout England. The charity will use the funding to host a series of advice and information events for people newly diagnosed with osteoporosis. This will enable beneficiaries to better unde,03/08/2011,9030,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Golden-Oldies,This inter-generational project will address the growing divide between young and older people in the community and bring them together through a range of activities. Projects will range from school students painting portraits of older people to grandmoth,30/06/2011,60000,Jubilee People's Millions,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Innerroom,Henry V Tour,29/06/2011,4695,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Keynsham Music Festival Association,Plaza Performance Keynsham,17/06/2011,6515,Grants for the arts,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Wansdyke Play Association,This project will help children and young people to access more outdoor play opportunities by empowering communities to manage their own open spaces and play areas and develop sustainable community play services. It aims to encourage physical activity amo,14/06/2011,227548,Reaching Communities,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Bath & North East Somerset Youth Service,Youth Music Power Play Southside,20/05/2011,27500,Youth Music - Power Play,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Swan Advice Network,"This is a project by a charity in Radstock, Bath. The group will use the funding for a pilot project which provide volunteer training for drivers to transport older and disabled people to appointments at local surgeries and hospital outpatients.",11/05/2011,9982,Awards for All,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Anne Selby,"Exhibit at Origin Craft Fair, London 2010",03/08/2010,2500,Grants for the Arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Batheaston C of E Primary School,This is a project by a primary school in Batheaston. This group will use funding to improve habitats for local wildlife and create a dipping pond for the benefit of the school and local community.,11/05/2011,9625,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Paul Howard,AquaVoltaic,05/05/2011,27000,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Kilmersdon Village Hall,"This is a project by a community group in Kilmersdon, Somerset. The group will use the funding to replace the existing toilet facilities in the village hall which are currently presenting a health and safety issue. This will improve this local facility an",05/04/2011,2906,Awards for All,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Southdown Junior School,This is a project by a school in Bath. The school will use the funding to purchase a playpod which will give children at the school an important play facility where there is currently unused land. This will give the beneficiaries the chance take part in n,05/04/2011,8000,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",The Rifles and Light Infantry Association Bristol Branch,"This is a project by a community group in Kenysham, Bristol. The group will use the funding to organise a coach trip for veterans to attend the unveiling of the first ever memorial to the men of the light infantry.",05/04/2011,360,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Norton Hill School,Girls Football,04/03/2011,500,Small Grants,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,British Waterways Regeneration South,The Bath Flight 'Open Air Museum',02/03/2011,50000,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Freshford Pre-school,"This is a project by a charity in Freshford, Bath. The charity will use the funding to train their pre-school staff to run forest training classes and purchase equipment to compliment the classes. This will enable the group to provide outdoor activity ses",01/03/2011,6045,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",St Philip's CE VC Primary School,"This is a project by a school in Bath, Somerset. The school will use the funding to turn an area of muddy grass into a safe play area using NoMow artificial grass. This will turn an under used and potentially unsafe area into an area that can be used all",01/03/2011,10000,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,MPAGB,Club & Coach funding 2007-10,22/02/2011,52500,Community Programme,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Ramshacklicious Theatre Company,The Small time  development.,17/02/2011,9854,Grants for the Arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,A Second World War veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Italy. Funding has been provided for one Second World War veteran and one spouse.,14/02/2011,2200,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Creativity Works for Everyone,The money will support a range of community involvement activities to better prepare this Big Local Trust neighbourhood for when the Trust becomes operational.,03/02/2011,10000,Big Local Trust: Getting people involved,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Bath Fringe Festival,Interventions,01/02/2011,9800,Grants for the Arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Moorlands Infant School,This is a project by a school in Somerset. The school will use funding to improve the school grounds and provide access to nature and wildlife with a nature trail and wildlife activities for the community to become involved in. This will improve a green s,25/01/2011,9144,Awards for All,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Primrose Hill Community Woodland Trust,"This is a project by a registered charity in Bath. They will use funding to create two ponds in the local woods, to encourage wildlife to the area. This will also create an attractive outdoor space for the community to enjoy.",25/01/2011,2530,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Volunteer Centre Bath and North East Somerset,"This is a project by a community organisation in Bath. They will use funding to relocate the organisation to a prominent space within the central library in Bath. This will improve the outreach services the group offers, as it will improve the organisatio",25/01/2011,6751,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Team Bath Evolution,Purchase of new trampolines,20/01/2011,10000,Small Grants,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,The Herschel House Trust,"Exhibition - Omens & Inspirations: Ice, Dust and Fire, the story of the Great Comet of 1811",11/01/2011,8100,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,The Holburne Museum of Art,Sharing our History: Bathwick and Sydney Gardens,11/01/2011,10700,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Triumph Over Phobia (TOP U K),"This is a project by a charity in Bath. The group will use funding to improve the service it provides by improving volunteer training, IT systems and how the group are publicised to the public and those most in need. This will enable the group to provide",17/12/2010,4700,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Museum of East Asian Art,MEAA 4th Annual Lunar New Year Extravaganza!,15/12/2010,1800,Grants for the Arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,A Second World War veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Cyprus in October 2010. Funding has been provided for one Second World War veteran and one carer.,10/11/2010,1425,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,A Second World War veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to South Africa in September 2010. Funding has been provided for one Second World War veteran.,10/11/2010,2000,Heroes Return,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath Central United Reformed Church Charity,"This is a project by a charity in Bath. The group will use the funding to install toilet and baby changing facilities near the sanctuary auditorium of the church, where community and voluntary groups hold activities and events.",02/11/2010,9283,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Transition Bath Ltd,This is a project by a community organisation in Bath. The group will use the funding to organise a series of talks on the theme of community empowerment and low carbon communities. These talks will provide local communities with information that will enc,02/11/2010,9720,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Theatre Royal Bath,School of Culture and Learning,21/10/2010,52000,Grants for the Arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Gwendolyn Thomson,Clown School!,06/10/2010,3193,Grants for the Arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,"A Second World War veteran from Chester has been awarded a grant towards travel costs for a commemorative visit to Malta in September in 2010. Funding has been provided for one Second World War veteran, one spouse and one carer.",01/09/2010,2200,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",National Osteoporosis Society,"The organisation, which is dedicated to improving the diagnosis, prevention and treatment of osteoporosis, will use the grant to run an osteoporosis awareness event.",26/08/2010,7625,Awards for All Northern Ireland,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure","Paulton Scout, Guide and Community Centre",This group will use funding to provide disabled access and a car park to the scout hut and community centre. This will allow those with mobillity issues to access community facilities and encourage more inclusive interaction amongst user groups.,24/08/2010,9988,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Norton Hill School,Norton Hill Sports Centre Badminton Club,10/08/2010,7650,Small Grants,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",New Highway,This project aims to provide an alternative service to drug and alcohol users across Bath and North East Somerset and Wiltshire. It aims to help individuals to cope with recovery from drug and alcohol dependency and encourage them to remain engaged in app,10/08/2010,167948,Reaching Communities,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Paulton Junior School,"This school will use funding to set up a breakfast club for the children of the school. This will give the children an opportunity to improve social interaction, and learn life skills such as how to prepare a healthy breakfast and the importance of hygien",26/07/2010,930,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath Organic Group,"This group will use funding to make improvements to a community garden. Access for elderly and disabled visitors will be improved, extra equipment will enable more volunteers to get involved and the group will be better equipped to provide training and ed",26/07/2010,9454,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Elena Hill,To The River,12/07/2010,43500,Grants for the Arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
UK Film Council,Arts,Bath Film Festival,Bath Film Festival 2010 - Shiraz and Indian Cinema Strand,01/07/2010,2000,Exhibition\Film Festivals,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Kilter Theatre,Roots Replanted,02/06/2010,22729,Grants for the Arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,A Second World War veteran from Bristol has been awarded a grant towards travel costs for a commemorative visit to Italy in September of this year. Funding has been provided for one Second World War veteran and one spouse.,27/05/2010,1635,Heroes Return,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Normandy Veterans Association - Bristol Branch,A Second World War veteran from Bristol has been awarded a grant towards travel costs for a commemorative trip to Holland in May 2010. Funding has been provided for one Second World War veteran and one spouse.,27/05/2010,875,Heroes Return,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Normandy Veterans Association - Bristol Branch,A Second World War veteran from Avon has been awarded a grant towards travel costs for a commemorative visit to the Netherlands in May of this year. Funding has been provided for one Second World War veteran and one spouse.,27/05/2010,875,Heroes Return,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Holburne Museum Of Art,Drawing Attention: Art with Homeless People,25/05/2010,9974,Grants for the Arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",National Osteoporosis Society,The National Osteoporosis Society will hold an osteoporosis awareness raising event and establish two local support groups in rural areas of Wales. This project meets the Awards for All Wales aims of supporting community activity and improving the quality,24/05/2010,4086,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Royal United Hospital Bath NHS Trust,"A project by this health body based in Combe Park, Bath to set up an arts programme for patients which will explore the relationship between the art of creativity and the art of healing. This will turn a sterile environment into a bright and colourful pla",11/05/2010,10000,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",St Martins Garden Primary School,A project by this school based in Bath to run an after school club for children to learn about designing and building a kit car. The project will be open to children from all local primary schools and the wider community. It will develop skills in teamwor,11/05/2010,1997,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Golden-Oldies,"A project by this Bath and North East Somerset charity to bring together young and old people through inter-generational activities, covering topics such as school meals, fashion and transport. The activities involve exhibitions, concerts, art and drama t",11/05/2010,10000,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Chew Valley School,Lake Odyssey 2011,05/05/2010,12300,,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,TEAMBath Youth and Age Group Swim Squad,"Land Training Programme,Youth/Age Group Performance Swimming",29/04/2010,7800,Small Grants,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Beckford Tower Trust,Beckford 250 Anniversary,07/04/2010,27700,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Bath Philharmonia,Listen 2 Us,05/04/2010,23425,Youth Music - Open Programme,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath City Farm Limited,A project by this Bath based group to provide volunteering opportunities to young people in the local area. The project will involve sessions for 16-19 year olds who are not in education and employment and will focus on the redevelopment of a local nature,18/03/2010,7507,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Creativity Works for Everyone,Regenerating Nesa,02/03/2010,65000,Grants for the arts,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Farmborough C of E VC Primary School,"A project by this Bath based school to refurbish two rooms providing an area for school and holiday clubs. The project will create a kitchen, a chillout space and a outside play area. Art workshops will also be provided during term time.",17/02/2010,10000,Awards for All,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath Fringe Arts,A project by this Bath based group to develop the organisation's website to make it easier to access and specifically develop a specialist online peer support network for artists with mental health issues.,17/02/2010,4240,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Somer Community Housing Trust,"A project by this group in Bath, Somerset to run weekly traditional ballroom dance sessions at a disabled day care centre for older and disabled people as well as for the wider community. The project will provide opportunities for people to take up physic",17/02/2010,7260,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Institute of Contemporary Interdisciplinary Arts,Guest,02/02/2010,5000,Grants for the arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath District Branch of Avon Beekeepers Association (ABKA),"A project by this charity based in Bradford on Avon, Wiltshire to build a classrom for use by the group in delivering beekeeping tuition. The room will also be used to show the public more about beekeeing, and will feature a protective screen so people ca",13/01/2010,10000,Awards for All England 09,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Cameley Primary School,"A project by this Temple Cloud, Bristol primary school to install a play pod, providing a cabin containing stimulating equipment and materials for children's play. Activities will be held for children during lunchtimes, an after school club, and by a loca",13/01/2010,10000,Awards for All England 09,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Mentoring Plus Bath and North East Somerset Ltd,A project by this group in Bath and North East Somerset to train people to be volunteer mentors to mentor young people. The mentors will be principally people who have been mentored for the past year. It will help at-risk young people to develop into empl,13/01/2010,10000,Awards for All England 09,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Zephyrian Woodwind Choir,"A project by this Bath group to celebrate the life of King Bladud. One poet will be working with pupils from a local secondary school and a second with older disabled women, with music written by two composers, to be performed in a pageant in June 2009.",27/04/2009,5570,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath Ethnic Minority Senior Citizens Association,This continuation of an existing project will reduce isolation and improve the health and well-being of older people from black and minority ethnic communities in Bath and North Somerset. This will be achieved through a variety of events and activities de,22/12/2009,156767,Reaching Communities,,Bath and North East Somerset,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,PCC of North Stoke,St Martin's Church,21/12/2009,33076,,,BATH,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Samba Sulis,"A project by this group based in Bath to set up a community Samba band for people from all different backgrounds. After school clubs will be run, alongside open workshops and a community performance to attract people from ethnic minority backgrounds and p",09/12/2009,8000,Awards for All England 09,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Mombasa in January of next year. Funding has been provided for one Second World War veteran and one carer.,08/12/2009,3700,Heroes Return,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Natural Theatre Company,Sustain- Natural Theatre Company,03/12/2009,77000,Grants for the arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Widcombe Rising,Widcombe Rising 2010 (Canal Birthday Party),02/12/2009,7000,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Writhlington School,This project will create a new climbing wall at Writhlington Sports Centre for the local community and people from surrounding rural areas. A range of people will benefit from the wall including pupils from local schools and learning disability groups. It,30/11/2009,44500,The Peoples Millions,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath and District Citizens Advice Bureau,A project by this Citizens Advice Bureau based in Bath to provide a programme of training for staff and volunteers to provide a more effective service to clients. The group will also provide new equipment and office space to enhance its service delivery.,10/11/2009,9100,Awards for All England 09,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Elena Hill,Artist Moving Image Exhibition (AMIE),09/09/2008,10000,Grants for the arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",South Wansdyke Learning And Living Our Way (SWALLOW),"A project by this charity based in Midsomer Norton, Radstock to set up a scheme to help current members become fitter and healthier following a successful pilot project.",10/11/2009,9346,Awards for All England 09,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Bath and North East Somerset Carers Centre,"A project by this Radstock, Bath based charity to refurbish and expand their offices to improve their quality of service to a greater number of carers in the area.",10/11/2009,9396,Awards for All,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,A Second World War veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Egypt in October of this year. Funding has been provided for one Second World War veteran.,06/11/2009,1500,Heroes Return,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Bath Festivals,Sustain- Bath Festivals Ltd,15/10/2009,110500,Grants for the arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,One Second World War veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Belgium in April of next year. Funding has been provided for one Second World War veteran.,13/10/2009,150,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,One Second World War veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Gibraltar in June of next year. Funding has been provided for one Second World War veteran and one spouse.,13/10/2009,1425,Heroes Return,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",The Web of Hope,"A project by this Bath based group to encourage people to live sustainably and increase awareness of environmental issues. The project will involve a series of workshops, training sessions, volunteering opportunities and trips for young people in the comm",06/10/2009,9048,Awards for All England 09,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Old Sulians RFC,Sustaining Community-level Rugby in Bath,01/10/2009,3537,Small Grants,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Normandy Veterans Association - Bristol Branch,"Twenty Second World War veterans from Bristol have been awarded a grant towards travel costs for a commemorative visit to France in June of this year. Funding has been provided for 20 Second World War veterans, six spouses, four widows and four carers.",15/09/2009,16000,Heroes Return,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Bath Lacrosse Club,Bath & Wiltshire Lacrosse Development League,14/09/2009,9250,Small Grants,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Felicity Aylieff,Out of China,11/01/2008,21578,Grants for the arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Avon County Federation of Women's Institutes,A project by this Women's Institute group in Bristol to provide IT training and equipment for their officers. The aim is to improve the existing standard of the group's presentation and communication skills and the training will be filtered down to other,08/09/2009,5200,Awards for All England 09,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Fairfield Project Group,"A project by this community group based in Keynsham, Bristol, to organise a community archaeological 'dig' incorporating weekend field work, an open day and additional work on and off site with local schools, youth organisations, community groups and indi",08/09/2009,10000,Awards for All England 09,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Institute of Contemporary Interdisciplinary Arts,Speeches,25/08/2009,7600,Grants for the arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Richard Durnford,Cafe Sway,18/08/2009,4500,Grants for the arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Claire Loder,"Origin - the London Craft Fair, October 09",18/08/2009,3597,Grants for the arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
UK Film Council,Arts,The Little Theatre Cinema,From Out of the Shadows,05/08/2009,1500,Exhibition\Cinemas,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,A Second World War veteran from Avon has been awarded a grant towards travel costs for a commemorative visit to Egypt in November of 2010. Funding has been provided for one Second World War veteran and one spouse.,24/07/2009,2825,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,A Second World War veteran from Bristol has been awarded a grant towards travel costs for a commemorative visit to Holland in September of this year. Funding has been provided for one Second World War veteran and one spouse..,17/07/2009,875,Heroes Return,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,A Second World War veteran from Somerset has been awarded a grant towards travel costs for a commemorative visit to Sri Lanka in September of this year. Funding has been provided for one Second World War veteran and one carer.,17/07/2009,3700,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Liz Brownlee,Why we love poetry,07/07/2009,3678,Grants for the arts,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Writhlington Trust,"This project in Radstock, Avon, will provide music technology enrichment programmes to primary school pupils in rural isolated areas. The project aims to support and encourage the beneficiaries in developing new creative skills. These sessions will be run",06/07/2009,10000,Awards for All England 09,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Target 80 Community Interest Company,"This new energy information centre in Tunbridge Mill, Bristol, will provide support and information on ways to reduce energy usage, leading to carbon reduction and lower fuel bills for the people in the area. This will include creating specific informatio",06/07/2009,5520,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,The Holburne Museum of Art,Stories from the Gardens,01/07/2009,9900,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Natural Theatre Company,Creative Learning Centre,23/06/2009,50000,Grants for the arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Pentathlon GB,NGB Funding 2009-13,19/06/2009,817957,Whole Sport Plan,,BATH,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,One Second World War veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to France in June of this year. Funding has been provided for one Second World War veteran and one carer.,31/05/2009,875,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Big Lottery Fund,"Health, Education, Environment and Charitable Expenditure",Heroes Return Award to an individual,"A second world war veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to France in June of this year. Funding has been provided for one veteran, one spouse and one carer.",31/05/2009,1300,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Keynsham Judo School,"This judo group will use funding to arrange extra weekly sessions, train more coaches and purchase new equipment. They will continue to organise demonstrations at schools in order to promote an active lifestyle to young people. The grant will pay for vehi",11/05/2009,9500,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Ramshacklicious Theatre Company,Swill Research and Development,05/05/2009,2813,Grants for the arts,,BATH,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Theatre Royal Bath,YPT Urban Arts tour of Max & Beth,28/04/2009,6000,Grants for the arts,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,The Bath Preservation Trust Limited,A project by this registered charity based in Bath to demonstrate the impact of local geology on the development of the city by delivering an exhibition for the local community.,27/04/2009,8800,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Bath & North East Somerset Youth Service,In the Mix,16/04/2009,29162,Youth Music - Make It Sound,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
