incident_number,datetime,ward,location,incident_category,type_0,type_1,type_2,type_3,x_coordinate,y_coordinate,unitary_authority,origin_of_call,property_category,property_type,is_primary_fire,cause_of_fire,is_property_derelict,is_property_occupied_at_the_incident,property_normally_occupied,is_fire_confined_to_chimney,how_fire_was_discovered,main_cause_of_fire,ignition_source,ignition_source_powered,item_first_damaged,item_responsible_for_spread_of_fire,main_action_by_other_than_frs,main_action_by_frs,special_service_type,road_traffic_collision,false_alarm_reason,victims_involved,were_alarm_systems_present,no_of_fatalities,no_of_fire_fatalities,no_of_injuries,no_of_rescues,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
011414-01092010,09/01/2010 03:29:03 PM +0000,LANSDOWN,"(51.39700019568331, -2.3535463911730448)",False Alarm,Building,Other Residential,Student Hall of Residence,,375***,166***,BANES,Person (mobile),OtherResidential,Building > Other Residential > Student Hall of Residence,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Faulty,no,,,,,,36,500,6,1,93
004817-06062010,06/06/2010 03:29:08 AM +0000,KINGSMEAD,"(51.38796447889967, -2.367847713155505)",Fire,Outdoor,Other outdoors (including land),Loose refuse (incl in garden),,374***,165***,BANES,Person (mobile),Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate ? others property,no,,,,,,,,,,,,,no,,no,,,,,,34,200,9,1,115
005732-19062010,06/19/2010 09:55:00 PM +0000,KINGSMEAD,"(51.38796447889967, -2.367847713155505)",Fire,Outdoor,Other outdoors (including land),Park,,374***,165***,BANES,Police,Outdoor,Outdoor > Other outdoors (including land) > Park,no,Deliberate ? others property,no,,,,,,,,,,,,,no,,no,,,,,,34,200,9,1,115
013682-04102010,10/04/2010 03:25:54 PM +0000,WESTON,"(51.396909887464425, -2.3822933247234346)",False Alarm,Building,Dwelling,Self contained Sheltered Housing,,373***,166***,BANES,Person (land line),Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,,20,546,5,1,107
012826-22092010,09/22/2010 08:16:42 PM +0000,WESTON,"(51.396909887464425, -2.3822933247234346)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,373***,166***,BANES,Person (land line),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,20,546,5,1,107
015215-25102010,10/25/2010 07:49:34 PM +0000,WIDCOMBE,"(51.37901726536445, -2.353407734154723)",Fire,Building,Non Residential,Offices and call centres,Purpose built office,375***,164***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Offices and call centres > Purpose built office,yes,Accidental,no,yes,Yes - occupied,no,Automatic alarm system,Accidental;  Fault in equipment or appliance ,Other domestic style appliance -> Dishwasher ,Electric,"Foam, rubber, plastic -> Plastic ? raw material only","Foam, rubber, plastic -> Plastic ? raw material only",Fire extinguisher,None -> No firefighting,,no,,no,yes,,,,,33,564,12,1,111
007931-14072010,07/14/2010 05:58:44 PM +0000,WESTMORELAND,"(51.38796447889967, -2.367847713155505)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,374***,165***,BANES,Person (land line),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,34,200,9,1,115
003634-23052010,05/23/2010 04:31:44 PM +0000,ODD DOWN,"(51.36099006304717, -2.3676314465748853)",Special Service,Outdoor,Other outdoors (including land),Other outdoor location,,374***,162***,BANES,Person (land line),Outdoor,Outdoor > Other outdoors (including land) > Other outdoor location,,,,,,,,,,,,,,,"Other rescue/release of persons, Confined space - atmosphere not noxious, e.g. silo, grains tore",no,,yes,,0,0,0,1,18,259,17,1,4
011842-08092010,09/08/2010 05:32:53 AM +0000,RADSTOCK,"(51.306793841028956, -2.4389262361642783)",Fire,Road Vehicle,Van,,,369***,156***,BANES,Other FRS,RoadVehicle,Road Vehicle > Van,yes,Accidental,no,,,,Persons,Other,Vehicles only -> Electrical fault ,Electric,Structural/Fixtures/Fitting s ? Internal -> Wiring insulation,"Foam, rubber, plastic -> Rubber ? raw material only",None,,,no,,no,,,,,,9,63,22,1,28
007166-05072010,07/05/2010 04:13:46 PM +0000,RADSTOCK,"(51.288810817495666, -2.4387546734234338)",Fire,Outdoor,"Grassland, woodland and crops",Scrub land,,369***,154***,BANES,Person (land line),Outdoor,"Outdoor > Grassland, woodland and crops > Scrub land",no,Deliberate ? others property,no,,,,,,,,,,,,,no,,no,,,,,,12,417,24,1,79
003154-17052010,05/17/2010 06:23:29 AM +0000,LANSDOWN,"(51.39695592292638, -2.367919876620639)",Special Service,Building,Non Residential,Education,College/University,374***,166***,BANES,Person (mobile),NonResidential,Building > Non Residential > Education > College/University,,,,,,,,,,,,,,,"Animal assistance incidents, Other, Livestock e.g. Horse, Cow, Sheep, Goat, Pig, Poultry, Fish, Exotic (Llama/Ostrich), Deer, etc.",no,,no,,,,,,21,235,7,1,1
003636-23052010,05/23/2010 05:35:13 PM +0000,KINGSMEAD,"(51.38791845815606, -2.382218344259114)",Special Service,Outdoor,Other outdoors (including land),River/canal,,373***,165***,BANES,Person (mobile),Outdoor,Outdoor > Other outdoors (including land) > River/canal,,,,,,,,,,,,,,,"No action (not false alarm), Service not required",no,,no,,,,,,34,202,9,1,54
010462-18082010,08/18/2010 10:09:30 PM +0000,BATHAVON NORTH,"(51.41502560742235, -2.3393060319323786)",False Alarm,Outdoor,Other outdoors (including land),Highway/road surface/pavement,,376***,168***,BANES,Person (mobile),Outdoor,Outdoor > Other outdoors (including land) > Highway/road surface/pavement,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,,1,34,10,1,25
014144-11102010,10/11/2010 01:33:53 PM +0000,LANSDOWN,"(51.39700019568331, -2.3535463911730448)",Special Service,Road Vehicle,Car,,,375***,166***,BANES,Police,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"Spills and Leaks (not RTC), Vehicle leaking fuel",no,,no,,,,,,36,500,6,1,93
007362-07072010,07/07/2010 08:11:24 PM +0000,KEYNSHAM SOUTH,"(51.414460688271, -2.497474572472788)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,365***,168***,BANES,Other FRS,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,37,182,2,1,52
014017-09102010,10/09/2010 12:52:21 PM +0000,TWERTON,"(51.38787067528191, -2.396588936586609)",False Alarm,Building,Non Residential,Offices and call centres,Purpose built office,372***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Offices and call centres > Purpose built office,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,29,315,8,1,16
003513-22052010,05/22/2010 10:44:42 AM +0000,BATHAVON NORTH,"(51.40611392094566, -2.310486652076779)",Special Service,Outdoor,Other outdoors (including land),River/canal,,378***,167***,BANES,Person (land line),Outdoor,Outdoor > Other outdoors (including land) > River/canal,,,,,,,,,,,,,,,"Animal assistance incidents, Other, Livestock e.g. Horse, Cow, Sheep, Goat, Pig, Poultry, Fish, Exotic (Llama/Ostrich), Deer, etc.",no,,no,,,,,,1,38,10,1,24
005101-10062010,06/10/2010 05:58:05 PM +0000,KINGSMEAD,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Offices and call centres,Purpose built office,375***,165***,BANES,Person (land line),NonResidential,Building > Non Residential > Offices and call centres > Purpose built office,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,36,498,6,1,96
007573-10072010,07/10/2010 08:00:54 AM +0000,KEYNSHAM NORTH,"(51.414460688271, -2.497474572472788)",False Alarm,Building,Other Residential,Sheltered Housing - not self contained,,365***,168***,BANES,Person (land line),OtherResidential,Building > Other Residential > Sheltered Housing - not self contained,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Dust,no,,,,,,37,182,2,1,52
001986-28042010,04/28/2010 08:46:41 PM +0000,MIDSOMER NORTON NORTH,"(51.288699783947536, -2.467433694010908)",Fire,Outdoor,Outdoor structures,Refuse/rubbish tip,,367***,154***,BANES,Person (mobile),OutdoorStructure,Outdoor > Outdoor structures > Refuse/rubbish tip,no,Deliberate ? unknown owner,no,,,,,,,,,,,,,no,,no,,,,,,26,510,26,1,97
015487-31102010,10/31/2010 02:08:13 AM +0000,COMBE DOWN,"(51.37002577927021, -2.3533384594150153)",Special Service,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,375***,163***,BANES,Police,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,"Assist other agencies, Other assistance to police/ambulance, Other",no,,yes,,0,0,0,1,33,575,12,1,110
006257-25062010,06/25/2010 01:44:54 PM +0000,HIGH LITTLETON,"(51.32454742495751, -2.4965006769392533)",Fire,Building,Non Residential,Private Garden Shed,,365***,158***,BANES,Person (mobile),NonResidential,Building > Non Residential > Private Garden Shed,yes,Deliberate ? others property,no,no,No - unoccupied permanently (vacant),no,Persons,Deliberate;  - others property: Heat source and combustibles brought together deliberately,Not known,Not applicable,Not known,Wood -> Garden shed,None,,,no,,no,no,,,,,14,456,16,1,88
012648-20092010,09/20/2010 04:46:19 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,375***,165***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Accidentally/carelessly set off,no,,,,,,36,498,6,1,96
008652-24072010,07/24/2010 07:08:27 AM +0000,LANSDOWN,"(51.4149387690996, -2.3680643156111314)",False Alarm,Building,Non Residential,Offices and call centres,Purpose built office,374***,168***,BANES,Person (land line),NonResidential,Building > Non Residential > Offices and call centres > Purpose built office,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,1,47,10,1,25
010151-14082010,08/14/2010 02:13:39 PM +0000,MIDSOMER NORTON REDFIELD,"(51.27970828664676, -2.467342380207161)",Fire,Building,Dwelling,House - single occupancy,,367***,153***,BANES,Person (mobile),Dwelling,Building > Dwelling > House - single occupancy,yes,Accidental,no,yes,Yes - occupied,no,Persons,Accidental;  Combustible articles too close to heat source (or fire),Matches and candles -> Candles ,Not applicable,Furniture/Furnishings - Window coverings,Furniture/Furnishings - Window coverings,Water from bucket/container,None -> No firefighting,,no,,no,no,,,,,26,520,26,1,100
006091-23062010,06/23/2010 09:41:50 PM +0000,PEASEDOWN,"(51.31583826544677, -2.424664099497597)",False Alarm,Building,Dwelling,House - single occupancy,,370***,157***,BANES,Person (mobile),Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Malicious False Alarm > By phone,no,,,,,,15,382,22,1,71
002935-13052010,05/13/2010 09:29:14 PM +0000,CHEW VALLEY NORTH,"(51.36896020857963, -2.6119022676792967)",Fire,Building,Dwelling,House - single occupancy,,357***,163***,BANES,Person (land line),Dwelling,Building > Dwelling > House - single occupancy,no,Accidental,no,don't know,Yes - occupied,yes,,,,,,,,,,no,,no,,,,,,6,79,21,1,31
004525-03062010,06/03/2010 03:48:49 AM +0000,BATHWICK,"(51.38805123395204, -2.339106340447153)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,376***,165***,BANES,Person (land line),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Poor maintenance,no,,,,,,22,71,12,1,29
006009-22062010,06/22/2010 09:07:57 PM +0000,BATHAVON NORTH,"(51.39712243762106, -2.3104257253397282)",Special Service,Building,Dwelling,Self contained Sheltered Housing,,378***,166***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,"Flooding, Other",no,,no,,,,,,1,45,10,1,24
015226-26102010,10/26/2010 12:46:00 AM +0000,COMBE DOWN,"(51.352085207345674, -2.3388405667050005)",Special Service,Road Vehicle,Car,,,376***,161***,BANES,Police,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Wash down road",yes,,no,,,,,,10,58,10,1,113
005714-19062010,06/19/2010 06:54:30 PM +0000,NEWBRIDGE,"(51.38791845815606, -2.382218344259114)",Fire,Building,Non Residential,Private Garden Shed,,373***,165***,BANES,Person (mobile),NonResidential,Building > Non Residential > Private Garden Shed,yes,Deliberate ? others property,no,no,No - unoccupied permanently (vacant),no,Persons,Deliberate;  - others property: Heat source and combustibles brought together deliberately,Not known,Not applicable,Not known,Wood -> Garden shed,Water from bucket/container,,,no,,no,no,,,,,34,202,9,1,54
004982-08062010,06/08/2010 11:43:42 PM +0000,ABBEY,"(51.39700019568331, -2.3535463911730448)",False Alarm,Building,Other Residential,Residential Home,Nursing/Care,375***,166***,BANES,Person (land line),OtherResidential,Building > Other Residential > Residential Home > Nursing/Care,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,36,500,6,1,93
007930-14072010,07/14/2010 05:45:31 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",Special Service,Building,Non Residential,Retail,Single shop,375***,165***,BANES,Person (land line),NonResidential,Building > Non Residential > Retail > Single shop,,,,,,,,,,,,,,,"Animal assistance incidents, Rescue from height, Bird",no,,no,,,,,,36,498,6,1,96
002038-29042010,04/29/2010 11:42:03 AM +0000,NEWBRIDGE,"(51.396909887464425, -2.3822933247234346)",False Alarm,Building,Non Residential,Hospitals and medical care,Hospital,373***,166***,BANES,Person (land line),NonResidential,Building > Non Residential > Hospitals and medical care > Hospital,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Accidentally/carelessly set off,no,,,,,,20,546,5,1,107
013365-29092010,09/29/2010 08:09:50 PM +0000,KINGSMEAD,"(51.38796447889967, -2.367847713155505)",Special Service,Outdoor,Other outdoors (including land),River/canal,,374***,165***,BANES,Police,Outdoor,Outdoor > Other outdoors (including land) > River/canal,,,,,,,,,,,,,,,"Suicide/attempts, Threat of/attempted  suicide",no,,no,,,,,,34,200,9,1,115
005149-11062010,06/11/2010 06:45:02 PM +0000,ABBEY,"(51.37901726536445, -2.353407734154723)",False Alarm,Building,Other Residential,Student Hall of Residence,,375***,164***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Student Hall of Residence,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,33,564,12,1,111
002631-08052010,05/08/2010 07:36:58 PM +0000,KINGSMEAD,"(51.38800873750183, -2.35347704473258)",Fire,Outdoor,Outdoor structures,Refuse/rubbish tip,,375***,165***,BANES,Person (mobile),OutdoorStructure,Outdoor > Outdoor structures > Refuse/rubbish tip,no,Deliberate ? others property,no,,,,,,,,,,,,,no,,no,,,,,,36,498,6,1,96
007760-12072010,07/12/2010 01:44:59 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Entertainment and culture,Museum,375***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Entertainment and culture > Museum,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,36,498,6,1,96
003528-22052010,05/22/2010 03:35:55 PM +0000,PAULTON,"(51.297573172468, -2.4962094885343986)",False Alarm,Road Vehicle,Van,,,365***,155***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Van,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,13,373,23,1,67
008736-25072010,07/25/2010 09:47:03 AM +0000,WESTFIELD,"(51.27970828664676, -2.467342380207161)",False Alarm,Building,Non Residential,Warehouses and bulk storage,Warehouse,367***,153***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Warehouses and bulk storage > Warehouse,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Unsuitable equipment,no,,,,,,26,520,26,1,100
016108-08112010,11/08/2010 03:34:40 PM +0000,LAMBRIDGE,"(51.40603416354781, -2.339239433659037)",Fire,Building,Dwelling,Bungalow - single occupancy,,376***,167***,BANES,Other FRS,Dwelling,Building > Dwelling > Bungalow - single occupancy,yes,Accidental,no,yes,Yes - occupied,no,Automatic alarm system,Accidental;  Negligent use of equipment or appliance (heat source),Cooking appliance -> Cooker incl oven,Electric,Clothing/Textiles  -> Other textiles,Clothing/Textiles  -> Other textiles,Removal from heat source,None -> No firefighting,,no,,no,no,,,,,1,32,10,1,23
007784-12072010,07/12/2010 08:14:41 PM +0000,KEYNSHAM NORTH,"(51.42345193748686, -2.4975722393895747)",Fire,Outdoor,Outdoor structures,Small refuse/rubbish/recycle container (excluding wheelie bin),,365***,169***,BANES,Police,OutdoorStructure,Outdoor > Outdoor structures > Small refuse/rubbish/recycle container (excluding wheelie bin),no,Deliberate ? unknown owner,no,,,,,,,,,,,,,no,,no,,,,,,24,161,1,1,48
010655-21082010,08/21/2010 07:27:27 PM +0000,TWERTON,"(51.38787067528191, -2.396588936586609)",False Alarm,Building,Dwelling,Licensed HMO,Up to 2 storeys,372***,165***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Licensed HMO > Up to 2 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,29,315,8,1,16
006367-26062010,06/26/2010 03:17:13 AM +0000,OLDFIELD,"(51.37897302091154, -2.367775587009803)",False Alarm,Outdoor,Outdoor structures,Refuse/rubbish tip,,374***,164***,BANES,Police,OutdoorStructure,Outdoor > Outdoor structures > Refuse/rubbish tip,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,33,561,12,1,109
012349-15092010,09/15/2010 03:15:02 PM +0000,SOUTHDOWN,"(51.378879247282384, -2.39651117938257)",False Alarm,Building,Dwelling,Bungalow - single occupancy,,372***,164***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other cooking,no,,,,,,28,469,11,1,89
010160-14082010,08/14/2010 07:18:39 PM +0000,KEYNSHAM SOUTH,"(51.414460688271, -2.497474572472788)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,365***,168***,BANES,Person (land line),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other cooking,no,,,,,,37,182,2,1,52
010470-18082010,08/18/2010 11:25:17 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",Special Service,Outdoor,"Grassland, woodland and crops",Private/Domestic garden/allotment (vegetation not equipment/building),,375***,165***,BANES,Police,Outdoor,"Outdoor > Grassland, woodland and crops > Private/Domestic garden/allotment (vegetation not equipment/building)",,,,,,,,,,,,,,,"Assist other agencies, Other assistance to police/ambulance, Other",no,,no,,,,,,36,498,6,1,96
008908-27072010,07/27/2010 04:38:39 PM +0000,TWERTON,"(51.378879247282384, -2.39651117938257)",Special Service,Road Vehicle,Multiple Vehicles,,,372***,164***,BANES,Police,RoadVehicle,Road Vehicle > Multiple Vehicles,,,,,,,,,,,,,,,"RTC, Stand by - no action",yes,,yes,,0,0,1,0,28,469,11,1,89
012073-11092010,09/11/2010 01:12:34 PM +0000,BATHAVON NORTH,"(51.39712243762106, -2.3104257253397282)",False Alarm,Building,Dwelling,Self contained Sheltered Housing,,378***,166***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,1,45,10,1,24
013465-01102010,10/01/2010 02:52:47 AM +0000,WIDCOMBE,"(51.3790597482288, -2.3390398454616075)",False Alarm,Building,Other Residential,Student Hall of Residence,,376***,164***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Student Hall of Residence,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Steam,no,,,,,,22,77,12,1,29
003106-16052010,05/16/2010 07:29:02 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,375***,165***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,36,498,6,1,96
004460-02062010,06/02/2010 10:22:14 AM +0000,LYNCOMBE,"(51.37901726536445, -2.353407734154723)",Special Service,Road Vehicle,Car,,,375***,164***,BANES,Police,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"Spills and Leaks (not RTC), Vehicle leaking fuel",no,,no,,,,,,33,564,12,1,111
011728-06092010,09/06/2010 08:43:37 AM +0000,FARMBOROUGH,"(51.35158159181407, -2.482433289425764)",False Alarm,Outdoor,"Grassland, woodland and crops",Private/Domestic garden/allotment (vegetation not equipment/building),,366***,161***,BANES,Person (mobile),Outdoor,"Outdoor > Grassland, woodland and crops > Private/Domestic garden/allotment (vegetation not equipment/building)",,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,8,130,16,1,40
012245-14092010,09/14/2010 06:54:49 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",Special Service,Road Vehicle,Motorcycle,,,375***,165***,BANES,Police,RoadVehicle,Road Vehicle > Motorcycle,,,,,,,,,,,,,,,"RTC, Wash down road",yes,,no,,,,,,36,498,6,1,96
007764-12072010,07/12/2010 02:46:28 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Outdoor,Other outdoors (including land),River/canal,,375***,165***,BANES,Police,Outdoor,Outdoor > Other outdoors (including land) > River/canal,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,36,498,6,1,96
004806-05062010,06/05/2010 11:33:53 PM +0000,MIDSOMER NORTON REDFIELD,"(51.27970828664676, -2.467342380207161)",False Alarm,Outdoor,Outdoor structures,Refuse/rubbish tip,,367***,153***,BANES,Police,OutdoorStructure,Outdoor > Outdoor structures > Refuse/rubbish tip,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,,26,520,26,1,100
006896-02072010,07/02/2010 01:26:42 PM +0000,RADSTOCK,"(51.2888637004289, -2.4244150960018858)",False Alarm,Building,Non Residential,Education,Secondary school,370***,154***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Education > Secondary school,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Accidentally/carelessly set off,no,,,,,,12,416,24,1,78
008810-26072010,07/26/2010 12:05:18 PM +0000,SALTFORD,"(51.41469080641585, -2.4399593448352763)",Special Service,Outdoor,Other outdoors (including land),River/canal,,369***,168***,BANES,Person (mobile),Outdoor,Outdoor > Other outdoors (including land) > River/canal,,,,,,,,,,,,,,,"Animal assistance incidents, Rescue from water/mud etc, Livestock e.g. Horse, Cow, Sheep, Goat, Pig, Poultry, Fish, Exotic (Llama/Ostrich), Deer, etc.",no,,no,,,,,,17,426,16,1,80
003368-20052010,05/20/2010 09:36:38 AM +0000,PAULTON,"(51.31555602148986, -2.49640356399367)",Special Service,Road Vehicle,Car,,,365***,157***,BANES,Person (land line),RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"Spills and Leaks (not RTC), Vehicle leaking fuel",no,,no,,,,,,13,581,23,1,69
015102-24102010,10/24/2010 05:23:35 PM +0000,NEWBRIDGE,"(51.396909887464425, -2.3822933247234346)",False Alarm,Building,Other Residential,Residential Home,Nursing/Care,373***,166***,BANES,Person (land line),OtherResidential,Building > Other Residential > Residential Home > Nursing/Care,,,,,,,,,,,,,,,,,Malicious False Alarm > By phone,no,,,,,,20,546,5,1,107
011174-29082010,08/29/2010 11:18:18 PM +0000,PAULTON,"(51.306564603993664, -2.496306501203432)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,365***,156***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Smoking,no,,,,,,13,375,23,1,69
014851-20102010,10/20/2010 06:19:46 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Entertainment and culture,Bingo Hall,375***,165***,BANES,Person (mobile),NonResidential,Building > Non Residential > Entertainment and culture > Bingo Hall,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Steam,no,,,,,,36,498,6,1,96
012133-12092010,09/12/2010 05:23:19 AM +0000,COMBE DOWN,"(51.37010895680229, -2.3246082759429627)",False Alarm,Building,Non Residential,Hospitals and medical care,Hospital,377***,163***,BANES,Person (land line),NonResidential,Building > Non Residential > Hospitals and medical care > Hospital,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,22,70,12,1,29
014966-22102010,10/22/2010 12:37:02 AM +0000,WESTON,"(51.405901302806626, -2.382368343990453)",False Alarm,Outdoor,Outdoor structures,Small refuse/rubbish/recycle container (excluding wheelie bin),,373***,167***,BANES,Person (mobile),OutdoorStructure,Outdoor > Outdoor structures > Small refuse/rubbish/recycle container (excluding wheelie bin),,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,,21,233,7,1,1
005684-19062010,06/19/2010 03:47:43 AM +0000,KEYNSHAM EAST,"(51.414579274838495, -2.4687170538815075)",Special Service,Road Vehicle,Car,,,367***,168***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"RTC, Make vehicle safe",yes,,no,,,,,,16,152,3,1,45
006509-27062010,06/27/2010 06:25:21 PM +0000,BATHAVON NORTH,"(51.41510539033165, -2.310547610348872)",False Alarm,Building,Dwelling,House - single occupancy,,378***,168***,BANES,AFA from call centre,Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Poor maintenance,no,,,,,,1,34,10,1,25
013206-27092010,09/27/2010 11:11:20 PM +0000,NEWBRIDGE,"(51.396909887464425, -2.3822933247234346)",False Alarm,Building,Non Residential,Hospitals and medical care,Hospital,373***,166***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Hospitals and medical care > Hospital,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,20,546,5,1,107
013687-04102010,10/04/2010 05:26:50 PM +0000,KEYNSHAM SOUTH,"(51.414460688271, -2.497474572472788)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,365***,168***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Smoking,no,,,,,,37,182,2,1,52
