FEATURE_LOCATION,the_geom,FEATURE_TYPE_CODE,FEATURE_NO,EASTING,NORTHING,FEATURE_ID,ATTRIB_VALUE_CODE,ADOPTED_HW,URBANRURAL,MI_STYLE,MI_PRINX
"GBIN: CHANTRY MEAD ROAD, TOP OPP PLAYING FIELD",POINT (-2.374501858540226 51.36815991130119),GBIN,15.01,374025.72,163299.81,320,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",30
GBIN: CRANWELLS PARK R/H SPLIT TOP,POINT (-2.377244225774247 51.392128323598776),GBIN,15.01,373848.53,165966.4,238,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",31
GBIN: CRANWELLS PARK R/S SPLIT 1/2 WAY,POINT (-2.378502786603173 51.39193755917396),GBIN,15.02,373760.85,165945.64,237,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",32
"GBIN: DEANHILL LANE, 1/2 WAY UP",POINT (-2.403011736508823 51.39822150769108),GBIN,15.01,372059.4,166653.6,251,YE,CLASS 4 ROAD,Rural,"Symbol (34, 16711680, 10)",33
"GBIN: DEANHILL LANE, BOTTOM, UP FROM WESTBROOK JNT",POINT (-2.400680153296883 51.398789887438305),GBIN,15.02,372221.95,166715.92,252,GR,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",34
"GBIN: DEANHILL LANE, TOP BY FARM",POINT (-2.405672475633552 51.398092587419455),GBIN,15.03,371874.22,166640.28,250,YE,,Rural,"Symbol (34, 16711680, 10)",35
GBIN: CHARLCOMBE RISE TOP BY STEPS & LOCK-UPS,POINT (-2.362557796425877 51.39895302538341),GBIN,15.01,374874.14,166720.25,233,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",37
GBIN: JNT OF FRANKLEY BUILDINGS & CHILTON ROAD,POINT (-2.352878699788989 51.39423437311538),GBIN,15.01,375544.97,166192.18,213,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",38
GBIN: CHURCH LANE TOP BY COTSWOLD WAY / CAR-PARK,POINT (-2.386495566358491 51.39578162157507),GBIN,15.01,373206.98,166376.05,242,BL,,Urban,"Symbol (34, 16711680, 10)",39
GBIN: CLAREMONT BUILDINGS MIDDLE BY LOCK UPS,POINT (-2.354658258113563 51.39519316734016),GBIN,15.01,375421.67,166299.41,215,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",40
GBIN: CLAREMONT BUILDINGS BOTTOM BY LOCK-UPS,POINT (-2.35387731310776 51.395273285365086),GBIN,15.02,375476.05,166308.05,214,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",41
GBIN ENGLISHCOMBE WAY NEAR STREET LIGHT NO 2,POINT (-2.374142007425907 51.3668050503127),GBIN,15.01,374050,163149,389,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",43
GBIN: ENTRY HILL GARDENS BY JNT ENTRY HILL,POINT (-2.36537990869609 51.367456746513994),GBIN,15.01,374660.35,163218.4,328,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",44
"GBIN: ENTRY HILL PARK, START, OPP SUBSTATION",POINT (-2.364745243724435 51.36235163570038),GBIN,15.01,374701.7,162650.42,331,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",45
GBIN: FERNDALE ROAD TOP BY LOCK-UP GARAGES,POINT (-2.342107649003133 51.40219857033774),GBIN,15.01,376298.5,167074.35,203,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",46
"GBIN: IVY BANK PARK, NEAR MAIN JNT",POINT (-2.364630489662772 51.36361820370808),GBIN,15.02,374710.39,162791.24,329,BL,CLASS 4 ROAD,Urban,,88
GBIN: FRANKLEY BUILDINGS TOP NR JNT,POINT (-2.353487149704308 51.39473125293402),GBIN,15.01,375502.9,166247.64,212,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",48
GBIN: GAINSBOROUGH GARDENS TOP NR JNT WESTON LA,POINT (-2.385951829754213 51.39127645965853),GBIN,15.01,373242.17,165874.82,240,BL,CLASS 4 ROAD,Urban,"Symbol (34, 16711680, 10)",49
GBIN: O/S ST PETERS CHURCH,POINT (-2.408890864918865 51.36404632252249),GBIN,15.01,371629.19,162855.11,121,YE,CLASS 4 ROAD,Rural,,50
"GBIN: PADLEIGH HILL, BY JNT WITH PRIVATE RD & PROW SIGN",POINT (-2.396033664355945 51.36487895253771),GBIN,15.01,372524.82,162942.8,312,BL,C ROAD,Urban,,51
GBIN: LANGDON ROAD DOWN FROM SLADEBROOK JNT,POINT (-2.391702413790747 51.37272899510106),GBIN,15.02,372831.02,163814.21,304,BL,CLASS 4 ROAD,Urban,,52
GBIN: OPP CANONS CLOSE & MARSDEN RD JNT O/S NO.18,POINT (-2.391195100069248 51.36574334363705),GBIN,15.03,372862.19,163037.12,318,BL,CLASS 4 ROAD,Urban,,53
"GBIN: MARSDEN ROAD, BOTTOM LHS SPLIT, OPP NO.63",POINT (-2.389271956072999 51.36664650982695),GBIN,15.02,372996.61,163136.85,316,BL,CLASS 4 ROAD,Urban,,54
"GBIN: MARSDEN RD, O/S NO.42 DOWN FRM GEORGIAN VW JNT",POINT (-2.388758170499122 51.36595982823475),GBIN,15.01,373031.97,163060.29,317,BL,CLASS 4 ROAD,Urban,,55
GBIN: LOXLEY GARDENS OS NO 15 BY GARAGES,POINT (-2.388226055200561 51.372720706203985),GBIN,15.01,373073,163812,417,BL,CLASS 4 ROAD,Urban,,56
"GBIN: IVY GROVE, 1/2 WAY UP",POINT (-2.386899725158204 51.37260374272458),GBIN,15.01,373165.25,163798.5,310,BL,CLASS 4 ROAD,Urban,,57
"GBIN: KINGSFIELD, 1ST CNR BY SUBSTATION & LOCK-UPS",POINT (-2.386313589874273 51.365959559132925),GBIN,15.02,373202.16,163059.36,313,BL,CLASS 4 ROAD,Urban,,58
"GBIN: KINGSFIELD, O/S NO.18 OPP LOCK UPS",POINT (-2.385759947184289 51.36539992257195),GBIN,15.01,373240.37,162996.92,314,BL,CLASS 4 ROAD,Urban,,59
GBIN: TEDDINGTON CLOSE OPP 1ST CORNER,POINT (-2.387173835036716 51.37318101769804),GBIN,15.01,373146.51,163862.8,307,BL,CLASS 4 ROAD,Urban,,60
GBIN: OPP JNT OF LANGDON ROAD & ELLISTON DRIVE,POINT (-2.393259899885805 51.37379042537001),GBIN,15.01,372723.24,163932.83,305,BL,CLASS 4 ROAD,Urban,,61
GBIN: WINDRUSH CLOSE O/S NO.21 SIDE OF HOUSE,POINT (-2.40448666682992 51.373803062834675),GBIN,15.01,371941.8,163938.49,303,BL,CLASS 6 ROAD,Urban,,62
"GBIN: PARRY CLOSE, 1/2 ROUND, SIDE OF NO.27",POINT (-2.390282221669358 51.37390205464048),GBIN,15.01,372930.57,163944.14,308,BL,CLASS 6 ROAD,Urban,,63
"GBIN: PARRY ROAD, JUST DOWN FROM SOUTHDOWN JNT",POINT (-2.38877020337177 51.373976929861826),GBIN,15.01,373035.86,163951.91,309,BL,CLASS 4 ROAD,Urban,,64
GBIN: JNT SHERIDAN ROAD & GARRICK ROAD,POINT (-2.406410067489856 51.3752016746991),GBIN,15.01,371808.78,164094.78,301,BL,CLASS 4 ROAD,Urban,,65
GBIN: COTSWOLD VIEW OPP NO 1,POINT (-2.392916761464092 51.375258693298775),GBIN,15.01,372748,164096,424,YE,CLASS 4 ROAD,Urban,,66
GBIN: INNOX ROAD JUNCTION HIGHFIELD CLOSE,POINT (-2.391050866349644 51.377153195405185),GBIN,15.01,372879,164306,423,BL,CLASS 4 ROAD,Urban,,67
GBIN: ELEANOR CLOSE BY SUBSTATION & PASSAGEWAY,POINT (-2.403236971727035 51.37746684830784),GBIN,15.01,372031.03,164345.48,302,BL,CLASS 6 ROAD,Urban,,68
GBIN: THE BROW BY STREETLIGHT NO 3,POINT (-2.392362217698126 51.37760743418472),GBIN,15.01,372788,164357,425,BL,,Urban,,69
"GBIN: TANNERS WALK, OPP ON GREEN BY STEPS",POINT (-2.408989337209427 51.37769769628155),GBIN,15.01,371630.81,164373.37,298,GR,CLASS 4 ROAD,Urban,,70
GBIN: LINLEY CLOSE O/S RHS FLATS,POINT (-2.401796170411651 51.3780554647574),GBIN,15.01,372131.67,164410.39,300,BL,CLASS 6 ROAD,Urban,,71
GBIN: OPP JNT TANNERS WALK & LONG VALLEY ROAD,POINT (-2.408063332722628 51.37815316975487),GBIN,15.01,371695.54,164423.66,299,GR,CLASS 4 ROAD,Urban,,72
GBIN: JNT NEWTON ROAD AND BOYCE CLOSE,POINT (-2.410035128504492 51.37824048842855),GBIN,15.01,371558.36,164434.14,297,GR,CLASS 4 ROAD,Urban,,73
GBIN: TRIANGULAR VERGE JNT OPP CLAYSEND FARM,POINT (-2.419912947606282 51.37738405925451),GBIN,15.01,370870.32,164342.79,119,YE,C ROAD,Rural,,74
GBIN: KEEPERS HILL OUTSIDE PHEASANTRY,POINT (-2.426180968684997 51.3788289823734),GBIN,15.01,370435,164506,404,YE,,Rural,,75
GBIN: CLAYS END LANE 100M FROM PENNYQUICK JUNCTION,POINT (-2.42084632484907 51.379954297054915),GBIN,15.01,370807,164629,403,YE,CLASS 4 ROAD,Rural,,76
GBIN: PERA PLACE TOP JNT WITH GAYS HILL,POINT (-2.359023332682752 51.39129630847371),GBIN,15.01,375115.85,165867.5,194,BL,CLASS 4 ROAD,Urban,,77
"GBIN: GREENACRES, TOP ROAD,  OPP NO.67",POINT (-2.39473109048259 51.403737008382684),GBIN,15.01,372638.78,167263.86,258,BL,CLASS 4 ROAD,Urban,,78
"GBIN: GREENBANK GARDENS, END BY LOCK-UPS",POINT (-2.390224594013037 51.39481973792008),GBIN,15.01,372946.97,166270.45,244,BL,CLASS 4 ROAD,Urban,,79
"GBIN: HADLEY ROAD, 1/2 WAY DOWN FROM MAIN JNT",POINT (-2.346480945023984 51.36251848571702),GBIN,15.01,375973.41,162662.81,335,BL,CLASS 4 ROAD,Urban,,80
"GBIN: HARCOURT GARDENS, BOTTOM O/S DALE LODGE",POINT (-2.392277328546279 51.3969457237796),GBIN,15.01,372805.42,166507.66,248,BL,CLASS 4 ROAD,Urban,,81
"GBIN: HAYDEN CLOSE, TOP JNT WITH UPP. OLDFIELD PK",POINT (-2.36955709397721 51.37559138451941),GBIN,15.01,374374.11,164124.54,324,BL,CLASS 4 ROAD,Urban,,82
"GBIN: HENSLEY GARDENS, BOTTOM O/S NO.6",POINT (-2.368523277763559 51.37070707430656),GBIN,15.01,374443.34,163580.97,322,BL,CLASS 4 ROAD,Urban,,83
"GBIN: HILLSIDE ROAD, O/S FLATS BY TREES",POINT (-2.375388852616576 51.37180827738163),GBIN,15.01,373966.05,163705.87,321,YE,CLASS 4 ROAD,Urban,,84
"GBIN: HOLLOWAY, 1/2 WAY, SIDE JNT TO NO'S 50/52",POINT (-2.363400685377781 51.37657410649738),GBIN,15.01,374803.16,164231.69,352,NA,CLASS 4 ROAD,Urban,,85
GBIN: HOLLOWAY O/S NO.47 BY SUBSTATION,POINT (-2.362777069057412 51.37605979495506),GBIN,15.02,374846.28,164174.27,351,BL,CLASS 4 ROAD,Urban,,86
"GBIN: IVY BANK PARK, RHS SPLIT, TOP",POINT (-2.363720290997093 51.36312914894488),GBIN,15.01,374773.49,162736.54,330,BL,CLASS 4 ROAD,Urban,,87
GBIN: JNT KENSINGTON GARDENS & UPP. STREET HAYES,POINT (-2.351727255031857 51.39342612200355),GBIN,15.01,375624.65,166101.9,199,BL,CLASS 4 ROAD,Urban,,89
GBIN: JNT SOMERSET PLACE & LANSDOWN CRESCENT EAST,POINT (-2.368374657508792 51.39272889424951),GBIN,15.01,374465.99,166030.05,235,BL,CLASS 4 ROAD,Urban,,90
GBIN: JNT LEIGH CLOSE & FAIRFIELD PK. RD.,POINT (-2.359369229585068 51.39794654669372),GBIN,15.01,375095.41,166607.22,221,BL,CLASS 4 ROAD,Urban,,91
"GBIN: LEIGHTON ROAD, SMALL CLOSE OFF OF, OPP NO.24",POINT (-2.397849336837692 51.40371648028644),GBIN,15.01,372421.86,167262.75,257,BL,CLASS 4 ROAD,Urban,,92
GBIN: LONGFELLOW AVENUE JUNCTION CHAUCER ROAD,POINT (-2.363176184799152 51.37151527405733),GBIN,15.01,374816,163669,388,BL,CLASS 4 ROAD,Urban,,93
GBIN: KIMBER CLOSE TOP RHS,POINT (-2.400792278347847 51.403913286011075),GBIN,15.01,372217.27,167285.75,255,BL,CLASS 4 ROAD,Urban,,94
"GBIN: KIPLING AVENUE, TOP O/S SCH.",POINT (-2.361200232868239 51.37313826039469),GBIN,15.01,374954.43,163848.82,326,BL,CLASS 4 ROAD,Urban,,95
GBIN: LYNCOMBE HILL OPP NO. 71  BY DEAD END SIGN,POINT (-2.353933843237538 51.37364766055184),GBIN,15.01,375460.5,163903,342,BL,CLASS 4 ROAD,Urban,,96
GBIN: LYNCOMBE VALE ROAD BY SUBSTATION / SCH. SIGN,POINT (-2.355145610730106 51.3707555155966),GBIN,15.01,375374.59,163581.76,340,BL,CLASS 4 ROAD,Urban,,97
GBIN: JNT MIDSUMMER BUILDINGS & FAIRFIELD RD,POINT (-2.354039201572757 51.39680813248901),GBIN,15.01,375465.61,166478.81,218,BL,CLASS 4 ROAD,Urban,,98
GBIN: JNT MINSTER WAY & ST CHRISTOPHERS CL,POINT (-2.342456937730445 51.388494404402465),GBIN,15.01,376267.08,165550.37,182,BL,CLASS 4 ROAD,Urban,,99
GBIN: MINSTER WAY SPLIT JNT BY POST BOX,POINT (-2.34165413592951 51.38895222696836),GBIN,15.02,376323.18,165601.03,181,BL,CLASS 4 ROAD,Urban,,100
"GBIN: MILTON AVENUE, TOP BY SIDE OF NO.28",POINT (-2.363240425222032 51.37229838742002),GBIN,15.01,374811.96,163756.11,327,BL,CLASS 4 ROAD,Urban,,101
GBIN: MORFORD STREET TOP JNT LANSDOWN ROAD,POINT (-2.362357529535826 51.38889853436391),GBIN,15.01,374882.54,165601.98,189,BL,CLASS 4 ROAD,Urban,,102
GBIN: MOUNTAIN ASH BY TOP OF LOCK-UPS,POINT (-2.378178847904163 51.39490132262971),GBIN,15.01,373785.09,166275.13,239,BL,CLASS 4 ROAD,Urban,,103
GBIN: BEACON ROAD JNT MT. BEACON / PLAYING FIELD,POINT (-2.359593976898913 51.39417574249691),GBIN,15.01,375077.72,166187.93,368,BL,CLASS 4 ROAD,Urban,,104
GBIN: NAPIER ROAD OS NO 14,POINT (-2.401877422716127 51.40589894256372),GBIN,15.01,372143,167507,430,BL,CLASS 4 ROAD,Urban,,105
"GBIN: MAGDALEN AVENUE, BOTTOM, BY STEPS",POINT (-2.364411257269182 51.3766766779584),GBIN,15.01,374732.88,164243.45,350,BL,CLASS 4 ROAD,Urban,,106
GBIN: MAGDALEN ROAD JNT WITH PARK AVE.,POINT (-2.364568701333422 51.37620102291384),GBIN,15.01,374721.66,164190.6,348,BL,CLASS 4 ROAD,Urban,,107
GBIN: MAGDALEN ROAD JNT WITH MAGDALEN AVE,POINT (-2.365007766333704 51.37649063297129),GBIN,15.02,374691.26,164222.96,349,BL,CLASS 4 ROAD,Urban,,108
GBIN: JNT MALVERN BUILDINGS & FAIRFIELD PK RD.,POINT (-2.354967433063125 51.39759366569173),GBIN,15.01,375401.45,166566.48,220,BL,CLASS 4 ROAD,Urban,,109
GBIN: NORTHAMPTON BUILDINGS TOP O/S SURGERY,POINT (-2.366752407482869 51.38937242211409),GBIN,15.01,374577,165656.2,193,BL,CLASS 4 ROAD,Urban,,110
GBIN: NORTHAMPTON BUILDINGS UP FROM SCH.,POINT (-2.366966305761385 51.38913776571568),GBIN,15.02,374561.98,165630.18,192,BL,CLASS 4 ROAD,Urban,,111
"GBIN: PRIORY CLOSE, BOTTOM NR JNT RALPH ALLEN DR.",POINT (-2.34646353230261 51.36510570078798),GBIN,15.01,375975.99,162950.54,337,BL,CLASS 4 ROAD,Urban,,112
"GBIN: PRIORY CLOSE, TOP T-JNT",POINT (-2.347772447745704 51.36499871479266),GBIN,15.02,375884.8,162939.07,336,BL,CLASS 4 ROAD,Urban,,113
"GBIN: PROSPECT PLACE, TOP",POINT (-2.339147561906377 51.37146238977823),GBIN,15.01,376488.59,163655.1,362,BL,CLASS 4 ROAD,Rural,,114
GBIN: PURLEWENT DRIVE TOP DEAD END OPP NO.50,POINT (-2.383386548695431 51.39495711264323),GBIN,15.01,373422.8,166283.22,243,BL,CLASS 4 ROAD,Urban,,115
GBIN: MAPLE GARDENS JNT WITH BLOOMFIELD AVE,POINT (-2.371457256099686 51.373321550682),GBIN,15.01,374240.57,163872.77,323,BL,CLASS 4 ROAD,Urban,,116
GBIN: JNT ALPINE GARDENS AND MARGARETS HILL,POINT (-2.358418068131205 51.39061759788368),GBIN,15.01,375157.6,165791.81,196,BL,CLASS 4 ROAD,Urban,,117
GBIN: PARK STREET OS 24,POINT (-2.367886373684512 51.390994544300696),GBIN,15.01,374499,165837,399,BL,CLASS 4 ROAD,Urban,,118
GBIN: JNT BOTTOM CLARENCE STREET & PERA ROAD,POINT (-2.35703590793799 51.39067656353915),GBIN,15.01,375253.8,165797.9,195,BL,CLASS 4 ROAD,Urban,,119
"GBIN: PERRYMEAD, BOTTOM JNT PRIOR PARK ROAD",POINT (-2.349232834003526 51.3722202802164),GBIN,15.01,375786.96,163742.69,338,BL,CLASS 4 ROAD,Urban,,120
GBIN: JNT PICKWICK ROAD AND FAIRFIELD AVENUE,POINT (-2.356057737295221 51.39983196418437),GBIN,15.01,375326.81,166815.78,224,BL,CLASS 4 ROAD,Urban,,121
GBIN: QUEENWOOD AVENUE MIDDLE O/S NO.9,POINT (-2.354046298040047 51.39579378226831),GBIN,15.01,375464.57,166366,217,BL,CLASS 4 ROAD,Urban,,122
GBIN: RAGLAND LANE X-ROADS JNT RAGLAND ST.,POINT (-2.357623979730756 51.39724939182447),GBIN,15.01,375216.45,166529.09,366,BL,CLASS 4 ROAD,Urban,,123
GBIN: RICHMOND HEIGHTS BOTTOM BY LOCK-UPS,POINT (-2.361678491273676 51.397659248084814),GBIN,15.01,374934.6,166576.06,231,BL,CLASS 4 ROAD,Urban,,124
GBIN: RICHMOND HEIGHTS TOP OPP NO.35 NR LANSD. HTS JNT,POINT (-2.362581735673416 51.396930586251756),GBIN,15.02,374871.36,166495.33,229,BL,CLASS 4 ROAD,Urban,,125
GBIN: RICHMOND HEIGHTS JNT SOLSBURY WAY OPP SUBSTATION,POINT (-2.361093546464453 51.398025920137016),GBIN,15.03,374975.5,166616.64,232,BL,CLASS 4 ROAD,Urban,,126
"GBIN: ROCK HALL LANE, BOTTOM, JNT THE PADDOCKS",POINT (-2.349443935889185 51.357933486609795),GBIN,15.01,375764.69,162153.87,334,BL,CLASS 4 ROAD,Urban,,127
GBIN: ROSEMOUNT LANE JNT LYNCOMBE VALE,POINT (-2.350769961196878 51.37237677056592),GBIN,15.01,375680.05,163760.6,374,BL,CLASS 4 ROAD,Urban,,128
"GBIN: ROSEMOUNT LANE, TOP X-ROADS JNT",POINT (-2.353742782833827 51.37246553882296),GBIN,15.02,375473.16,163771.47,341,BL,CLASS 4 ROAD,Urban,,129
GBIN: RUSSELL STREET OS NO 9,POINT (-2.362928042809362 51.387368440354784),GBIN,15.01,374842,165432,391,BL,CLASS 4 ROAD,Urban,,130
GBIN: ST CATHERINES CLOSE JNT ST ANNS WAY,POINT (-2.345538645918091 51.38305368611622),GBIN,15.01,376049.79,164946.29,365,BL,CLASS 4 ROAD,Urban,,131
GBIN: ST JAMES PARK BOTTOM NR JNT,POINT (-2.366837666833333 51.39003177535167),GBIN,15.01,374571.43,165729.56,191,BL,CLASS 4 ROAD,Urban,,132
"GBIN: ST KILDAS ROAD, BOTTOM JUNCTION BY RAILINGS",POINT (-2.378516299048098 51.37643749853685),GBIN,15.01,373751.01,164221.82,311,BL,CLASS 4 ROAD,Urban,,133
GBIN: ST MARKS RD JNT WITH LYNCOMBE HILL,POINT (-2.356523327754108 51.376404139439416),GBIN,15.01,375281.74,164210.43,346,BL,CLASS 4 ROAD,Urban,,134
GBIN: ST MICHAELS ROAD O/S CREMATORIUM,POINT (-2.381476948332205 51.38600480741721),GBIN,15.01,373550.48,165286.91,188,BL,CLASS 4 ROAD,Urban,,135
GBIN: SHAM CASTLE LANE O/S VELLORE COT./CLARENDON,POINT (-2.343933594342044 51.38413791314205),GBIN,15.01,376162.05,165066.35,364,BL,CLASS 4 ROAD,Urban,,136
GBIN: RICHMOND PLACE JNT SUMMERFIELD PLACE,POINT (-2.35739234604537 51.3947192206603),GBIN,15.01,375231.19,166247.62,367,BL,CLASS 4 ROAD,Urban,,137
GBIN: SWAINSWICK GARDENS RHS BEFORE GARAGES,POINT (-2.342090358545941 51.40118447307768),GBIN,15.01,376299.18,166961.57,204,BL,CLASS 4 ROAD,Urban,,138
GBIN: THOMAS STREET TOP BY PASSAGEWAY,POINT (-2.357029023937999 51.391420612119106),GBIN,15.01,375254.68,165880.65,197,BL,CLASS 4 ROAD,Urban,,139
GBIN: THORNBANK PLACE SIDE OF NO 20,POINT (-2.368194077122108 51.37741615530589),GBIN,15.01,374470,164327,429,BL,CLASS 4 ROAD,Urban,,140
GBIN: JNT TROSSACHS DRIVE AND A36 WARM. RD,POINT (-2.338993596667712 51.39029403076749),GBIN,15.01,376509,165749.39,180,BL,CLASS 4 ROAD,Urban,,141
GBIN: JNT ULLSWATER DRIVE AND FAIRFIELD AVENUE,POINT (-2.357999035650388 51.39947439318064),GBIN,15.01,375191.57,166776.67,225,BL,CLASS 4 ROAD,Urban,,142
GBIN: VAN DIEMENS LANE BOTTOM O/S NO.14 OPP NO.18,POINT (-2.365435963970081 51.40007652521709),GBIN,15.01,374674.54,166846.19,228,BL,CLASS 4 ROAD,Urban,,143
GBIN: VAN DIEMENS LANE O/S NO.7 OPP NO.26,POINT (-2.367433495594616 51.399866582773335),GBIN,15.02,374535.46,166823.54,226,BL,CLASS 4 ROAD,Urban,,144
GBIN: THE WEAL CNR JNT WITH BLIND LANE,POINT (-2.388462061331053 51.398319119452005),GBIN,15.01,373071.66,166658.98,241,BL,CLASS 4 ROAD,Urban,,145
"GBIN: WESTFIELD CLOSE, BOTTOM NR MAIN JNT",POINT (-2.373035633849502 51.36730630890576),GBIN,15.01,374127.3,163204.35,319,BL,CLASS 4 ROAD,Urban,,146
GBIN: JNT WILTSHIRE WAY AND FAIRFIELD AVENUE,POINT (-2.356924316298833 51.399659073151774),GBIN,15.01,375266.43,166796.84,223,BL,CLASS 4 ROAD,Urban,,147
GBIN: CNR JNT SION ROAD & WINIFREDS LANE,POINT (-2.369789243437579 51.39448000666739),GBIN,15.01,374368.55,166225.3,234,BL,CLASS 4 ROAD,Urban,,148
GBIN: WORCESTER BUILDINGS O/S SCH. & OPP CHURCH,POINT (-2.348060876820803 51.3983591413365),GBIN,15.01,375882.35,166649.31,201,BL,CLASS 4 ROAD,Urban,,149
"GBIN: PENN HILL ROAD, BOTTOM, LAYBY UP FROM SCH.",POINT (-2.401589499024711 51.39282007795746),GBIN,15.01,372155.05,166052.34,246,BL,CLASS 4 ROAD,Urban,,150
"GBIN: SOUTHLANDS, PASSAGE BEHIND CHURCH TO HIGH ST.",POINT (-2.395786979730693 51.397645942614965),GBIN,15.01,372561.67,166586.84,253,BL,CLASS 6 ROAD,Urban,,151
"GBIN: ARMES COURT, O/S NO.21/22 OPP BARLETTS CT.",POINT (-2.354478897002313 51.37601473522833),GBIN,15.01,375423.83,164166.44,354,BL,CLASS 6 ROAD,Urban,,152
GBIN: CLAREMONT BUILDINGS TOP BY CLAREMONT WALK JNT,POINT (-2.355728814879079 51.39526318149027),GBIN,15.01,375347.23,166307.55,216,BL,CLASS 6 ROAD,Urban,,153
"GBIN: O/S TUNNEL FARM, BROWNEY LANE (?) NR X-RDS",POINT (-2.391725147494943 51.33827814355811),GBIN,15.01,372808.97,159982.82,123,GR,C ROAD,Rural,,154
"GBIN: SUMMER LANE, 1/2 WAY, DOWN FROM BOYERS",POINT (-2.338457292430492 51.35555802131792),GBIN,15.01,376528.47,161886.1,161,YE,C ROAD,Rural,,155
GBIN: NEW ROAD JUNCTION DARK LANE,POINT (-2.306024485723145 51.34072008923176),GBIN,15.01,378780,160226,397,NA,C ROAD,Urban,,156
GBIN: NORTH STOKE LANE 1ST BEND UP FROM MAIN JNT,POINT (-2.435876956012218 51.41267531576666),GBIN,15.01,369782.57,168274.15,378,YE,C ROAD,Rural,,157
GBIN: NORTH STOKE BY PHONEBOX OPP SANDYGATES,POINT (-2.431104301143039 51.41926048641168),GBIN,15.02,370118.8,169004.55,377,GR,C ROAD,Rural,,158
GINB: NORTH STOKE LANE 1/2 WAY UP BEFORE RH BEND TO PROPERTIES,POINT (-2.432924545386469 51.41761120045898),GBIN,15.03,369991.14,168821.87,,YE,,Rural,,159
GBIN: JNT DOWN LANE AND HOLCOMBE LANE,POINT (-2.324168104070415 51.39352623806555),GBIN,15.01,377542.16,166104.19,176,GR,C ROAD,Urban,,160
GBIN: JNT DOWN LA. & A36 WARM. RD,POINT (-2.324439220588165 51.3921170769292),GBIN,15.02,377522.6,165947.56,172,GR,C ROAD,Urban,,161
"GBIN: ASHTON HILL, BETWEEN TREETOPS & GREYSTONES",POINT (-2.443763386758922 51.38598896260336),GBIN,15.01,369216.12,165309.55,371,YE,C ROAD,Rural,,162
GBIN: SHAFT ROAD OPP THE UPLANDS NR TOP,POINT (-2.332592121085066 51.35922864846224),GBIN,15.01,376938.74,162292.45,158,YE,C ROAD,Rural,,163
GBIN: JNT THE CROFT AND SHAFT ROAD,POINT (-2.325170363070835 51.35826770402828),GBIN,15.02,377455.03,162183.26,156,YE,C ROAD,Rural,,164
"GBIN: SHAFT ROAD, BEND UP FROM CROFT JNT",POINT (-2.324221820548951 51.35951712859017),GBIN,15.03,377521.69,162321.93,157,YE,C ROAD,Rural,,165
GBIN: TRIANGULAR VERGE OPP CLANDOWN RECN GROUND,POINT (-2.461051055450188 51.3035215678461),GBIN,15.01,367955.45,156145.54,056,YE,C ROAD,Rural,,166
GBIN: UPTON LANE - DISTRICT BOUNDARY,POINT (-2.615408702387269 51.38558872874497),GBIN,15.01,357271.43,165351.35,380,GR,C ROAD,Rural,,167
GBIN: JNT LANGFORDS LANE WITH A39 WELLS ROAD,POINT (-2.517046821618111 51.31644186768207),GBIN,15.01,364061.98,157608.45,083,YE,CLASS 4 ROAD,Rural,,168
GBIN: PROSPECT GARDENS O/S NO.26 OPP NO.10,POINT (-2.320819970160153 51.412445139442504),GBIN,15.01,377784.33,168207.22,270,YE,CLASS 4 ROAD,Urban,,279
GBIN: SEVEN ACRES LANE JNR PROSPECT GARDENS,POINT (-2.322166752030351 51.41268387738315),GBIN,15.02,377690.78,168234.18,269,YE,CLASS 4 ROAD,Urban,,280
GBIN: THE BATCH OPP NO.1,POINT (-2.321159832024282 51.40576245820844),GBIN,15.01,377757.43,167464.11,275,YE,CLASS 4 ROAD,Urban,,281
GBIN: EAGLE ROAD JNT SEVEN ACRES LANE.,POINT (-2.321550066404507 51.41351562155832),GBIN,15.01,377734.07,168326.5,268,YE,CLASS 4 ROAD,Urban,,282
"GBIN: COALPIT ROAD, TOP-T JUNCTION BY POSTBOX",POINT (-2.315979308393871 51.40860963370362),GBIN,15.01,378119.14,167779.19,372,YE,CLASS 4 ROAD,Urban,,283
GBIN: BANNERDOWN ROAD JNT EDEN PARK DRIVE,POINT (-2.310828215816033 51.40661220556238),GBIN,15.01,378476.47,167555.52,279,GR,CLASS 4 ROAD,Urban,,284
