Provider,Age Group,LSOA,No. spells
RUH,0-18,E01014378,27
RUH,0-18,E01014423,27
RUH,0-18,E01014445,27
RUH,19 -45,E01014404,27
RUH,19 -45,E01014409,27
RUH,19 -45,E01014444,27
RUH,46 - 65,E01014429,27
RUH,66 - 85,E01014429,27
RUH,85+,E01014371,27
RUH,85+,E01014393,27
RUH,0-18,E01014451,28
RUH,0-18,E01014470,28
RUH,19 -45,E01014373,28
RUH,46 - 65,E01014401,28
RUH,46 - 65,E01014426,28
RUH,66 - 85,E01014397,28
RUH,66 - 85,E01014404,28
RUH,66 - 85,E01014410,28
RUH,66 - 85,E01014467,28
RUH,85+,E01014430,28
RUH,0-18,E01014429,29
RUH,0-18,E01014478,29
RUH,19 -45,E01014437,29
RUH,46 - 65,E01014390,29
RUH,46 - 65,E01014411,29
RUH,46 - 65,E01014462,29
RUH,66 - 85,E01014438,29
RUH,66 - 85,E01014456,29
RUH,66 - 85,E01014481,29
RUH,85+,E01014436,29
RUH,0-18,E01014464,30
RUH,19 -45,E01014372,30
RUH,19 -45,E01014402,30
RUH,19 -45,E01014414,30
RUH,19 -45,E01014475,30
RUH,46 - 65,E01014379,30
RUH,46 - 65,E01014437,30
RUH,46 - 65,E01014440,30
RUH,46 - 65,E01014449,30
RUH,46 - 65,E01014464,30
RUH,66 - 85,E01014398,30
RUH,66 - 85,E01014414,30
RUH,66 - 85,E01014421,30
RUH,85+,E01014400,30
RUH,0-18,E01014449,31
RUH,19 -45,E01014440,31
RUH,19 -45,E01014473,31
RUH,46 - 65,E01014469,31
RUH,66 - 85,E01014395,31
RUH,66 - 85,E01014431,31
RUH,85+,E01014411,31
RUH,19 -45,E01014448,32
RUH,46 - 65,E01014370,32
RUH,46 - 65,E01014445,32
RUH,46 - 65,E01014453,32
RUH,46 - 65,E01014459,32
RUH,66 - 85,E01014388,32
RUH,66 - 85,E01014483,32
RUH,0-18,E01014466,33
RUH,19 -45,E01014471,33
RUH,46 - 65,E01014416,33
RUH,46 - 65,E01014463,33
RUH,66 - 85,E01014375,33
RUH,66 - 85,E01014405,33
RUH,66 - 85,E01014473,33
RUH,85+,E01014409,33
RUH,85+,E01014472,33
Other,85+,,34
RUH,0-18,E01014380,34
RUH,0-18,E01014404,34
RUH,19 -45,E01014470,34
RUH,66 - 85,E01014465,34
RUH,19 -45,E01014411,35
RUH,19 -45,E01014438,35
RUH,46 - 65,E01014452,35
RUH,66 - 85,E01014427,35
RUH,66 - 85,E01014445,35
RUH,66 - 85,E01014459,35
RUH,85+,E01014374,35
RUH,85+,E01014416,35
RUH,66 - 85,E01014393,36
RUH,66 - 85,E01014458,36
RUH,66 - 85,E01014480,36
RUH,19 -45,E01014450,37
RUH,19 -45,E01014474,37
RUH,46 - 65,E01014407,37
RUH,46 - 65,E01014474,37
RUH,66 - 85,E01014437,37
RUH,66 - 85,E01014440,37
RUH,0-18,E01014463,38
RUH,19 -45,E01014379,38
RUH,19 -45,E01014458,38
RUH,46 - 65,E01014448,38
RUH,46 - 65,E01014458,38
RUH,66 - 85,E01014376,38
RUH,66 - 85,E01014391,38
RUH,66 - 85,E01014392,38
RUH,66 - 85,E01014423,38
RUH,66 - 85,E01014428,38
RUH,66 - 85,E01014432,38
RUH,66 - 85,E01014443,38
RUH,66 - 85,E01014373,39
RUH,66 - 85,E01014417,39
RUH,85+,E01014426,39
RUH,0-18,E01014379,40
RUH,0-18,E01014390,40
RUH,19 -45,E01014480,40
RUH,66 - 85,E01014452,40
RUH,66 - 85,E01014469,40
RUH,85+,E01014381,40
Other,66 - 85,E01014382,41
RUH,66 - 85,E01014399,41
RUH,66 - 85,E01014434,41
RUH,66 - 85,E01014389,42
RUH,66 - 85,E01014413,42
RUH,19 -45,E01014463,43
RUH,66 - 85,E01014424,43
RUH,66 - 85,E01014457,43
RUH,66 - 85,E01014371,44
RUH,66 - 85,E01014402,44
RUH,19 -45,E01014445,45
RUH,66 - 85,E01014381,45
RUH,66 - 85,E01014460,45
RUH,66 - 85,E01014422,46
RUH,85+,E01014405,46
RUH,66 - 85,E01014401,47
RUH,19 -45,E01014466,48
RUH,66 - 85,E01014379,48
RUH,85+,E01014403,48
RUH,19 -45,E01014390,49
RUH,66 - 85,E01014396,49
RUH,0-18,E01014458,50
RUH,66 - 85,E01014411,50
RUH,66 - 85,E01014448,50
RUH,66 - 85,E01014455,50
RUH,66 - 85,E01014479,50
RUH,0-18,E01014462,52
RUH,66 - 85,E01014377,52
RUH,66 - 85,E01014441,53
RUH,66 - 85,E01014453,53
RUH,66 - 85,E01014374,54
RUH,66 - 85,E01014425,54
RUH,66 - 85,E01014378,55
RUH,66 - 85,E01014436,55
RUH,85+,E01014380,57
Other,0-18,,58
RUH,66 - 85,E01014394,58
RUH,66 - 85,E01014463,59
RUH,66 - 85,E01014380,60
RUH,66 - 85,E01014403,61
RUH,66 - 85,E01014400,62
RUH,19 -45,E01014462,63
RUH,66 - 85,E01014416,63
RUH,66 - 85,E01014409,64
RUH,85+,E01014479,64
RUH,66 - 85,E01014426,66
RUH,66 - 85,E01014430,66
RUH,66 - 85,E01014370,67
RUH,66 - 85,E01014477,69
RUH,0-18,,71
Other,46 - 65,,72
RUH,85+,E01014370,73
RUH,85+,,73
RUH,19 -45,E01014464,75
RUH,66 - 85,E01014439,75
RUH,19 -45,,99
Other,66 - 85,,109
RUH,46 - 65,,109
RUH,66 - 85,,138
Other,19 -45,,150
The data set shows the number of emergency inpatient spells admitted to providers of NHS healthcare in 2013.,,,
A spell starts when a patient is admitted to bed in hospital setting under the care of a consultant and ends on discharge or death. ,,,
The majority of these emergency spells for the BANES Registered population are admitted to the RUH but other NHS Trusts also provide care for local patients.,,,
Further information is available at the NHS Data Dictionary: ,,,
http://www.datadictionary.nhs.uk/data_dictionary/nhs_business_definitions/h/hospital_provider_spell_de.asp?shownav=1,,,
Fields of dataset,,,
Provider (1),"Health service provider, i.e. Royal United Hospital Bath and Other (North Bristol Hospital, University of Bristol Hospital, Sirona, etc.)",,
Age Group,"Ages of patients at the time of admission are grouped into 0 - 18, 19 - 45, 46 - 65, 66 -85, and 85+",,
Soa Lower,Lower Layer Super Output Area (LSOA) according to patients' address,,
Number of Spells,Number of Spells admitted to the health service providers,,
Data source and data criteria,,,
Source:,NHS Secondary User Services,,
Date: ,Spells discharged between 01/01/2013 - 31/12/2013,,
Inpatient,A data table based on SUS Admitted Patient Care Data submitted by health service providers,,
Clinical Commissioning Group,Banes CCG. Patient cohort relating to patients registered to one of the 27 GP Practices that comprise Bath & North East Somerset CCG,,
Admission method: Non elective,Admissions are not from waiting list. The admissions are unpredictable and at short notice due to clinical reasons,,
Emergency Admission (admission method code: 21 - 28,,,
Emergency Admission (admission method code: 21 ,A&E Department,,
Emergency Admission (admission method code: 22 ,Emergency-GP,,
Emergency Admission (admission method code: 23,Emergency-Bed Bureau,,
Emergency Admission (admission method code: 24,Out Patient Clinic,,
Emergency Admission (admission method code: 25,Admission via Mental Health Crisis Resolution Team,,
Emergency Admission (admission method code: 28,Emergency-Other Means,,
Redaction,For Information Governance and patient confidentiality any numbers lower than 5 have been suppressed,,
