Image,GPSLocationAltitude,GPSLocationAccuracy,VillageWard,AccessStreet,LocationDescription,AssetNo,BinType,Location,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA04HI0gsM.jpg,74.7,10,Radstock,Waterloo Road,Whitelands cycle path off Waterloo Road,LB0152,Leafield,"(51.293567, -2.439751)",12,407,24,1,77
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICggf_zlggM.jpg,81.9,5,Dunkerton,A367,North bound layby,LB0144,Leafield,"(51.335715, -2.410354)",9,65,22,1,28
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh_DXtgsM.jpg,181,30,Lansdown,Belvedere,Hedgemead park next to bridge,0,Knight,"(51.389071, -2.359079)",35,15,7,1,22
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu-f0swsM.jpg,59,30,Westmoreland,Pines way,Pines way by sainsburys bus stop,0,Jubilee,"(51.380404, -2.370997)",33,559,12,1,112
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA--j04wkM.jpg,179,10,West Harptree,A368.Bath Road,Outside shop,Unknown,,"(51.309102, -2.630692)",2,274,21,1,6
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA29Tb2woM.jpg,88,10,Saltford,Mead Lane,Cycle track by footpath leading up from bird in hand pub,0,Knight,"(51.405261, -2.450483)",17,426,16,1,80
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh7L4mwsM.jpg,134,10,Bear Flat,Chaucer road,Foot path off Chaucer road,0,Brunel,"(51.375205, -2.364034)",18,265,17,1,3
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgwcjl-AsM.jpg,35.3,10,Saltford,Bath Road,Copse Road Bus Stop 965,LB0178,Leafield,"(51.406807, -2.468526)",17,427,16,1,82
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu_fkjAoM.jpg,127,10,Upper Weston,Broadmoor lane,By play area on Broadmoor lane,0,,"(51.401912, -2.399527)",20,556,5,1,105
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA2-CckAgM.jpg,101,10,Keynsham,Albert road,Albert road bus stop,0,Knight,"(51.410887, -2.499038)",37,174,2,1,52
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgoYW35wgM.jpg,34.9,5,Keynsham,Chandag Road,By railings to entrance of infant school,LB0328,Leafield,"(51.409043, -2.488075)",16,157,3,1,45
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy8LekwoM.jpg,154,30,Bear Flat,Shakespeare road,Alexandra park overlooking Beechen cliff sch,0,Knight,"(51.37303, -2.358651)",33,575,12,1,110
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAq6DrswgM.jpg,168,10,Farmborough,Brookside drive,play area,Unknown,Brunel,"(51.341478, -2.490952)",8,128,16,1,40
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAm-XkpggM.jpg,114,30,,Pullmead road,The centurion pub front,0,Knight,"(51.378889, -2.401934)",28,465,11,1,91
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA29TbmwoM.jpg,101,10,Keynsham,Queen's road,Outside #20 in playing fields,0,Knight,"(51.409788, -2.508277)",24,165,1,1,48
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy5b2ygkM.jpg,144,10,Oldfield Park,Moorlands road,Moorlands road school entrance,0,Knight,"(51.370388, -2.375389)",31,360,14,1,65
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy4eRzAgM.jpg,99,10,,Rudmore park,End of rudmore park where grassy with 1 tree,0,Other,"(51.385297, -2.397958)",29,320,8,1,17
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu6K4nwkM.jpg,16.8,5,City Centre,Green Park Rd,By bus stop opposite Avon Street car park,BB,Big Belly,"(51.377987, -2.361819)",35,14,7,1,20
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA27LOkQoM.jpg,135,10,Midsomer Norton,High street,Bottom of the hollies,0,Other,"(51.286159, -2.481733)",11,291,25,1,11
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-5bfwQsM.jpg,61,10,Batheaston,High street,Batheastern gardens next to exit to car park by river bridge,0,Knight,"(51.405413, -2.31819)",1,35,10,1,23
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA09eg4wsM.jpg,148,10,Lower Weston,Newbridge road,Newbridge road newspaper shop,0,Knight,"(51.384333, -2.394043)",29,324,8,1,15
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAm-Xk-goM.jpg,200,30,Writhlington,Manor park,Outside #37,0,Knight,"(51.290224, -2.429909)",12,414,24,1,78
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy7CzpgkM.jpg,180,10,East Harptree,Whitecross Road,By National speed signs,Unknown,Knight,"(51.300034, -2.619418)",2,271,21,1,6
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA28eM2AgM.jpg,224,10,Lyncombe,Entry hill,The park opposite Catholic church on entry hill,0,Knight,"(51.358382, -2.363759)",18,262,17,1,4
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-8HWzAgM.jpg,76,10,Keynsham,The labbotts,The labbotts car park,0,Other,"(51.413323, -2.498542)",37,178,2,1,52
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-7qL0wsM.jpg,217,10,,Corston view,Corston view play area,0,Knight,"(51.364194, -2.382177)",30,338,19,1,62
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu4_uwAgM.jpg,95,10,Chew Magna,South Parade,By the Old Bakehouse,Unknown,Knight,"(51.365781, -2.610398)",6,80,21,1,31
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh5aT-woM.jpg,161,10,,Kelston view,Junc of wedgewood road and kelston view,0,Knight,"(51.376033, -2.40293)",28,474,11,1,90
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh5aT6wsM.jpg,48,10,,London road west,Bailbrook lane bus stop bath bound,0,Knight,"(51.403618, -2.325663)",1,32,10,1,23
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgsaHVgwgM.jpg,54.8,10,Keynsham,Queens Road by shops,Outside Slow Boats takeaway,LB0080,Jubilee,"(51.408787, -2.508495)",37,187,2,1,53
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgmdqBrQoM.jpg,29.8,5,Widcombe,Prior Park Road,Junction of Forfield Rise and Prior Park Road,LB0354,Jubilee,"(51.37496, -2.351977)",33,569,12,1,111
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh5mO8wsM.jpg,132,10,,Marsgrove road,End of marsgrove road by phone box,0,Knight,"(51.366023, -2.391495)",27,447,15,1,84
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-4fpqgoM.jpg,168,10,Midsomer Norton,Pit road,Further up pit road on the left,0,Other,"(51.285254, -2.476985)",26,513,26,1,100
,168.1,5,Odd Down,Bloomfield Road,"Playing Fields, right of Astroturf ",LB0150,,"(51.360094, -2.376612)",18,260,17,1,4
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh5mOywkM.jpg,55,30,Newbridge,Brassmill lane,"Brassmill lane, Avon park",0,Knight,"(51.383457, -2.398547)",29,321,8,1,17
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICggYzAzQsM.jpg,27.9,10,City Centre,A4 London Road,Outside Apple Tree Day Nursery,LB0200,Jubilee,"(51.391324, -2.353669)",36,492,6,1,96
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICg4cHKpAoM.jpg,165.2,10,Peasedown st john,Bath Rd,Footpath between sunnyside view and bath rd,N/a,Brunel,"(51.31478, -2.428468)",15,378,22,1,73
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh5mO6wgM.jpg,100,30,Lansdown,Julian road,Phoenix Court,0,Knight,"(51.388367, -2.365938)",34,199,9,1,115
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-6ve1QkM.jpg,109,10,City Centre,Avon street,Avon street coach park by lamp post and wall,0,Other,"(51.379205, -2.363572)",34,196,9,1,55
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgof3F8AgM.jpg,66.6,5,Larkhall,Bailbrook Lane,Next to bench on corner overlooking bypass,LB0288,Leafield,"(51.402668, -2.338807)",23,231,4,1,58
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh5bXpwgM.jpg,65,30,Keynsham,Bath hill,Bath hill east car park by footbridge across river,0,Knight,"(51.413643, -2.495464)",16,156,3,1,45
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA8-_epwsM.jpg,140,30,City Centre,Union street,Opposite Wallis,0,Big Belly,"(51.382483, -2.360288)",35,11,7,1,20
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh5nEoQkM.jpg,141,10,City Centre,Charlotte street,Charlotte street car park area A,0,Other,"(51.383869, -2.366713)",34,193,9,1,55
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICg8cKD3wgM.jpg,30.4,10,Walcot,London Road,Opposite KwikFit,LB0230,Jubilee,"(51.393153, -2.349148)",36,487,6,1,95
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu9CT1QgM.jpg,38.8,5,Weston,Kennington Road,Junction of Kennington Road and Chelsea Road,LB0051,Jubilee,"(51.385622, -2.388687)",34,208,9,1,54
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-8mrzggM.jpg,74,10,City Centre,Green park road,Pay and display on 1B of Avon street multistorey car park,0,Other,"(51.37884, -2.362716)",35,14,7,1,20
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAs4H91AgM.jpg,22.6,5,Batheaston,Main Road A4,Batheaston Mill Lane side of bridge,LB0100,Leafield,"(51.405259, -2.317885)",1,35,10,1,23
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAk_uCpgsM.jpg,116,30,City Centre,Charlotte street,Charlotte street car park area E,0,Other,"(51.384792, -2.36923)",34,209,9,1,115
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu4-uvwgM.jpg,219,10,Timsbury,Lippiat lane,By allotment gate,Unknown,Knight,"(51.333382, -2.475954)",14,456,16,1,88
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh5bXywgM.jpg,195,10,Southstoke,The green,Southstoke. The green,Unknown,,"(51.350257, -2.364753)",10,59,10,1,113
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA27md4QsM.jpg,94,10,City Centre,Green park road,Lower 3rd of ground deck of Avon street multistory car park by stairs,0,Other,"(51.378873, -2.363054)",35,14,7,1,20
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICg2fbDpggM.jpg,48.9,5,Lansdown,Lansdown Road,Alfred Street bus stop,LB0218,Jubilee,"(51.386323, -2.361401)",35,4,7,1,22
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAs-rfkQkM.jpg,92,10,Saltford,Manor road,Saltford memorial garden on junc with manor road and A4,0,Knight,"(51.401771, -2.457993)",17,422,16,1,80
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgsZ7A1QgM.jpg,171.1,5,Odd Down,Upper Bloomfield Road,Outside Co-Op,LB0256,Leafield,"(51.358563, -2.380365)",30,331,19,1,60
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu52ixQgM.jpg,76.965603,10,Lansdown,Portland Place,Portland Place Grass Triangle,LB0010,Jubilee,"(51.388901, -2.364547)",21,246,7,1,2
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgwczpwAkM.jpg,68.9,10,Winford,Chew Road,In layby near Esso Garage and Windord Ford,LB0302,Leafield,"(51.369995, -2.637979)",6,79,21,1,31
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu4_u4AgM.jpg,124,10,Saltford,The shallows,The shallows car park,0,Knight,"(51.402665, -2.450886)",1,50,10,1,25
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA88bB2QoM.jpg,152,30,Paulton,Hallatrow Road,Hallatrow Road,Unknown,Jubilee,"(51.307491, -2.506153)",13,364,23,1,68
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgseLfrAgM.jpg,59.6,5,Weston,Combe Park,Bus stop opposite RUH A&E entrance,LB0198,Jubilee,"(51.38989, -2.389106)",29,316,8,1,16
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh_DX9gkM.jpg,97,10,Lower Swainswick,Gloucester road,Alice park community garden,0,Knight,"(51.398274, -2.340541)",23,220,4,1,58
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu4P8mgsM.jpg,83.834316,5,Midsomer Norton,MSN high street,MSN town hall right hand side,LB0016,Jubilee,"(51.285691, -2.482869)",11,291,25,1,11
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-__N5QoM.jpg,156,30,Haydon,Kilmerston road,Haydon hill near seat,0,Knight,"(51.286431, -2.447021)",12,419,24,1,79
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu_fkrAsM.jpg,106,10,Bathwick,North parade road,River bank by north parade road bridge,0,Jubilee,"(51.381197, -2.355352)",35,3,7,1,21
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICg2a_jyQsM.jpg,167.9,10,Odd Down,Frome Road,Outside Children's Centre,LB0364,Jubilee,"(51.357781, -2.374296)",18,262,17,1,4
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA88bB-QsM.jpg,191,10,Westfield,Wells road,Park by Westfield shops,0,Knight,"(51.286626, -2.465872)",26,510,26,1,97
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAk_uC9goM.jpg,29,30,,Kingston buildings,Roman baths and abbey shop,0,Big Belly,"(51.381703, -2.359343)",35,11,7,1,20
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-8mrrgoM.jpg,89,10,,Dorchester street,Newark/Dorchester,0,Big Belly,"(51.377901, -2.358867)",35,13,7,1,21
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAm9-o8QsM.jpg,120,10,Southdown,The hollow,Gate between brick fields park playing fields and parth to Dartmouth avenue,0,,"(51.376621, -2.386171)",32,532,13,1,101
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgueWfngsM.jpg,102.1,10,Southdown,Haycombe Drive,Junction of Rosewarn Close and Haycombe Drive,LB0373,Jubilee,"(51.372303, -2.400442)",27,437,15,1,86
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgICgwaKx6ggM.jpg,166.7,10,Odd Down,Upper Bloomfield Road,Outside Cod Down Chippy,LB0290,Leafield,"(51.358079, -2.380638)",30,334,19,1,60
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu-DFrwsM.jpg,137,10,Camden,Camden crescent,Camden crescent junc with belgrave,0,Brunel,"(51.393725, -2.356331)",36,491,6,1,94
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-93P4AkM.jpg,28.4,5,Newbridge,Newbridge Road,Outside post office,LB0056,Jubilee,"(51.384233, -2.388762)",29,326,8,1,15
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-6G_mAkM.jpg,113,10,Radstock,Mill road.,Radstock. Mill road. Whitelands cyclepath. Mill road garage,Unknown,,"(51.29362, -2.438131)",12,407,24,1,77
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh_C54woM.jpg,165,10,Midsomer Norton,Silver street,Silver street by entrance to nature reserve,0,Evolution,"(51.281623, -2.482423)",25,305,27,1,13
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh9qu0AkM.jpg,110,10,Radstock,Fortescue road,By bench and opp co-op,0,Other,"(51.292541, -2.447481)",12,413,24,1,79
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy_ek8AgM.jpg,100,10,City Centre,Saw close,Saw close pay and display machine,0,,"(51.382117, -2.362346)",35,10,7,1,20
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu52ihQkM.jpg,85.187893,5,Midsomer Norton,High Street,MSN Methodist Church,LB0021,Jubilee,"(51.286542, -2.48113)",11,291,25,1,11
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy-PwywgM.jpg,23.6,5,City Centre,Manvers Street,Outside Royal Hotel by train station,BB,Big Belly,"(51.378087, -2.356743)",35,13,7,1,21
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu-f0iwoM.jpg,79,10,Upper Weston,Pen hill road,Weston rec by the gate to southlands bus stop,0,Other,"(51.395246, -2.393727)",29,312,8,1,18
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh5bX6woM.jpg,227,30,Peasedown St John,Albert avenue,Peasedown st John. Albert avenue on green,Unknown,Knight,"(51.311869, -2.428892)",15,388,22,1,73
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh7i1ugsM.jpg,177,30,City Centre,Stall street,Between Costa and pret,0,Big Belly,"(51.381194, -2.360261)",35,11,7,1,20
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA-4G1pggM.jpg,61,10,Keynsham,Dapps hill,Dapps hill below number 30,0,Knight,"(51.410031, -2.495431)",37,182,2,1,52
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA2-mahwkM.jpg,80,10,Keynsham,Ashton way,"Ashton way car park, footpath entrance near toilets",0,Knight,"(51.415384, -2.499838)",24,159,1,1,49
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu4P8lAkM.jpg,174,10,Radstock,Lillington road,Outside #15,0,Knight,"(51.288249, -2.437694)",12,417,24,1,79
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA29b6iwkM.jpg,170,10,Lansdown,Lansdown place,Lansdown place East where footpath branches off down the hill,0,Knight,"(51.391282, -2.364856)",21,242,7,1,2
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA2-CcwAsM.jpg,133,10,Bathwick,Great pulteney street,Corner Edward and great pulteney street,0,Big Belly,"(51.383713, -2.353585)",35,2,7,1,21
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA6-zC_wsM.jpg,145,10,Midsomer Norton,Chilcompton road,Outside #6 on chilcompton road,0,Other,"(51.279142, -2.497299)",25,298,27,1,12
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh6KzxgoM.jpg,111,30,Lansdown,Belvedere,Hedgemead park playground between benches,0,Other,"(51.388068, -2.360567)",21,245,7,1,59
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy8LekwkM.jpg,52,10,,Wells road,St Mary's buildings bus stop city bound,0,Knight,"(51.377025, -2.364765)",33,570,12,1,109
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA0-WztwgM.jpg,96,30,Twerton,Lymore gardens,Park at end of Lymore gardens,0,,"(51.375689, -2.384413)",32,532,13,1,101
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh_7zgAgM.jpg,167,10,Stowey,A368,Junction with The Street; By bus stop in layby,Unknown,Knight,"(51.338039, -2.583199)",4,91,21,1,33
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAu8HiswkM.jpg,183,10,Camerton,Skinners hill,Bottom of skinners hill  opp osteoporosis society,Unknown,Other,"(51.314955, -2.453525)",9,63,22,1,28
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAh8TZsAoM.jpg,182,100,City Centre,Guinea Lane,Hedgemead park by Guinea Lane,0,Other,"(51.387254, -2.359886)",35,17,7,1,22
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy9SpsggM.jpg,77,10,City Centre,Milsum street,Junc of milsum street and upper borough walls,0,,"(51.382736, -2.360936)",35,11,7,1,20
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA29b68wsM.jpg,143,10,Southdown,Englishcombe lane,Behind coronation avenue on Hillcrest open space,0,,"(51.369022, -2.388092)",27,445,15,1,84
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDAy7CzxgsM.jpg,84,10,Corston,Meadlands,Meadlands. Corston,Unknown,,"(51.386982, -2.439813)",8,125,16,1,41
https://secure.bathnes.gov.uk/bins/ag9zfm15ZG9mb3Jtcy1ocmRyFwsSCmJsb2Jfc3RvcmUYgIDA6-zCvwsM.jpg,15,10,City Centre,Queens square,Charlotte street and queens parade place,0,Big Belly,"(51.384267, -2.364305)",34,193,9,1,55
