URN,LA,ESTAB,LAESTAB,SCHNAME,LOCALITY,TOWN,POSTCODE,TELNUM,ICLOSE,ISNEW,MINORGROUP,NFTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGEL,AGEH,GENDER,SFGENDER,RELDENOM,ADMPOL,NEWACFLAG,TOTPUPSENDN,NORG,NORB,PNORG,PNORB,TSENSAP,TSENA,TOTSENST,TOTSENAP,PSENSAP,PSENA,PTOTSENST,PTOTSENAP,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,TOTPUPFSMDN,NUMFSM,NUMNOFSM,PNUMFSM,PNUMNOFSM,NUMFSMEVER,PNUMFSMEVER,Location 1,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
138522,800,4132,8004132,Ralph Allen School,Combe Down,Bath,BA2 7AD,01225 832936,1,true,Academy (including Free Schools),Academy - Converter Mainstream,false,true,true,11,18,Mixed,3,,Comprehensive,6,1096,539,557,49.2,50.8,52,99,23,29,4.7,9,2.1,2.6,32,1064,0,2.9,97.1,0,865,85,780,9.800000000000001,90.2,180.5,20.9,"Claverton Down Road
Bath, Somerset BA2 7AD",,,,,
136311,800,4133,8004133,Somervale School Specialist Media Arts College,Midsomer Norton,Radstock,BA3 2JD,01761 414276,1,false,Academy (including Free Schools),Academy - Converter Mainstream,false,true,true,11,18,Mixed,3,,Comprehensive,6,497,264,233,53.1,46.9,6,69,6,0,1.2,13.9,1.2,0,6,491,0,1.2,98.8,0,452,71,381,15.7,84.3,124,27.5,"Redfield Road
Radstock, Somerset BA3 2JD",,,,,
137548,800,4134,8004134,Writhlington School,Writhlington,Radstock,BA3 3NQ,01761 433581,1,false,Academy (including Free Schools),Academy - Converter Mainstream,false,true,true,11,18,Mixed,3,,Comprehensive,6,1568,752,816,48,52,74,85,16,58,4.7,5.4,1,3.7,16,1548,4,1,98.7,0.3,1223,132,1091,10.8,89.2,261.5,21.4,"Knobsbury Lane
Radstock, Somerset BA3 3NQ",,,,,
137523,800,4138,8004138,Wellsway School,Keynsham,Bristol,BS31 1PH,0117 9864751,1,false,Academy (including Free Schools),Academy - Converter Mainstream,false,true,true,11,18,Mixed,3,Does not apply,Comprehensive,6,1326,614,712,46.3,53.7,14,96,11,3,1.1,7.2,0.8,0.2,16,1310,0,1.2,98.8,0,1069,49,1020,4.6,95.4,124,11.6,"Chandag Road
Bristol, Somerset BS31 1PH",,,,,
109328,800,4607,8004607,St Mark's CofE School,,Bath,BA1 6ND,01225 312661,1,false,Maintained School,Voluntary Aided School,false,true,true,11,18,Mixed,3,Church of England,Comprehensive,6,245,100,145,40.799999999999997,59.2,24,29,14,10,9.800000000000001,11.8,5.7,4.1,6,239,0,2.4,97.6,0,243,41,202,16.899999999999999,83.1,74,30.2,"Bay Tree Road
Bath, Somerset BA1 6ND",,,,,
109329,800,4608,8004608,Saint Gregory's Catholic College,Odd Down,Bath,BA2 8PA,01225 832873,1,false,Maintained School,Voluntary Aided School,false,true,true,11,18,Mixed,3,Roman Catholic,Comprehensive,6,791,421,370,53.2,46.8,20,46,5,15,2.5,5.8,0.6,1.9,77,714,0,9.699999999999999,90.3,0,788,55,733,7,93,115,14.5,"Combe Hay Lane
Bath, Somerset BA2 8PA",,,,,
136520,800,5400,8005400,Beechen Cliff School,,Bath,BA2 4RE,01225 480466,1,false,Academy (including Free Schools),Academy - Converter Mainstream,false,true,true,11,18,Boys,1,,Comprehensive,6,1133,92,1041,8.1,91.9,97,92,13,84,8.6,8.1,1.1,7.4,30,1098,5,2.6,96.9,0.4,835,62,773,7.4,92.6,120,14.4,"Alexandra Park
Bath, Somerset BA2 4RE",,,,,
136483,800,5401,8005401,Oldfield School,,Bath,BA1 9AB,01225 423582,1,false,Academy (including Free Schools),Academy - Converter Mainstream,false,true,true,11,18,Mixed,3,,Comprehensive,6,754,711,43,94.3,5.7,30,95,9,21,4,12.6,1.2,2.8,52,702,0,6.9,93.1,0,682,34,648,5,95,124,18.2,"Kelston Road
Bath, Somerset BA1 9AB",,,,,
137493,800,7035,8007035,Fosse Way School,Radstock,Bath,BA3 3AL,01761 412198,1,false,Academy (including Free Schools),Special Academy,true,true,true,3,19,Mixed,3,Does not apply,Not applicable,6,182,46,136,25.3,74.7,182,0,182,0,100,0,100,0,3,175,0,1.7,98.3,0,151,40,111,26.5,73.5,,,"Longfellow Road
Bath, Somerset BA3 3AL",,,,,
135069,800,7036,8007036,Three Ways School,,Bath,BA2 5RF,01225 838070,2,false,Special School,Community Special School,true,true,true,2,19,Mixed,3,Does not apply,Not applicable,2,167,72,95,43.1,56.9,167,0,166,,100,0,99.4,,5,156,0,3.1,96.9,0,134,60,74,44.8,55.2,,,"180 Frome Road
Bath, Somerset BA2 5RF",,,,,
132947,800,7037,8007037,The Link School,Odd Down,Bath,BA2 5RF,01225 832212,2,false,Special School,Foundation Special School,true,true,false,4,16,Mixed,3,Does not apply,Not applicable,4,20,3,17,15,85,20,0,18,,100,0,90,,0,,0,0,,0,20,9,11,45,55,,,"Frome Road
Bath, Somerset BA2 5RF",,,,,
